Filename,TLC/D,ALCL
195.txt,13,2
267.txt,12,3
485.txt,11,3
483.txt,10,2
285.txt,14,3
60.txt,24,3
343.txt,17,3
250.txt,11,3
325.txt,12,3
148.txt,21,3
405.txt,20,5
21.txt,9,2
29.txt,6,2
492.txt,27,6
50.txt,8,2
147.txt,10,2
249.txt,11,3
475.txt,9,4
30.txt,20,4
54.txt,23,5
41.txt,23,5
419.txt,24,3
370.txt,29,3
34.txt,3,2
318.txt,26,3
179.txt,22,4
251.txt,7,2
221.txt,12,3
93.txt,4,2
204.txt,22,3
266.txt,25,3
14.txt,7,2
346.txt,25,3
145.txt,19,2
320.txt,8,4
89.txt,5,2
90.txt,9,3
123.txt,14,3
438.txt,10,2
1.txt,6,2
86.txt,6,3
334.txt,8,2
329.txt,16,2
187.txt,12,2
262.txt,19,4
465.txt,13,3
359.txt,15,3
125.txt,5,2
474.txt,10,3
356.txt,5,2
352.txt,15,3
416.txt,11,2
226.txt,14,4
252.txt,10,2
402.txt,19,5
289.txt,24,3
335.txt,12,3
375.txt,25,4
74.txt,6,2
308.txt,33,3
376.txt,9,2
456.txt,9,2
290.txt,14,3
342.txt,14,4
317.txt,6,4
455.txt,5,2
316.txt,36,3
434.txt,9,2
319.txt,21,3
174.txt,9,3
158.txt,21,4
367.txt,7,2
415.txt,7,3
35.txt,14,2
83.txt,10,2
498.txt,14,2
497.txt,16,4
129.txt,15,5
81.txt,7,3
122.txt,18,3
192.txt,6,3
18.txt,4,2
445.txt,9,2
431.txt,6,2
227.txt,6,2
284.txt,29,3
287.txt,9,2
481.txt,9,2
369.txt,9,3
138.txt,7,2
132.txt,12,3
396.txt,10,2
301.txt,10,2
236.txt,9,2
238.txt,12,2
351.txt,11,4
340.txt,9,3
45.txt,2,2
232.txt,21,5
197.txt,12,2
276.txt,24,3
126.txt,12,2
426.txt,9,2
115.txt,3,2
355.txt,22,3
75.txt,4,2
401.txt,13,3
162.txt,4,2
191.txt,9,4
31.txt,12,3
4.txt,6,2
70.txt,8,2
398.txt,14,2
361.txt,25,4
427.txt,14,2
233.txt,14,2
341.txt,26,3
113.txt,12,3
417.txt,12,3
8.txt,11,2
362.txt,10,2
114.txt,11,3
253.txt,9,3
472.txt,13,3
131.txt,3,3
96.txt,7,3
264.txt,12,2
371.txt,12,2
489.txt,9,2
219.txt,11,2
476.txt,13,2
414.txt,13,2
209.txt,12,5
377.txt,14,2
154.txt,24,3
305.txt,23,3
326.txt,27,3
190.txt,6,4
149.txt,7,3
397.txt,15,2
302.txt,10,2
349.txt,12,3
286.txt,11,2
387.txt,22,3
172.txt,10,2
446.txt,28,4
323.txt,11,4
182.txt,10,2
384.txt,35,5
99.txt,3,2
462.txt,23,3
159.txt,11,2
313.txt,14,3
385.txt,3,2
153.txt,10,2
130.txt,18,5
68.txt,14,5
400.txt,11,2
222.txt,10,2
94.txt,8,2
201.txt,7,2
488.txt,31,4
299.txt,25,4
73.txt,9,2
263.txt,17,3
66.txt,6,2
56.txt,8,6
69.txt,6,2
366.txt,17,2
79.txt,4,3
11.txt,16,2
112.txt,20,5
5.txt,8,3
296.txt,18,3
