Filename,TLC/D,ALCL
276.txt,7,2
126.txt,19,3
426.txt,33,3
115.txt,17,3
541.txt,59,5
355.txt,8,3
75.txt,40,4
401.txt,32,2
162.txt,17,2
191.txt,23,2
70.txt,26,5
398.txt,33,3
361.txt,36,3
427.txt,55,5
233.txt,17,3
341.txt,28,3
113.txt,82,5
536.txt,29,3
417.txt,15,3
362.txt,24,5
114.txt,24,4
253.txt,21,3
472.txt,52,7
131.txt,58,5
96.txt,41,4
264.txt,18,2
371.txt,5,2
489.txt,29,2
219.txt,13,2
476.txt,22,3
414.txt,33,4
523.txt,137,11
209.txt,76,5
377.txt,8,2
154.txt,15,3
305.txt,26,28
326.txt,8,2
190.txt,22,4
149.txt,13,3
397.txt,12,2
302.txt,20,31
349.txt,6,2
548.txt,28,3
535.txt,31,3
286.txt,22,3
387.txt,12,2
172.txt,10,2
446.txt,11,2
552.txt,16,3
323.txt,69,7
182.txt,10,2
384.txt,25,4
99.txt,48,3
462.txt,56,5
543.txt,16,2
159.txt,16,3
313.txt,5,2
153.txt,22,3
518.txt,20,4
130.txt,15,2
400.txt,35,3
222.txt,3,2
94.txt,50,3
201.txt,38,4
488.txt,38,4
299.txt,34,3
73.txt,20,2
263.txt,18,3
66.txt,71,6
69.txt,24,4
540.txt,29,3
366.txt,9,2
79.txt,41,2
502.txt,13,2
112.txt,29,3
296.txt,16,3
