,Filename,TLC/D,ALCL, numsyl, avgchar,lentok,ttr,awl,class
67,36.txt,11.0,3.0,1.59,5.23,124.0,0.1284,0.0,1.0
68,188.txt,8.0,3.0,1.45,4.73,73.0,0.1563,0.0,1.0
69,58.txt,7.0,3.0,1.41,4.43,93.0,0.1585,0.0,1.0
70,26.txt,5.0,5.0,1.47,4.52,98.0,0.1975,0.0617,1.0
71,133.txt,6.0,4.0,1.47,4.5,92.0,0.1711,0.0,1.0
72,283.txt,6.0,2.0,1.58,5.19,115.0,0.1531,0.051,1.0
73,107.txt,34.0,2.0,1.4,4.37,328.0,0.0586,0.011,1.0
74,500.txt,1.0,2.0,2.0,5.7,11.0,1.0,0.0,1.0
75,491.txt,6.0,2.0,1.45,4.59,88.0,0.1974,0.0,1.0
76,422.txt,28.0,3.0,1.33,4.14,312.0,0.059,0.0554,1.0
77,171.txt,29.0,3.0,1.36,4.31,309.0,0.0639,0.0,1.0
78,423.txt,7.0,3.0,1.36,4.33,132.0,0.1518,0.0,1.0
79,64.txt,48.0,5.0,1.31,3.99,859.0,0.0266,0.014,1.0
80,40.txt,8.0,2.0,1.58,4.86,103.0,0.1364,0.0,1.0
81,62.txt,13.0,2.0,1.46,4.44,166.0,0.1088,0.034,1.0
82,180.txt,6.0,2.0,1.33,4.41,84.0,0.2143,0.1857,1.0
83,389.txt,8.0,3.0,1.46,4.38,152.0,0.1452,0.0403,1.0
84,164.txt,3.0,3.0,1.77,5.12,49.0,0.2791,0.0,1.0
85,53.txt,26.0,3.0,1.6,4.89,365.0,0.0535,0.0472,1.0
86,214.txt,5.0,2.0,1.64,5.02,69.0,0.2642,0.0755,1.0
87,225.txt,11.0,2.0,1.39,4.29,142.0,0.1368,0.0769,1.0
88,144.txt,16.0,3.0,1.47,4.38,248.0,0.0817,0.024,1.0
89,216.txt,16.0,3.0,1.37,4.18,174.0,0.1088,0.0,1.0
90,450.txt,1.0,2.0,1.88,5.25,18.0,0.6875,0.0,1.0
91,430.txt,8.0,7.0,1.41,4.38,153.0,0.1172,0.0,1.0
92,39.txt,21.0,3.0,1.53,4.69,325.0,0.0643,0.0143,1.0
93,490.txt,10.0,2.0,1.53,4.91,128.0,0.1321,0.0377,1.0
94,78.txt,22.0,3.0,1.39,4.33,277.0,0.0733,0.1379,1.0
95,364.txt,17.0,2.0,1.45,4.66,219.0,0.0874,0.0219,1.0
96,184.txt,22.0,2.0,1.49,4.44,278.0,0.0693,0.039,1.0
97,466.txt,12.0,3.0,1.39,4.42,188.0,0.0807,0.0435,1.0
98,339.txt,12.0,3.0,1.53,5.03,132.0,0.1261,0.0,1.0
99,46.txt,10.0,2.0,1.49,4.24,131.0,0.1455,0.0,1.0
100,163.txt,8.0,2.0,1.71,5.04,91.0,0.1781,0.0137,1.0
101,382.txt,3.0,2.0,1.45,4.64,51.0,0.3182,0.0,1.0
102,137.txt,24.0,4.0,1.35,4.6,286.0,0.0593,0.0,1.0
103,213.txt,4.0,2.0,1.44,4.98,48.0,0.2927,0.0488,1.0
104,239.txt,5.0,2.0,1.45,4.52,73.0,0.2154,0.0,1.0
105,348.txt,1.0,2.0,1.48,4.15,38.0,0.4242,0.0,1.0
106,24.txt,8.0,2.0,1.53,4.63,91.0,0.1646,0.0,1.0
107,292.txt,22.0,4.0,1.42,4.55,197.0,0.1,0.0353,1.0
108,100.txt,2.0,2.0,1.39,4.24,37.0,0.3636,0.0,1.0
109,425.txt,6.0,3.0,1.74,4.91,103.0,0.1609,0.0575,1.0
110,170.txt,16.0,3.0,1.34,4.57,226.0,0.0994,0.0663,1.0
111,354.txt,7.0,2.0,1.53,4.76,95.0,0.1757,0.0541,1.0
112,459.txt,8.0,2.0,1.47,4.31,102.0,0.1765,0.0,1.0
113,220.txt,16.0,6.0,1.44,4.77,220.0,0.0833,0.0,1.0
114,76.txt,21.0,4.0,1.33,4.18,377.0,0.0552,0.0184,1.0
115,336.txt,4.0,3.0,1.39,4.57,104.0,0.1444,0.0,1.0
116,77.txt,8.0,3.0,1.41,4.58,97.0,0.1765,0.0,1.0
117,272.txt,4.0,2.0,1.8,5.08,79.0,0.25,0.0625,1.0
118,245.txt,11.0,2.0,1.42,4.5,123.0,0.1495,0.0841,1.0
119,331.txt,12.0,3.0,1.51,4.65,167.0,0.1176,0.0147,1.0
120,200.txt,23.0,4.0,1.27,4.14,266.0,0.0603,0.0086,1.0
121,469.txt,21.0,3.0,1.36,4.17,254.0,0.0766,0.0144,1.0
122,55.txt,12.0,2.0,1.66,4.81,124.0,0.1321,0.0189,1.0
123,428.txt,9.0,2.0,1.68,4.9,102.0,0.1839,0.046,1.0
124,379.txt,1.0,2.0,2.0,5.7,11.0,1.0,0.0,1.0
125,449.txt,9.0,2.0,1.42,4.41,97.0,0.1591,0.0227,1.0
126,463.txt,13.0,3.0,1.41,4.39,165.0,0.1103,0.0069,1.0
127,443.txt,6.0,3.0,1.36,4.22,128.0,0.1327,0.0,1.0
128,258.txt,22.0,4.0,1.62,5.04,249.0,0.0737,0.0138,1.0
129,155.txt,14.0,3.0,1.55,4.89,191.0,0.1,0.0,1.0
130,156.txt,4.0,2.0,1.52,4.81,71.0,0.2069,0.0,1.0
131,432.txt,9.0,3.0,1.5,4.42,121.0,0.1531,0.0918,1.0
132,353.txt,14.0,4.0,1.31,4.12,268.0,0.0699,0.0,1.0
133,150.txt,16.0,3.0,1.44,4.58,214.0,0.0919,0.0216,1.0
134,32.txt,17.0,5.0,1.42,4.81,275.0,0.0583,0.0958,1.0
135,478.txt,21.0,3.0,1.38,4.44,249.0,0.0725,0.0,1.0
136,440.txt,18.0,3.0,1.61,4.81,270.0,0.0746,0.0,1.0
137,176.txt,13.0,2.0,1.37,4.37,131.0,0.113,0.0,1.0
138,255.txt,24.0,4.0,1.27,4.15,360.0,0.066,0.0066,1.0
139,448.txt,8.0,4.0,1.39,4.51,147.0,0.1032,0.0317,1.0
140,458.txt,12.0,2.0,1.53,4.66,150.0,0.1095,0.0365,1.0
141,82.txt,6.0,2.0,1.49,4.82,86.0,0.1918,0.0,1.0
142,300.txt,22.0,3.0,1.45,4.24,289.0,0.0687,0.0,1.0
143,304.txt,12.0,3.0,1.5,4.88,157.0,0.1077,0.0462,1.0
144,407.txt,4.0,3.0,1.57,4.94,76.0,0.1912,0.0,1.0
145,257.txt,4.0,2.0,1.75,5.25,45.0,0.3,0.2,1.0
146,67.txt,19.0,3.0,1.49,4.49,273.0,0.0752,0.0487,1.0
147,451.txt,5.0,2.0,1.53,4.88,96.0,0.1807,0.0,1.0
148,409.txt,10.0,2.0,1.47,4.69,117.0,0.1616,0.0,1.0
149,499.txt,14.0,2.0,1.49,4.5,146.0,0.1475,0.0,1.0
150,452.txt,15.0,3.0,1.34,4.23,211.0,0.0769,0.011,1.0
151,259.txt,3.0,2.0,1.49,4.46,40.0,0.3429,0.0,1.0
152,327.txt,10.0,2.0,1.28,4.34,131.0,0.1402,0.0374,1.0
153,111.txt,17.0,3.0,1.53,4.57,285.0,0.0763,0.0,1.0
154,194.txt,4.0,2.0,1.66,5.15,46.0,0.2683,0.1951,1.0
155,424.txt,12.0,3.0,1.54,4.47,164.0,0.102,0.034,1.0
156,311.txt,11.0,2.0,1.58,5.05,116.0,0.1633,0.0816,1.0
157,47.txt,7.0,2.0,1.55,4.51,85.0,0.1757,0.0,1.0
158,280.txt,2.0,2.0,1.57,4.73,33.0,0.4,0.0,1.0
159,447.txt,8.0,2.0,1.49,4.53,144.0,0.1393,0.0,1.0
160,146.txt,4.0,2.0,1.5,4.39,48.0,0.3684,0.0,1.0
161,181.txt,12.0,4.0,1.55,4.84,245.0,0.0837,0.0148,1.0
162,360.txt,27.0,4.0,1.42,4.55,354.0,0.0636,0.0495,1.0
163,288.txt,2.0,2.0,1.44,4.55,126.0,0.1647,0.0,1.0
164,49.txt,3.0,2.0,1.49,4.52,81.0,0.2388,0.0746,1.0
165,175.txt,4.0,2.0,1.74,5.11,40.0,0.3429,0.0,1.0
166,322.txt,4.0,2.0,1.71,4.98,64.0,0.2545,0.1273,1.0
167,140.txt,30.0,4.0,1.64,4.79,304.0,0.0625,0.0039,1.0
168,136.txt,5.0,2.0,1.35,4.3,114.0,0.1354,0.0,1.0
169,281.txt,5.0,2.0,1.38,4.2,88.0,0.1972,0.0563,1.0
170,437.txt,8.0,2.0,1.39,4.24,155.0,0.1145,0.0,1.0
171,168.txt,4.0,2.0,1.44,4.42,52.0,0.2667,0.0,1.0
172,435.txt,16.0,3.0,1.5,4.45,229.0,0.0939,0.0,1.0
173,242.txt,6.0,2.0,1.44,4.51,85.0,0.1688,0.0,1.0
174,71.txt,7.0,2.0,1.49,4.7,92.0,0.1807,0.1205,1.0
175,365.txt,14.0,2.0,1.45,4.48,155.0,0.1194,0.0448,1.0
176,487.txt,14.0,2.0,1.61,4.58,209.0,0.093,0.0581,1.0
177,224.txt,10.0,2.0,1.31,4.31,121.0,0.1386,0.0,1.0
178,486.txt,15.0,5.0,1.35,4.03,297.0,0.0602,0.0,1.0
179,72.txt,20.0,4.0,1.36,4.42,363.0,0.0588,0.0163,1.0
180,102.txt,7.0,2.0,1.58,4.69,76.0,0.209,0.0746,1.0
181,391.txt,12.0,5.0,1.41,4.23,142.0,0.1271,0.0085,1.0
182,273.txt,17.0,3.0,1.45,4.42,319.0,0.0674,0.0,1.0
183,303.txt,4.0,2.0,1.55,4.64,78.0,0.2031,0.0781,1.0
184,496.txt,32.0,3.0,1.43,4.44,307.0,0.0608,0.0152,1.0
185,420.txt,17.0,3.0,1.45,4.35,277.0,0.0742,0.0,1.0
186,392.txt,8.0,2.0,1.43,4.45,143.0,0.123,0.0328,1.0
187,17.txt,9.0,2.0,1.37,4.29,136.0,0.1391,0.087,1.0
188,408.txt,14.0,3.0,1.3,4.11,169.0,0.094,0.0201,1.0
189,457.txt,24.0,3.0,1.5,4.44,234.0,0.0816,0.0153,1.0
190,186.txt,14.0,3.0,1.28,4.16,221.0,0.0789,0.0368,1.0
191,390.txt,18.0,4.0,1.51,4.67,261.0,0.0718,0.0431,1.0
192,350.txt,9.0,3.0,1.51,4.13,118.0,0.1443,0.0309,1.0
193,48.txt,7.0,2.0,1.49,4.52,83.0,0.2174,0.0,1.0
194,178.txt,14.0,3.0,1.3,4.12,304.0,0.0595,0.0079,1.0
195,315.txt,7.0,2.0,1.59,4.96,106.0,0.1667,0.0556,1.0
196,205.txt,25.0,4.0,1.63,4.83,284.0,0.0656,0.0041,1.0
197,167.txt,11.0,2.0,1.45,4.37,138.0,0.1271,0.0,1.0
198,208.txt,5.0,2.0,1.57,4.56,74.0,0.2063,0.0,1.0
199,139.txt,24.0,4.0,1.35,4.6,286.0,0.0593,0.0,1.0
200,464.txt,9.0,2.0,1.41,4.48,117.0,0.1359,0.0,1.0
201,173.txt,29.0,4.0,1.36,4.52,249.0,0.0667,0.0,1.0
202,244.txt,17.0,3.0,1.57,4.87,241.0,0.0654,0.1121,1.0
203,330.txt,6.0,2.0,1.61,5.23,82.0,0.25,0.0,1.0
204,97.txt,5.0,4.0,1.52,4.34,112.0,0.1458,0.0,1.0
205,394.txt,14.0,2.0,1.44,4.32,169.0,0.1127,0.0211,1.0
206,25.txt,3.0,2.0,1.77,5.15,48.0,0.3333,0.0256,1.0
207,345.txt,7.0,3.0,1.65,4.81,135.0,0.1186,0.178,1.0
208,234.txt,10.0,4.0,1.46,4.59,91.0,0.1707,0.0,1.0
209,297.txt,6.0,2.0,1.73,5.39,101.0,0.1905,0.0238,1.0
210,314.txt,9.0,2.0,1.52,4.61,147.0,0.125,0.0,1.0
211,88.txt,16.0,3.0,1.45,4.72,220.0,0.0944,0.0,1.0
212,65.txt,23.0,4.0,1.62,4.8,306.0,0.0677,0.0,1.0
213,198.txt,17.0,3.0,1.55,4.98,281.0,0.0693,0.0087,1.0
214,412.txt,6.0,2.0,1.79,4.95,52.0,0.3333,0.0,1.0
215,332.txt,8.0,2.0,1.43,4.17,119.0,0.1386,0.0594,1.0
216,206.txt,8.0,2.0,1.52,4.55,126.0,0.1273,0.0727,1.0
217,324.txt,15.0,6.0,1.25,4.22,286.0,0.0643,0.0,1.0
218,119.txt,23.0,6.0,1.47,4.91,255.0,0.0651,0.0372,1.0
219,231.txt,31.0,3.0,1.44,4.47,318.0,0.0625,0.0331,1.0
220,461.txt,19.0,2.0,1.31,4.24,281.0,0.0773,0.0215,1.0
221,223.txt,5.0,2.0,1.42,4.76,75.0,0.2258,0.0645,1.0
222,460.txt,11.0,2.0,1.56,4.7,134.0,0.1389,0.0,1.0
223,274.txt,17.0,3.0,1.45,4.51,250.0,0.0766,0.0,1.0
224,368.txt,12.0,2.0,1.64,5.15,93.0,0.1875,0.0125,1.0
225,3.txt,7.0,2.0,1.56,4.51,118.0,0.15,0.2,1.0
226,467.txt,17.0,3.0,1.44,4.5,212.0,0.0874,0.0,1.0
227,298.txt,12.0,3.0,1.53,4.57,119.0,0.1474,0.0,1.0
228,268.txt,4.0,2.0,1.45,4.47,63.0,0.2545,0.0,1.0
229,143.txt,2.0,2.0,1.45,4.4,51.0,0.275,0.0,1.0
230,202.txt,5.0,2.0,1.53,4.61,82.0,0.2027,0.1081,1.0
231,87.txt,23.0,4.0,1.57,4.63,410.0,0.0514,0.0229,1.0
232,471.txt,17.0,4.0,1.45,4.51,223.0,0.0919,0.0054,1.0
233,246.txt,18.0,4.0,1.69,4.94,210.0,0.0899,0.0169,1.0
234,413.txt,10.0,2.0,1.51,4.7,73.0,0.2623,0.2131,1.0
235,357.txt,12.0,4.0,1.26,4.11,194.0,0.0838,0.0299,1.0
236,37.txt,12.0,3.0,1.43,4.34,262.0,0.0802,0.0142,1.0
237,95.txt,3.0,2.0,1.64,5.07,47.0,0.3095,0.0,1.0
238,157.txt,10.0,3.0,1.35,4.35,101.0,0.1348,0.0899,1.0
239,275.txt,5.0,3.0,1.53,4.97,69.0,0.25,0.0,1.0
240,10.txt,8.0,2.0,1.45,4.9,107.0,0.1505,0.0968,1.0
241,256.txt,20.0,3.0,1.43,4.3,250.0,0.0806,0.0095,1.0
242,307.txt,16.0,3.0,1.4,4.41,238.0,0.0746,0.0398,1.0
243,189.txt,22.0,4.0,1.58,4.69,272.0,0.0664,0.0575,1.0
244,6.txt,5.0,3.0,1.56,4.51,100.0,0.1444,0.0,1.0
245,269.txt,8.0,2.0,1.59,4.86,97.0,0.1364,0.0,1.0
246,169.txt,3.0,2.0,1.51,4.09,49.0,0.3023,0.0,1.0
247,166.txt,16.0,3.0,1.39,4.49,235.0,0.0833,0.0245,1.0
248,240.txt,4.0,3.0,1.77,5.44,77.0,0.2031,0.0,1.0
249,347.txt,23.0,3.0,1.48,4.48,296.0,0.0677,0.004,1.0
250,306.txt,5.0,2.0,1.37,4.59,98.0,0.2,0.16,1.0
251,196.txt,6.0,3.0,1.35,4.12,71.0,0.2105,0.0,1.0
252,271.txt,15.0,3.0,1.51,4.86,232.0,0.0928,0.0052,1.0
253,43.txt,5.0,2.0,1.43,4.26,88.0,0.2027,0.0,1.0
254,470.txt,12.0,2.0,1.37,4.61,160.0,0.1127,0.0141,1.0
255,395.txt,3.0,3.0,1.38,4.57,68.0,0.1897,0.0,1.0
256,161.txt,13.0,5.0,1.53,4.58,234.0,0.0754,0.0,1.0
257,439.txt,13.0,3.0,1.37,4.22,159.0,0.1007,0.0647,1.0
258,57.txt,7.0,3.0,1.39,4.36,82.0,0.1944,0.0,1.0
259,110.txt,25.0,2.0,1.36,4.22,250.0,0.0796,0.0647,1.0
260,84.txt,42.0,5.0,1.44,4.63,542.0,0.039,0.0521,1.0
261,277.txt,3.0,2.0,1.97,5.63,41.0,0.3429,0.0,1.0
262,378.txt,13.0,2.0,1.44,4.42,154.0,0.1288,0.053,1.0
263,237.txt,2.0,2.0,1.54,4.84,41.0,0.3514,0.0,1.0
264,124.txt,5.0,3.0,1.45,4.33,61.0,0.2353,0.0,1.0
265,453.txt,9.0,5.0,1.25,4.09,195.0,0.087,0.0497,1.0
266,63.txt,10.0,3.0,1.5,4.55,128.0,0.1121,0.0,1.0
267,477.txt,9.0,2.0,1.49,4.38,131.0,0.1282,0.0,1.0
268,270.txt,19.0,4.0,1.49,4.6,292.0,0.068,0.008,1.0
269,442.txt,17.0,2.0,1.46,4.5,158.0,0.128,0.008,1.0
270,142.txt,13.0,5.0,1.37,4.11,127.0,0.1132,0.0849,1.0
271,212.txt,19.0,4.0,1.34,4.14,298.0,0.068,0.0,1.0
272,20.txt,10.0,2.0,1.54,4.74,114.0,0.1327,0.0306,1.0
273,473.txt,3.0,2.0,1.53,4.39,56.0,0.2449,0.0,1.0
274,19.txt,26.0,4.0,1.39,4.46,342.0,0.0629,0.0629,1.0
275,33.txt,7.0,2.0,1.49,4.71,88.0,0.2143,0.2857,1.0
276,217.txt,20.0,3.0,1.42,4.39,234.0,0.0739,0.0443,1.0
277,121.txt,17.0,3.0,1.5,4.87,252.0,0.0762,0.0048,1.0
278,185.txt,26.0,3.0,1.56,4.58,364.0,0.0537,0.0101,1.0
279,128.txt,4.0,3.0,1.44,4.24,83.0,0.1733,0.0267,1.0
280,207.txt,22.0,4.0,1.42,4.53,302.0,0.0627,0.0078,1.0
281,454.txt,20.0,2.0,1.45,4.39,231.0,0.086,0.0108,1.0
282,141.txt,11.0,3.0,1.49,4.51,147.0,0.112,0.088,1.0
283,433.txt,12.0,2.0,1.42,4.79,120.0,0.1744,0.0349,1.0
284,165.txt,7.0,4.0,1.47,4.56,91.0,0.1975,0.0,1.0
285,291.txt,7.0,4.0,1.31,4.12,109.0,0.1613,0.0,1.0
286,160.txt,13.0,6.0,1.39,4.39,167.0,0.1049,0.0,1.0
287,399.txt,15.0,3.0,1.4,4.3,277.0,0.0649,0.0,1.0
288,15.txt,8.0,2.0,1.55,4.6,131.0,0.1589,0.0,1.0
289,135.txt,1.0,2.0,1.59,4.73,24.0,0.5,0.0,1.0
290,91.txt,5.0,2.0,1.64,4.69,94.0,0.1558,0.0,1.0
291,104.txt,1.0,2.0,1.33,4.28,48.0,0.2558,0.0465,1.0
292,235.txt,2.0,2.0,1.57,4.93,70.0,0.2131,0.0656,1.0
293,116.txt,15.0,3.0,1.26,4.27,175.0,0.1141,0.0,1.0
294,282.txt,17.0,3.0,1.43,4.49,265.0,0.0759,0.0268,1.0
295,310.txt,8.0,2.0,1.49,4.5,152.0,0.122,0.0407,1.0
296,210.txt,14.0,3.0,1.54,5.08,165.0,0.1014,0.0435,1.0
297,105.txt,9.0,3.0,1.46,4.36,127.0,0.1327,0.0,1.0
298,247.txt,19.0,4.0,1.46,4.41,262.0,0.0749,0.0,1.0
299,411.txt,2.0,2.0,1.43,4.29,89.0,0.1646,0.0127,1.0
300,279.txt,24.0,3.0,1.41,4.39,311.0,0.0604,0.0377,1.0
301,468.txt,15.0,3.0,1.41,4.15,208.0,0.0971,0.0857,1.0
302,118.txt,8.0,4.0,1.44,4.98,108.0,0.1263,0.0,1.0
303,2.txt,17.0,3.0,1.5,4.39,295.0,0.0798,0.0042,1.0
304,127.txt,24.0,4.0,1.44,4.58,311.0,0.0639,0.0752,1.0
305,215.txt,1.0,2.0,1.53,4.75,36.0,0.3438,0.0,1.0
306,151.txt,3.0,2.0,1.6,4.79,49.0,0.2791,0.0,1.0
307,441.txt,5.0,2.0,1.4,4.15,53.0,0.2766,0.0,1.0
308,9.txt,11.0,3.0,1.32,3.97,183.0,0.109,0.0,1.0
309,80.txt,11.0,3.0,1.49,4.4,194.0,0.0828,0.0,1.0
310,403.txt,4.0,2.0,1.46,4.45,74.0,0.1692,0.0,1.0
311,406.txt,4.0,2.0,1.64,4.81,60.0,0.2642,0.0,1.0
312,193.txt,15.0,3.0,1.42,4.4,231.0,0.0969,0.0102,1.0
313,333.txt,24.0,2.0,1.28,4.04,287.0,0.0735,0.0245,1.0
314,254.txt,4.0,2.0,1.74,5.37,88.0,0.1918,0.0822,1.0
315,260.txt,3.0,2.0,1.45,4.66,33.0,0.3793,0.2759,1.0
316,338.txt,12.0,4.0,1.4,4.34,152.0,0.1136,0.0303,1.0
317,480.txt,9.0,2.0,1.28,4.19,128.0,0.1091,0.0,1.0
318,265.txt,26.0,2.0,1.33,4.05,281.0,0.07,0.0082,1.0
319,278.txt,3.0,2.0,1.75,5.11,40.0,0.3333,0.0,1.0
320,380.txt,5.0,2.0,1.54,4.76,89.0,0.175,0.0875,1.0
321,228.txt,20.0,3.0,1.48,4.63,265.0,0.0679,0.0,1.0
322,479.txt,16.0,3.0,1.34,4.31,215.0,0.0865,0.0216,1.0
323,183.txt,3.0,2.0,1.59,4.61,51.0,0.25,0.0,1.0
324,421.txt,15.0,2.0,1.58,4.64,225.0,0.089,0.0366,1.0
325,195.txt,3.0,2.0,1.75,4.63,63.0,0.25,0.0,1.0
326,267.txt,15.0,4.0,1.33,4.31,295.0,0.0645,0.0242,1.0
327,485.txt,17.0,3.0,1.58,4.88,195.0,0.1056,0.0621,1.0
328,483.txt,28.0,3.0,1.51,4.46,266.0,0.0756,0.1378,1.0
329,285.txt,19.0,2.0,1.51,4.49,258.0,0.0821,0.0048,1.0
330,60.txt,12.0,4.0,1.47,4.59,248.0,0.0741,0.0463,1.0
331,343.txt,18.0,3.0,1.53,4.77,221.0,0.0781,0.0208,1.0
332,250.txt,18.0,3.0,1.4,4.21,170.0,0.1049,0.021,1.0
333,325.txt,26.0,5.0,1.41,4.29,358.0,0.0579,0.0482,1.0
334,148.txt,30.0,5.0,1.37,4.16,359.0,0.0633,0.07,1.0
335,405.txt,15.0,3.0,1.49,4.72,260.0,0.0748,0.0421,1.0
336,21.txt,10.0,2.0,1.54,4.74,114.0,0.1327,0.0306,1.0
337,29.txt,9.0,2.0,1.49,4.74,92.0,0.1538,0.0,1.0
338,492.txt,5.0,2.0,1.54,4.82,89.0,0.1667,0.0513,1.0
339,50.txt,5.0,2.0,1.57,4.8,98.0,0.1875,0.025,1.0
340,147.txt,22.0,3.0,1.49,4.49,226.0,0.0942,0.0,1.0
341,249.txt,15.0,4.0,1.48,4.67,199.0,0.0941,0.0,1.0
342,475.txt,31.0,3.0,1.38,4.24,363.0,0.0588,0.0261,1.0
343,30.txt,7.0,3.0,1.4,4.29,117.0,0.1596,0.0426,1.0
344,54.txt,5.0,2.0,1.57,4.8,98.0,0.1875,0.025,1.0
