Filename,NP/S,VP/S,PP/S,NPlen,VPlen,PPlen,cli,fks
441.txt, 3.0, 1.58, 0.92, 1.72, 1.58, 1.0, 11.248, 46.285
463.txt, 3.92, 1.69, 1.15, 1.82, 1.68, 1.0, 11.339, 39.828
387.txt, 6.33, 2.0, 2.33, 1.79, 1.22, 1.0, 11.536, 45.81
485.txt, 4.18, 2.0, 0.82, 1.87, 1.77, 1.0, 11.928, 47.499
76.txt, 4.5, 2.0, 1.17, 2.04, 1.75, 1.0, 11.877, 38.181
279.txt, 3.5, 1.64, 1.14, 1.73, 1.61, 1.06, 10.261, 45.326
23.txt, 6.0, 1.0, 2.0, 1.83, 1.0, 1.0, 16.65, 15.644
97.txt, 4.1, 1.6, 1.3, 2.05, 1.56, 1.0, 11.774, 42.378
84.txt, 3.89, 1.84, 0.95, 2.09, 1.54, 1.0, 13.238, 43.584
78.txt, 3.5, 1.38, 1.25, 2.57, 1.27, 1.0, 11.526, 42.225
276.txt, 3.56, 1.2, 1.4, 1.71, 1.77, 1.0, 11.969, 36.958
137.txt, 2.83, 1.33, 0.83, 1.74, 2.13, 1.0, 12.371, 36.054
235.txt, 3.67, 1.29, 1.46, 1.81, 1.77, 1.0, 11.071, 48.635
338.txt, 4.5, 1.58, 1.75, 1.91, 1.32, 1.0, 9.055, 55.751
74.txt, 3.4, 1.6, 1.0, 2.0, 1.0, 1.0, 14.191, 26.47
165.txt, 3.9, 1.2, 1.2, 2.13, 1.58, 1.0, 13.281, 44.547
267.txt, 5.6, 2.3, 1.7, 1.55, 1.61, 1.0, 11.417, 50.425
266.txt, 4.12, 2.04, 0.73, 1.89, 1.51, 1.0, 12.943, 41.453
438.txt, 3.55, 1.45, 1.36, 2.23, 1.5, 1.0, 10.417, 44.041
3.txt, 4.17, 1.92, 1.58, 1.6, 1.74, 1.0, 11.91, 42.263
160.txt, 3.96, 1.71, 1.14, 1.79, 1.33, 1.0, 11.237, 44.068
94.txt, 4.86, 2.0, 1.14, 1.85, 1.57, 1.0, 12.388, 42.316
497.txt, 3.44, 1.4, 0.8, 1.73, 1.54, 1.0, 13.804, 34.62
105.txt, 3.71, 1.71, 0.97, 1.73, 1.77, 1.0, 8.884, 54.526
64.txt, 4.25, 1.5, 1.25, 2.29, 1.17, 1.0, 14.347, 30.707
108.txt, 3.25, 1.75, 0.75, 2.0, 1.57, 1.0, 16.267, 13.596
103.txt, 4.0, 2.0, 0.86, 2.21, 1.93, 1.0, 12.2, 36.776
479.txt, 3.0, 1.35, 0.88, 1.61, 1.39, 1.0, 10.211, 40.017
49.txt, 5.13, 2.38, 2.25, 2.24, 1.63, 1.0, 11.126, 44.348
467.txt, 4.2, 1.67, 1.27, 1.83, 1.2, 1.0, 13.617, 38.344
155.txt, 4.0, 1.64, 1.5, 1.75, 1.52, 1.0, 12.681, 39.964
493.txt, 3.74, 1.58, 1.13, 1.97, 1.55, 1.0, 13.415, 45.511
360.txt, 3.41, 1.71, 0.88, 2.05, 1.45, 1.0, 9.362, 55.368
495.txt, 4.17, 1.83, 1.25, 1.74, 1.68, 1.0, 11.761, 36.002
332.txt, 3.3, 1.57, 1.09, 1.84, 1.56, 1.0, 12.075, 42.168
127.txt, 3.5, 1.5, 0.92, 2.24, 1.44, 1.0, 11.694, 43.143
5.txt, 4.63, 2.63, 1.38, 1.92, 1.52, 1.0, 14.171, 34.957
95.txt, 4.35, 1.88, 1.41, 1.86, 1.53, 1.0, 10.883, 47.84
212.txt, 3.46, 1.79, 0.88, 1.61, 1.56, 1.0, 13.092, 35.559
451.txt, 5.25, 2.13, 1.38, 1.79, 1.71, 1.0, 12.579, 35.872
377.txt, 3.36, 1.64, 1.0, 1.77, 1.65, 1.0, 11.268, 45.573
61.txt, 4.86, 2.29, 1.14, 2.0, 1.31, 1.0, 12.695, 38.807
75.txt, 2.75, 1.25, 1.25, 2.27, 1.5, 1.0, 13.161, 32.521
200.txt, 4.33, 1.43, 1.81, 1.99, 1.33, 1.0, 12.176, 46.042
98.txt, 4.75, 2.25, 1.25, 2.16, 2.22, 1.0, 9.832, 53.44
152.txt, 3.91, 1.36, 1.18, 1.79, 1.47, 1.0, 13.325, 31.163
301.txt, 4.17, 1.75, 1.58, 1.68, 1.43, 1.0, 13.76, 35.443
104.txt, 3.83, 2.0, 1.17, 1.74, 1.75, 1.0, 12.617, 33.007
373.txt, 3.63, 1.74, 1.0, 1.7, 1.42, 1.0, 12.171, 41.297
381.txt, 3.0, 1.0, 0.92, 1.97, 1.31, 1.08, 13.434, 32.661
265.txt, 3.3, 1.5, 1.3, 1.85, 1.27, 1.0, 13.378, 38.976
471.txt, 2.88, 1.5, 0.44, 1.78, 1.79, 1.0, 14.691, 25.642
258.txt, 3.31, 1.46, 0.69, 1.95, 2.05, 1.0, 13.623, 38.966
315.txt, 4.43, 1.87, 1.3, 1.96, 1.4, 1.0, 12.15, 36.656
344.txt, 4.0, 1.44, 1.25, 1.91, 1.35, 1.0, 11.146, 42.362
22.txt, 3.2, 1.4, 1.2, 3.19, 1.57, 1.0, 13.345, 35.014
371.txt, 3.53, 1.59, 1.12, 1.97, 1.22, 1.0, 12.75, 39.912
480.txt, 3.47, 1.53, 1.13, 1.77, 1.48, 1.0, 12.723, 35.329
52.txt, 4.94, 2.11, 1.72, 1.74, 1.63, 1.0, 11.209, 46.048
222.txt, 3.09, 1.36, 0.82, 1.88, 1.53, 1.0, 10.559, 43.247
38.txt, 4.25, 1.5, 1.25, 2.29, 1.17, 1.0, 14.347, 30.707
255.txt, 3.14, 1.52, 0.86, 1.79, 1.72, 1.06, 11.336, 44.848
181.txt, 3.5, 1.64, 1.0, 1.69, 1.43, 1.0, 10.313, 40.407
215.txt, 3.6, 1.8, 1.2, 1.89, 1.5, 1.0, 11.085, 41.443
144.txt, 3.69, 1.31, 1.31, 1.65, 1.59, 1.0, 13.749, 28.694
443.txt, 3.87, 1.61, 1.19, 1.99, 1.66, 1.0, 11.859, 38.765
348.txt, 3.88, 1.35, 1.35, 1.64, 1.09, 1.0, 11.667, 34.106
244.txt, 3.27, 1.45, 0.82, 1.81, 1.31, 1.0, 14.134, 41.27
197.txt, 4.7, 2.0, 1.3, 1.79, 1.6, 1.08, 10.62, 48.84
431.txt, 3.7, 1.6, 0.9, 2.16, 1.75, 1.0, 11.21, 45.023
217.txt, 3.23, 1.35, 0.9, 1.95, 1.88, 1.0, 11.333, 40.687
33.txt, 3.6, 1.4, 1.8, 2.06, 2.07, 1.0, 13.5, 30.615
345.txt, 4.73, 1.82, 1.64, 1.81, 1.4, 1.0, 11.612, 44.88
238.txt, 2.65, 1.47, 0.59, 1.91, 1.68, 1.0, 11.126, 37.842
223.txt, 5.78, 2.22, 2.0, 1.96, 1.45, 1.0, 12.309, 41.414
393.txt, 3.83, 1.94, 1.0, 1.86, 1.66, 1.0, 10.205, 55.314
419.txt, 4.13, 1.52, 1.74, 1.79, 1.66, 1.0, 12.343, 44.19
196.txt, 4.4, 1.93, 1.13, 1.58, 1.41, 1.0, 12.42, 48.934
21.txt, 3.75, 1.13, 2.25, 1.87, 1.67, 1.0, 9.509, 46.396
362.txt, 4.27, 1.45, 1.91, 1.98, 1.69, 1.0, 10.857, 46.298
66.txt, 2.9, 1.3, 0.7, 2.07, 1.08, 1.0, 13.185, 27.485
136.txt, 4.29, 1.79, 1.36, 1.75, 1.64, 1.0, 11.461, 49.984
138.txt, 3.91, 1.91, 0.45, 1.65, 1.67, 1.0, 10.85, 50.146
368.txt, 3.77, 1.62, 1.08, 2.02, 1.67, 1.0, 12.669, 37.902
486.txt, 3.62, 1.41, 1.14, 1.92, 1.78, 1.0, 10.175, 47.027
43.txt, 3.67, 1.92, 0.67, 2.18, 1.13, 1.0, 12.898, 45.192
270.txt, 3.64, 1.57, 1.21, 1.8, 1.32, 1.0, 12.041, 39.366
402.txt, 3.41, 1.59, 1.22, 1.83, 1.65, 1.0, 10.633, 48.373
8.txt, 3.18, 1.18, 1.45, 1.86, 2.0, 1.0, 13.942, 32.928
199.txt, 3.33, 1.78, 0.67, 1.9, 1.5, 1.0, 13.712, 35.154
192.txt, 3.08, 1.77, 0.54, 1.77, 1.61, 1.0, 10.62, 52.803
310.txt, 3.73, 1.55, 1.27, 1.83, 1.59, 1.0, 11.856, 39.227
458.txt, 4.27, 1.91, 1.0, 1.77, 1.9, 1.0, 12.083, 37.455
296.txt, 3.48, 1.6, 0.96, 1.6, 1.48, 1.0, 11.552, 46.14
118.txt, 3.8, 1.4, 1.4, 1.26, 1.71, 1.0, 12.077, 42.9
110.txt, 3.67, 1.33, 1.78, 2.36, 1.0, 1.0, 10.778, 50.292
198.txt, 3.55, 1.64, 1.36, 2.0, 1.61, 1.0, 10.123, 48.813
355.txt, 3.9, 1.66, 1.07, 1.79, 1.54, 1.0, 10.679, 47.953
135.txt, 3.5, 1.63, 1.13, 2.43, 1.38, 1.0, 11.544, 31.498
216.txt, 3.5, 1.57, 0.86, 1.96, 1.77, 1.0, 13.005, 40.203
410.txt, 4.77, 2.0, 2.08, 1.58, 1.54, 1.0, 13.556, 36.713
326.txt, 4.62, 2.1, 1.67, 1.76, 1.68, 1.0, 13.704, 35.348
50.txt, 3.55, 1.55, 0.82, 2.0, 1.71, 1.0, 13.955, 41.005
494.txt, 3.36, 1.68, 0.93, 2.06, 1.66, 1.0, 11.879, 39.449
498.txt, 4.46, 1.77, 1.69, 1.79, 1.26, 1.0, 12.517, 34.987
440.txt, 4.75, 1.9, 1.55, 1.88, 1.5, 1.0, 12.391, 40.971
176.txt, 3.08, 1.62, 0.69, 1.6, 1.57, 1.0, 13.044, 42.483
323.txt, 3.65, 1.76, 0.88, 1.94, 1.2, 1.0, 12.486, 41.257
288.txt, 3.43, 1.36, 1.39, 2.06, 1.71, 1.0, 9.999, 47.356
275.txt, 3.96, 1.81, 0.96, 1.79, 1.65, 1.0, 11.368, 41.852
316.txt, 3.84, 1.71, 1.23, 1.64, 1.89, 1.0, 13.565, 35.465
357.txt, 4.92, 1.67, 1.42, 1.9, 1.65, 1.0, 11.167, 42.762
256.txt, 3.0, 1.5, 1.0, 2.03, 1.6, 1.0, 11.789, 46.822
253.txt, 4.55, 2.0, 1.27, 1.62, 1.41, 1.0, 14.944, 28.612
305.txt, 4.71, 1.95, 1.48, 1.87, 1.51, 1.0, 11.221, 40.709
119.txt, 3.0, 1.8, 0.4, 1.27, 1.67, 1.0, 8.365, 44.897
60.txt, 4.95, 1.79, 1.53, 1.84, 1.62, 1.0, 12.645, 40.96
141.txt, 3.31, 1.31, 1.08, 1.86, 1.53, 1.0, 15.467, 12.964
470.txt, 3.0, 1.36, 0.64, 2.07, 1.26, 1.0, 11.071, 38.337
278.txt, 3.71, 1.43, 1.21, 1.65, 1.3, 1.0, 11.553, 44.405
44.txt, 4.67, 1.33, 1.56, 2.19, 1.83, 1.0, 14.413, 30.034
7.txt, 4.63, 1.63, 2.63, 1.76, 1.85, 1.0, 12.679, 38.23
491.txt, 3.0, 1.37, 0.86, 1.89, 1.44, 1.0, 12.649, 31.741
242.txt, 3.77, 1.71, 1.17, 1.81, 1.73, 1.0, 10.01, 46.817
46.txt, 3.58, 1.67, 1.5, 1.95, 2.0, 1.0, 11.086, 50.653
172.txt, 5.89, 2.44, 1.67, 1.75, 1.23, 1.0, 11.919, 50.071
400.txt, 4.11, 1.89, 1.44, 1.73, 1.71, 1.0, 11.968, 44.885
32.txt, 3.11, 1.44, 1.33, 2.0, 1.23, 1.08, 12.555, 36.326
277.txt, 3.75, 1.58, 1.08, 2.07, 1.74, 1.0, 12.29, 34.27
132.txt, 3.67, 1.53, 1.33, 1.95, 1.43, 1.0, 13.336, 38.628
343.txt, 3.64, 1.36, 1.64, 2.02, 1.21, 1.0, 15.061, 17.737
350.txt, 4.1, 1.62, 1.45, 1.79, 1.72, 1.0, 11.492, 45.215
56.txt, 5.25, 2.13, 2.5, 1.93, 1.29, 1.0, 10.994, 50.861
342.txt, 3.73, 1.64, 1.14, 1.78, 1.44, 1.0, 10.319, 46.328
125.txt, 3.22, 1.67, 0.67, 1.62, 1.53, 1.0, 12.933, 41.912
158.txt, 3.37, 1.53, 1.13, 1.92, 1.63, 1.0, 12.176, 40.521
169.txt, 4.0, 1.0, 2.0, 2.0, 1.5, 1.0, 14.972, 25.455
334.txt, 3.4, 1.5, 1.6, 1.79, 1.33, 1.0, 12.542, 33.208
245.txt, 4.29, 2.07, 1.14, 1.83, 1.52, 1.0, 12.946, 38.024
41.txt, 4.35, 1.75, 1.35, 1.75, 1.51, 1.0, 11.952, 44.792
106.txt, 2.0, 1.33, 0.67, 2.0, 1.25, 1.0, 14.934, 32.769
331.txt, 2.71, 1.12, 0.65, 1.67, 1.26, 1.0, 14.02, 26.685
403.txt, 4.17, 1.92, 0.88, 2.16, 1.5, 1.0, 12.605, 46.675
67.txt, 3.88, 1.75, 1.25, 1.48, 1.5, 1.0, 12.771, 44.988
211.txt, 4.21, 1.86, 1.34, 1.48, 1.54, 1.0, 10.679, 52.542
422.txt, 4.58, 1.92, 1.42, 1.83, 1.6, 1.0, 12.599, 45.712
317.txt, 3.17, 1.5, 0.92, 2.16, 1.61, 1.0, 12.398, 41.686
168.txt, 3.11, 1.67, 0.44, 1.75, 1.2, 1.0, 13.268, 36.485
145.txt, 3.54, 1.71, 1.11, 1.62, 1.58, 1.0, 12.985, 40.346
182.txt, 3.75, 1.67, 1.25, 1.71, 1.35, 1.0, 14.059, 29.548
68.txt, 4.13, 1.75, 1.56, 2.36, 1.5, 1.0, 13.658, 32.224
88.txt, 5.63, 2.13, 1.25, 2.18, 1.35, 1.0, 10.819, 47.354
220.txt, 3.0, 1.25, 0.75, 1.83, 1.35, 1.0, 12.095, 33.902
40.txt, 3.6, 2.0, 1.0, 1.94, 1.7, 1.0, 11.904, 48.284
424.txt, 4.29, 1.64, 1.29, 1.74, 1.46, 1.0, 11.434, 44.792
189.txt, 3.5, 1.18, 1.36, 1.99, 1.38, 1.0, 14.828, 21.625
375.txt, 4.4, 1.68, 1.36, 1.75, 1.6, 1.0, 10.888, 45.129
382.txt, 3.92, 1.92, 1.08, 2.24, 1.68, 1.0, 10.77, 43.102
364.txt, 4.15, 1.85, 1.08, 1.59, 1.33, 1.07, 13.902, 34.527
452.txt, 3.89, 1.78, 1.11, 1.54, 1.53, 1.0, 11.38, 37.897
340.txt, 4.33, 1.33, 1.67, 1.46, 1.58, 1.0, 14.127, 26.613
439.txt, 4.04, 1.62, 1.04, 2.0, 1.48, 1.0, 10.607, 47.134
398.txt, 5.27, 2.0, 2.0, 1.78, 1.68, 1.0, 11.038, 50.773
446.txt, 3.63, 1.44, 1.19, 1.89, 1.56, 1.03, 14.355, 34.333
