Filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv, modv,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C,class
229.txt,5,32,9,20,9,40,9,22,9,0.55,0.41,0.28,0.50,1.50,0.87,32,32,32,32,0.80,0.80,3.58,5.06,0.94,26.48,0.91,1.00,6.00,1.73,0.27,0.85,0.09,0.05,0.14,40,5,6,4,5,0,0,1,3,8.0000,8.0000,10.0000,0.8000,1.2000,0.8000,0.0000,0.0000,1.0000,0.0000,0.2000,0.2500,0.6000,0.7500,1
493.txt,6,42,11,23,11,50,13,26,13,0.52,0.50,0.26,0.50,1.50,0.87,42,42,42.00,42.00,0.84,0.84,4.20,5.94,0.96,38.12,0.88,0.83,4.17,1.44,0.19,0.93,0.12,0.04,0.15,50,6,6,6,5,0,0,1,2,8.3333,10.0000,8.3333,1.0000,1.2000,1.2000,0.0000,0.0000,0.8333,0.0000,0.2000,0.1667,0.4000,0.3333,1
42.txt,12,67,23,47,23,118,31,72,31,0.61,0.43,0.34,0.39,3.52,1.33,67,38,35.50,33.40,0.57,0.70,4.36,6.17,0.88,17.46,0.65,0.61,8.52,2.06,0.19,0.68,0.08,0.01,0.10,117,12,14,10,10,1,1,2,13,9.7500,11.7000,11.7000,0.8333,1.4000,1.0000,0.1000,0.1000,0.8333,0.1000,0.2000,0.2000,1.3000,1.3000,1
92.txt,9,53,25,34,23,84,40,46,35,0.55,0.76,0.47,0.38,1.12,0.75,53,34,36.10,34.40,0.63,0.68,4.09,5.78,0.90,18.51,0.74,0.62,3.12,1.25,0.11,0.73,0.09,0.02,0.11,82,9,10,10,8,2,2,2,9,9.1111,10.2500,8.2000,1.1111,1.2500,1.2500,0.2000,0.2500,0.8889,0.2500,0.2500,0.2000,1.1250,0.9000,1
337.txt,8,77,34,56,31,115,44,76,40,0.66,0.53,0.44,0.39,3.52,1.33,77,41,40.60,40.60,0.67,0.82,5.08,7.18,0.92,24.38,0.74,0.74,12.57,2.51,0.22,0.72,0.04,0.04,0.08,115,8,14,12,9,3,3,7,11,14.3750,12.7778,9.5833,1.5000,1.5556,1.3333,0.2500,0.3333,1.1250,0.3333,0.7778,0.5833,1.2222,0.9167,1
117.txt,25,127,53,88,49,235,85,138,80,0.59,0.58,0.42,0.32,3.89,1.39,127,36,39.80,38.80,0.54,0.73,5.86,8.28,0.89,21.04,0.64,0.68,16.89,2.91,0.18,0.61,0.09,0.01,0.10,235,25,39,29,25,6,5,9,24,9.4000,9.4000,8.1034,1.1600,1.5600,1.1600,0.2069,0.2400,1.0000,0.2000,0.3600,0.3103,0.9600,0.8276,1
23.txt,10,61,31,43,31,87,43,55,43,0.63,0.78,0.51,0.57,4.57,1.51,61,38,39.40,37.50,0.70,0.76,4.62,6.54,0.92,24.40,0.78,0.71,7.14,1.89,0.18,0.78,0.07,0.02,0.09,87,10,11,11,11,0,0,2,7,8.7000,7.9091,7.9091,1.1000,1.0000,1.0000,0.0000,0.0000,1.1000,0.0000,0.1818,0.1818,0.6364,0.6364,1
381.txt,12,72,37,46,33,110,57,67,53,0.61,0.79,0.51,0.59,7.68,1.96,72,33,37.10,36.90,0.65,0.74,4.85,6.86,0.91,22.64,0.69,0.68,10.23,2.26,0.22,0.68,0.04,0.01,0.06,108,12,15,14,12,1,1,3,8,9.0000,9.0000,7.7143,1.1667,1.2500,1.1667,0.0714,0.0833,1.0000,0.0833,0.2500,0.2143,0.6667,0.5714,1
44.txt,7,46,15,29,14,75,19,39,18,0.52,0.46,0.33,0.43,1.29,0.80,46,31,32.20,30.00,0.61,0.62,3.76,5.31,0.89,16.56,0.74,0.57,2.29,1.07,0.10,0.76,0.05,0.03,0.08,75,7,8,8,7,1,1,1,11,10.7143,10.7143,9.3750,1.1429,1.1429,1.1429,0.1250,0.1429,1.0000,0.1429,0.1429,0.1250,1.5714,1.3750,1
293.txt,15,105,40,67,38,168,67,97,65,0.58,0.67,0.38,0.47,6.53,1.81,105,41,40.20,40.00,0.62,0.76,5.73,8.10,0.91,24.26,0.69,0.77,17.63,2.97,0.24,0.64,0.06,0.01,0.07,166,15,27,19,15,7,3,3,17,11.0667,11.0667,8.7368,1.2667,1.8000,1.2667,0.3684,0.4667,1.0000,0.2000,0.2000,0.1579,1.1333,0.8947,1
484.txt,13,78,35,51,33,111,47,64,45,0.58,0.70,0.45,0.59,7.68,1.96,78,37,41.20,39.00,0.70,0.78,5.24,7.40,0.93,27.30,0.80,0.82,14.73,2.71,0.28,0.74,0.12,0.03,0.16,111,13,19,15,13,2,2,3,10,8.5385,8.5385,7.4000,1.1538,1.4615,1.1538,0.1333,0.1538,1.0000,0.1538,0.2308,0.2000,0.7692,0.6667,1
211.txt,4,41,17,26,17,51,17,27,17,0.53,0.63,0.41,0.60,1.80,0.95,41,40,40.30,40.00,0.80,0.80,4.06,5.74,0.94,30.76,0.96,1.00,5.00,1.58,0.19,0.95,0.04,0.00,0.04,51,4,6,4,4,0,0,4,3,12.7500,12.7500,12.7500,1.0000,1.5000,1.0000,0.0000,0.0000,1.0000,0.0000,1.0000,1.0000,0.7500,0.7500,1
7.txt,8,64,30,46,29,95,42,61,39,0.64,0.64,0.47,0.73,8.07,2.01,64,36,38.80,38.30,0.67,0.72,4.64,6.57,0.91,22.80,0.75,0.87,11.27,2.37,0.21,0.71,0.07,0.00,0.07,95,8,11,9,8,1,1,1,13,11.8750,11.8750,10.5556,1.1250,1.3750,1.1250,0.1111,0.1250,1.0000,0.1250,0.1250,0.1111,1.6250,1.4444,1
312.txt,6,39,13,24,13,66,19,33,19,0.50,0.58,0.33,0.33,1.00,0.71,39,27,32.50,29.60,0.59,0.54,3.39,4.80,0.87,14.49,0.73,0.67,4.00,1.41,0.18,0.71,0.09,0.00,0.09,66,6,7,6,6,1,1,4,6,11.0000,11.0000,11.0000,1.0000,1.1667,1.0000,0.1667,0.1667,1.0000,0.1667,0.6667,0.6667,1.0000,1.0000,1
444.txt,16,76,27,51,27,132,47,78,47,0.59,0.60,0.36,0.38,3.85,1.39,76,36,37.60,35.10,0.58,0.70,4.68,6.61,0.89,18.76,0.65,0.69,12.46,2.50,0.23,0.60,0.10,0.01,0.12,132,16,23,18,16,2,2,4,10,8.2500,8.2500,7.3333,1.1250,1.4375,1.1250,0.1111,0.1250,1.0000,0.1250,0.2500,0.2222,0.6250,0.5556,1
374.txt,11,70,25,42,22,109,36,62,33,0.57,0.53,0.36,0.47,3.27,1.28,70,36,39.80,36.30,0.64,0.79,4.74,6.70,0.91,21.58,0.68,0.73,8.07,2.01,0.18,0.75,0.11,0.00,0.11,107,11,12,12,11,2,1,5,9,9.7273,9.7273,8.9167,1.0909,1.0909,1.0909,0.1667,0.1818,1.0000,0.0909,0.4545,0.4167,0.8182,0.7500,1
295.txt,16,87,41,54,38,143,70,87,67,0.61,0.77,0.47,0.52,7.26,1.91,87,42,41.00,37.00,0.61,0.80,5.14,7.28,0.90,21.53,0.62,0.59,9.48,2.18,0.18,0.58,0.10,0.01,0.11,141,16,25,22,17,5,5,3,14,8.8125,8.2941,6.4091,1.3750,1.4706,1.2941,0.2273,0.2941,1.0625,0.2941,0.1765,0.1364,0.8235,0.6364,1
436.txt,10,65,27,47,27,92,34,58,34,0.63,0.59,0.42,0.44,3.06,1.24,65,43,41.20,36.60,0.71,0.86,4.79,6.78,0.92,25.56,0.81,0.75,9.00,2.12,0.21,0.83,0.10,0.00,0.10,92,10,14,13,10,2,2,3,10,9.2000,9.2000,7.0769,1.3000,1.4000,1.3000,0.1538,0.2000,1.0000,0.2000,0.3000,0.2308,1.0000,0.7692,1
230.txt,23,169,63,113,60,294,90,156,85,0.53,0.54,0.37,0.53,11.03,2.35,169,44,41.00,41.40,0.57,0.84,6.97,9.86,0.90,25.34,0.72,0.75,22.50,3.35,0.19,0.79,0.08,0.02,0.10,290,23,39,33,23,9,8,5,28,12.6087,12.6087,8.7879,1.4348,1.6957,1.4348,0.2727,0.3913,1.0000,0.3478,0.2174,0.1515,1.2174,0.8485,1
494.txt,13,81,25,55,25,134,32,86,32,0.64,0.37,0.31,0.32,2.56,1.13,81,34,37.30,36.50,0.60,0.71,4.95,7.00,0.90,20.70,0.64,0.64,10.24,2.26,0.19,0.62,0.06,0.00,0.06,134,13,22,15,14,0,0,3,12,10.3077,9.5714,8.9333,1.1538,1.5714,1.0714,0.0000,0.0000,1.0769,0.0000,0.2143,0.2000,0.8571,0.8000,1
261.txt,15,83,29,54,27,139,41,79,39,0.57,0.49,0.35,0.31,1.56,0.88,83,36,38.30,34.50,0.60,0.76,4.98,7.04,0.90,20.51,0.68,0.69,7.56,1.94,0.14,0.70,0.13,0.01,0.14,137,15,19,15,15,0,0,1,16,9.1333,9.1333,9.1333,1.0000,1.2667,1.0000,0.0000,0.0000,1.0000,0.0000,0.0667,0.0667,1.0667,1.0667,1
61.txt,11,57,27,39,27,90,39,57,39,0.63,0.68,0.47,0.46,2.77,1.18,57,39,37.30,38.20,0.63,0.78,4.25,6.01,0.90,19.25,0.68,0.77,7.69,1.96,0.18,0.68,0.09,0.02,0.11,90,11,13,13,11,2,2,3,13,8.1818,8.1818,6.9231,1.1818,1.1818,1.1818,0.1538,0.1818,1.0000,0.1818,0.2727,0.2308,1.1818,1.0000,1
12.txt,12,73,35,45,30,126,53,67,44,0.53,0.66,0.48,0.57,7.35,1.92,73,34,37.40,32.80,0.58,0.68,4.60,6.50,0.89,18.61,0.67,0.70,11.13,2.36,0.24,0.58,0.10,0.01,0.12,120,12,20,18,13,4,4,2,13,10.0000,9.2308,6.6667,1.5000,1.5385,1.3846,0.2222,0.3077,1.0833,0.3077,0.1538,0.1111,1.0000,0.7222,1
16.txt,28,163,54,116,53,300,75,176,73,0.59,0.41,0.33,0.39,9.29,2.16,163,36,42.30,38.50,0.54,0.81,6.65,9.41,0.89,23.16,0.66,0.71,31.23,3.95,0.25,0.62,0.03,0.01,0.04,300,28,51,36,27,10,8,10,20,10.7143,11.1111,8.3333,1.2857,1.8889,1.3333,0.2778,0.3704,0.9643,0.2963,0.3704,0.2778,0.7407,0.5556,1
134.txt,20,74,28,43,25,144,45,80,41,0.56,0.51,0.38,0.29,2.29,1.07,74,38,36.00,30.00,0.51,0.68,4.36,6.17,0.87,16.11,0.54,0.46,6.04,1.74,0.16,0.63,0.04,0.01,0.05,144,20,23,25,20,6,6,2,10,7.2000,7.2000,5.7600,1.2500,1.1500,1.2500,0.2400,0.3000,1.0000,0.3000,0.1000,0.0800,0.5000,0.4000,1
309.txt,11,104,48,73,43,162,63,93,58,0.57,0.62,0.46,0.48,4.76,1.54,104,34,39.50,40.10,0.64,0.80,5.78,8.17,0.91,25.36,0.78,0.81,13.76,2.62,0.18,0.76,0.13,0.02,0.15,158,11,18,13,11,1,1,2,17,14.3636,14.3636,12.1538,1.1818,1.6364,1.1818,0.0769,0.0909,1.0000,0.0909,0.1818,0.1538,1.5455,1.3077,1
28.txt,13,93,39,59,36,135,51,75,48,0.56,0.64,0.42,0.72,12.96,2.55,93,39,41.20,40.10,0.69,0.79,5.66,8.00,0.92,28.04,0.79,0.92,21.16,3.25,0.31,0.69,0.04,0.03,0.07,135,13,21,16,13,4,4,5,13,10.3846,10.3846,8.4375,1.2308,1.6154,1.2308,0.2500,0.3077,1.0000,0.3077,0.3846,0.3125,1.0000,0.8125,1
373.txt,21,127,62,95,61,199,79,124,78,0.62,0.63,0.49,0.41,4.48,1.50,127,33,39.40,40.40,0.64,0.79,6.37,9.00,0.92,27.09,0.77,0.74,14.81,2.72,0.16,0.80,0.13,0.01,0.14,199,21,21,20,21,0,0,8,28,9.4762,9.4762,9.9500,0.9524,1.0000,0.9524,0.0000,0.0000,1.0000,0.0000,0.3810,0.4000,1.3333,1.4000,1
404.txt,9,52,14,32,13,84,26,47,24,0.56,0.51,0.27,0.17,0.17,0.29,52,35,36.10,33.90,0.62,0.70,4.01,5.67,0.89,17.78,0.68,0.33,0.67,0.58,0.04,0.72,0.13,0.02,0.15,84,9,8,7,8,0,0,2,12,9.3333,10.5000,12.0000,0.7778,1.0000,0.8750,0.0000,0.0000,0.8889,0.0000,0.2500,0.2857,1.5000,1.7143,1
410.txt,9,54,20,38,20,67,22,41,22,0.61,0.54,0.37,0.71,8.47,2.06,54,40,41.40,39.20,0.81,0.80,4.66,6.60,0.95,35.59,0.93,0.88,13.24,2.57,0.37,0.95,0.10,0.02,0.12,67,9,12,10,9,1,1,2,6,7.4444,7.4444,6.7000,1.1111,1.3333,1.1111,0.1000,0.1111,1.0000,0.1111,0.2222,0.2000,0.6667,0.6000,1
120.txt,25,156,63,109,61,301,87,163,85,0.54,0.52,0.40,0.24,2.82,1.19,156,36,40.70,38.70,0.52,0.76,6.36,8.99,0.88,21.52,0.67,0.55,15.37,2.77,0.17,0.73,0.12,0.04,0.16,299,25,50,30,27,8,8,10,27,11.9600,11.0741,9.9667,1.2000,1.8519,1.1111,0.2667,0.2963,1.0800,0.2963,0.3704,0.3333,1.0000,0.9000,1
358.txt,30,110,43,78,43,229,81,131,81,0.57,0.62,0.39,0.24,1.94,0.98,110,37,38.20,37.10,0.48,0.75,5.14,7.27,0.87,17.49,0.60,0.61,12.12,2.46,0.15,0.55,0.08,0.01,0.09,229,30,31,29,30,0,0,8,21,7.6333,7.6333,7.8966,0.9667,1.0333,0.9667,0.0000,0.0000,1.0000,0.0000,0.2667,0.2759,0.7000,0.7241,1
52.txt,8,65,31,39,30,100,51,61,50,0.61,0.82,0.48,0.73,5.82,1.71,65,39,38.80,37.30,0.65,0.77,4.60,6.50,0.91,21.38,0.64,0.82,7.36,1.92,0.15,0.58,0.07,0.00,0.07,100,8,11,10,8,2,1,2,11,12.5000,12.5000,10.0000,1.2500,1.3750,1.2500,0.2000,0.2500,1.0000,0.1250,0.2500,0.2000,1.3750,1.1000,1
38.txt,12,88,31,57,29,135,44,78,41,0.58,0.53,0.35,0.29,2.29,1.07,88,42,41.30,42.10,0.65,0.82,5.36,7.57,0.91,24.42,0.73,0.71,14.29,2.67,0.26,0.73,0.08,0.01,0.09,133,12,27,17,12,5,5,2,14,11.0833,11.0833,7.8235,1.4167,2.2500,1.4167,0.2941,0.4167,1.0000,0.4167,0.1667,0.1176,1.1667,0.8235,1
203.txt,14,72,27,51,26,126,46,76,45,0.60,0.59,0.38,0.42,3.37,1.30,72,33,37.10,37.30,0.57,0.71,4.54,6.41,0.88,18.15,0.67,0.84,13.47,2.60,0.21,0.60,0.11,0.01,0.12,126,14,17,13,12,1,1,5,10,9.0000,10.5000,9.6923,0.9286,1.4167,1.0833,0.0769,0.0833,0.8571,0.0833,0.4167,0.3846,0.8333,0.7692,1
482.txt,8,48,18,29,17,68,24,38,23,0.56,0.61,0.38,0.45,2.27,1.07,48,36,37.70,37.70,0.71,0.72,4.12,5.82,0.92,22.20,0.76,0.82,7.36,1.92,0.24,0.72,0.05,0.00,0.05,68,8,10,9,8,1,1,2,5,8.5000,8.5000,7.5556,1.1250,1.2500,1.1250,0.1111,0.1250,1.0000,0.1250,0.2500,0.2222,0.6250,0.5556,1
27.txt,8,57,30,44,30,77,36,50,36,0.65,0.72,0.53,0.56,5.56,1.67,57,38,40.50,39.60,0.74,0.76,4.59,6.50,0.93,27.25,0.88,0.78,10.89,2.33,0.28,0.93,0.06,0.02,0.08,77,8,13,10,9,1,1,3,8,9.6250,8.5556,7.7000,1.2500,1.4444,1.1111,0.1000,0.1111,1.1250,0.1111,0.3333,0.3000,0.8889,0.8000,1
98.txt,9,57,21,39,21,84,26,46,25,0.55,0.54,0.37,0.45,2.27,1.07,57,36,38.40,36.80,0.68,0.72,4.40,6.22,0.91,21.99,0.85,1.00,11.00,2.35,0.24,0.80,0.00,0.00,0.00,84,9,13,8,9,0,0,3,6,9.3333,9.3333,10.5000,0.8889,1.4444,0.8889,0.0000,0.0000,1.0000,0.0000,0.3333,0.3750,0.6667,0.7500,1
386.txt,27,148,70,99,63,253,108,136,91,0.54,0.67,0.47,0.53,12.30,2.48,148,42,41.50,38.60,0.58,0.80,6.58,9.30,0.90,24.80,0.73,0.67,19.56,3.13,0.21,0.78,0.06,0.03,0.09,243,27,38,32,27,1,1,7,20,9.0000,9.0000,7.5938,1.1852,1.4074,1.1852,0.0312,0.0370,1.0000,0.0370,0.2593,0.2188,0.7407,0.6250,1
103.txt,11,43,16,31,16,92,34,59,34,0.64,0.58,0.37,0.29,1.14,0.76,43,24,29.50,29.60,0.47,0.48,3.17,4.48,0.83,11.67,0.53,0.36,1.79,0.94,0.08,0.56,0.07,0.00,0.07,92,11,14,13,11,2,2,3,7,8.3636,8.3636,7.0769,1.1818,1.2727,1.1818,0.1538,0.1818,1.0000,0.1818,0.2727,0.2308,0.6364,0.5385,1
109.txt,9,59,23,41,23,112,43,71,43,0.63,0.61,0.39,0.44,3.06,1.24,59,36,32.70,30.90,0.53,0.62,3.94,5.57,0.86,15.09,0.58,0.56,5.06,1.59,0.13,0.54,0.08,0.00,0.08,112,9,13,12,9,3,3,2,8,12.4444,12.4444,9.3333,1.3333,1.4444,1.3333,0.2500,0.3333,1.0000,0.3333,0.2222,0.1667,0.8889,0.6667,1
106.txt,14,50,18,30,17,87,28,46,27,0.53,0.59,0.36,0.31,1.23,0.78,50,33,33.30,30.20,0.57,0.66,3.79,5.36,0.88,15.64,0.65,0.54,3.77,1.37,0.15,0.71,0.09,0.00,0.09,87,14,11,15,14,1,1,2,8,6.2143,6.2143,5.8000,1.0714,0.7857,1.0714,0.0667,0.0714,1.0000,0.0714,0.1429,0.1333,0.5714,0.5333,1
101.txt,14,54,15,34,15,101,30,58,30,0.57,0.52,0.28,0.42,2.08,1.02,54,31,33.10,28.00,0.53,0.66,3.80,5.37,0.86,14.77,0.59,0.42,2.08,1.02,0.09,0.57,0.09,0.02,0.10,101,14,10,12,13,0,0,1,9,7.2143,7.7692,8.4167,0.8571,0.7692,0.9231,0.0000,0.0000,0.9286,0.0000,0.0769,0.0833,0.6923,0.7500,1
248.txt,30,174,71,126,67,296,92,173,87,0.58,0.50,0.41,0.46,9.59,2.19,174,41,41.90,40.10,0.59,0.82,7.15,10.11,0.91,26.47,0.73,0.74,25.13,3.54,0.20,0.74,0.12,0.03,0.15,296,30,40,33,29,6,6,11,35,9.8667,10.2069,8.9697,1.1000,1.3793,1.1379,0.1818,0.2069,0.9667,0.2069,0.3793,0.3333,1.2069,1.0606,1
294.txt,7,35,13,22,13,50,18,27,18,0.54,0.67,0.37,0.43,1.29,0.80,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.81,0.71,3.57,1.34,0.19,0.80,0.19,0.00,0.19,50,7,6,7,7,1,1,2,2,7.1429,7.1429,7.1429,1.0000,0.8571,1.0000,0.1429,0.1429,1.0000,0.1429,0.2857,0.2857,0.2857,0.2857,1
321.txt,10,44,15,29,15,56,18,33,18,0.59,0.55,0.34,0.40,1.60,0.89,44,39,40.00,38.40,0.79,0.78,4.16,5.88,0.94,29.18,0.88,0.70,4.90,1.57,0.21,1.00,0.12,0.00,0.12,56,10,6,9,10,0,0,2,3,5.6000,5.6000,6.2222,0.9000,0.6000,0.9000,0.0000,0.0000,1.0000,0.0000,0.2000,0.2222,0.3000,0.3333,1
22.txt,7,59,23,38,22,85,30,50,29,0.59,0.58,0.39,0.43,2.57,1.13,59,38,39.60,39.00,0.69,0.76,4.53,6.40,0.92,23.48,0.76,0.71,7.14,1.89,0.20,0.75,0.12,0.02,0.14,85,7,13,10,8,2,2,3,9,12.1429,10.6250,8.5000,1.4286,1.6250,1.2500,0.2000,0.2500,1.1429,0.2500,0.3750,0.3000,1.1250,0.9000,1
328.txt,1,10,5,7,5,10,5,7,5,0.70,0.71,0.50,1.00,1.00,0.71,10,10,10,10,1.00,1.00,2.24,3.16,1.00,0,1.00,1.00,1.00,0.71,0.14,1.00,0.00,0.00,0.00,10,1,1,1,1,0,0,1,1,10.0000,10.0000,10.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1
429.txt,11,74,29,52,29,118,40,68,40,0.58,0.59,0.39,0.45,4.05,1.42,74,37,39.70,39.20,0.63,0.76,4.82,6.81,0.90,21.18,0.76,0.70,9.80,2.21,0.21,0.77,0.06,0.01,0.07,118,11,20,15,12,1,1,1,10,10.7273,9.8333,7.8667,1.3636,1.6667,1.2500,0.0667,0.0833,1.0909,0.0833,0.0833,0.0667,0.8333,0.6667,1
177.txt,7,39,18,29,18,69,31,47,31,0.68,0.66,0.46,0.31,1.23,0.78,39,27,32.20,27.50,0.57,0.54,3.32,4.70,0.87,13.65,0.62,0.69,6.23,1.77,0.19,0.57,0.06,0.02,0.09,69,7,10,8,8,0,0,2,5,9.8571,8.6250,8.6250,1.1429,1.2500,1.0000,0.0000,0.0000,1.1429,0.0000,0.2500,0.2500,0.6250,0.6250,1
199.txt,24,145,60,112,59,253,83,169,81,0.67,0.48,0.41,0.20,1.84,0.96,145,41,42.40,38.50,0.57,0.78,6.45,9.12,0.90,23.89,0.66,0.59,15.36,2.77,0.15,0.71,0.09,0.01,0.09,253,24,37,28,26,2,1,6,28,10.5417,9.7308,9.0357,1.1667,1.4231,1.0769,0.0714,0.0769,1.0833,0.0385,0.2308,0.2143,1.0769,1.0000,1
344.txt,15,72,26,45,25,119,40,62,39,0.52,0.63,0.36,0.50,3.50,1.32,72,40,39.20,39.00,0.61,0.82,4.67,6.60,0.89,19.74,0.73,0.71,7.14,1.89,0.16,0.73,0.08,0.02,0.10,119,15,15,16,15,2,1,2,17,7.9333,7.9333,7.4375,1.0667,1.0000,1.0667,0.1250,0.1333,1.0000,0.0667,0.1333,0.1250,1.1333,1.0625,1
363.txt,29,140,55,93,51,262,88,159,82,0.61,0.52,0.39,0.38,6.75,1.84,140,42,41.80,40.00,0.53,0.82,6.12,8.65,0.89,21.49,0.58,0.65,20.02,3.16,0.19,0.55,0.08,0.02,0.09,258,29,41,34,29,3,3,7,25,8.8966,8.8966,7.5882,1.1724,1.4138,1.1724,0.0882,0.1034,1.0000,0.1034,0.2414,0.2059,0.8621,0.7353,1
393.txt,21,127,57,85,53,204,89,118,79,0.58,0.67,0.45,0.49,9.26,2.15,127,39,40.70,40.10,0.62,0.80,6.29,8.89,0.91,25.92,0.72,0.74,21.56,3.28,0.25,0.69,0.08,0.00,0.08,196,21,34,30,21,7,6,2,18,9.3333,9.3333,6.5333,1.4286,1.6190,1.4286,0.2333,0.3333,1.0000,0.2857,0.0952,0.0667,0.8571,0.6000,1
