Filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv, modv,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C,class
293.txt,14,108,40,72,37,180,52,97,47,0.54,0.48,0.37,0.33,3.00,1.22,108,43,42.60,41.20,0.60,0.83,5.69,8.05,0.90,22.93,0.74,0.81,17.93,2.99,0.23,0.71,0.13,0.01,0.14,176,14,25,16,14,5,5,6,16,12.5714,12.5714,11.0000,1.1429,1.7857,1.1429,0.3125,0.3571,1.0000,0.3571,0.4286,0.3750,1.1429,1.0000,4
484.txt,22,197,97,147,93,418,161,225,148,0.54,0.66,0.49,0.54,22.12,3.33,197,35,40.20,38.40,0.47,0.77,6.81,9.64,0.88,21.03,0.65,0.70,36.96,4.30,0.24,0.58,0.11,0.02,0.13,405,22,49,34,23,14,12,14,43,18.4091,17.6087,11.9118,1.5455,2.1304,1.4783,0.4118,0.6087,1.0455,0.5217,0.6087,0.4118,1.8696,1.2647,4
211.txt,2,51,26,39,25,62,33,47,32,0.76,0.68,0.51,0.00,0.00,0.00,51,43,43.00,41.10,0.82,0.86,4.58,6.48,0.95,37.88,0.83,1.00,3.00,1.22,0.06,0.83,0.04,0.00,0.04,61,2,5,3,2,1,1,1,8,30.5000,30.5000,20.3333,1.5000,2.5000,1.5000,0.3333,0.5000,1.0000,0.5000,0.5000,0.3333,4.0000,2.6667,4
312.txt,48,301,119,235,117,701,189,385,183,0.55,0.48,0.40,0.32,13.60,2.61,301,35,42.80,38.00,0.43,0.79,8.04,11.37,0.87,22.06,0.61,0.56,42.47,4.61,0.20,0.63,0.07,0.02,0.09,695,48,107,72,53,22,17,29,68,14.4792,13.1132,9.6528,1.5000,2.0189,1.3585,0.3056,0.4151,1.1042,0.3208,0.5472,0.4028,1.2830,0.9444,4
444.txt,16,172,65,115,62,402,127,210,110,0.52,0.52,0.38,0.42,11.22,2.37,172,37,40.20,37.30,0.43,0.71,6.07,8.58,0.86,18.39,0.55,0.63,25.86,3.60,0.20,0.46,0.10,0.01,0.11,388,16,53,37,17,19,9,7,48,24.2500,22.8235,10.4865,2.3125,3.1176,2.1765,0.5135,1.1176,1.0625,0.5294,0.4118,0.1892,2.8235,1.2973,4
374.txt,17,154,52,106,50,225,66,128,60,0.57,0.47,0.34,0.45,8.10,2.01,154,46,44.70,42.90,0.68,0.84,7.26,10.27,0.93,33.60,0.83,0.82,27.23,3.69,0.26,0.79,0.14,0.04,0.18,219,17,30,20,17,7,6,6,20,12.8824,12.8824,10.9500,1.1765,1.7647,1.1765,0.3500,0.4118,1.0000,0.3529,0.3529,0.3000,1.1765,1.0000,4
295.txt,18,144,48,100,42,256,68,138,57,0.54,0.41,0.33,0.31,4.36,1.48,144,39,42.30,39.60,0.56,0.78,6.36,9.00,0.90,23.21,0.72,0.69,21.36,3.27,0.22,0.68,0.14,0.04,0.17,250,18,40,24,21,9,8,6,22,13.8889,11.9048,10.4167,1.3333,1.9048,1.1429,0.3750,0.4286,1.1667,0.3810,0.2857,0.2500,1.0476,0.9167,4
436.txt,21,165,60,117,55,315,86,170,77,0.54,0.45,0.36,0.40,9.12,2.14,165,41,41.80,38.40,0.52,0.79,6.57,9.30,0.89,22.23,0.69,0.71,28.98,3.81,0.24,0.63,0.14,0.02,0.16,309,21,48,24,23,4,4,5,32,14.7143,13.4348,12.8750,1.1429,2.0870,1.0435,0.1667,0.1739,1.0952,0.1739,0.2174,0.2083,1.3913,1.3333,4
230.txt,2,71,40,55,39,88,45,62,44,0.70,0.71,0.56,0.00,0.00,0.00,71,44,42.80,42.20,0.81,0.88,5.35,7.57,0.95,40.56,0.89,1.00,2.00,1.00,0.03,0.88,0.02,0.02,0.03,85,2,2,2,2,0,0,1,10,42.5000,42.5000,42.5000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.5000,0.5000,5.0000,5.0000,4
494.txt,23,191,92,141,88,391,159,225,147,0.58,0.65,0.48,0.35,9.47,2.18,191,40,41.40,38.30,0.49,0.78,6.83,9.66,0.88,21.60,0.63,0.60,27.48,3.71,0.20,0.67,0.10,0.01,0.11,381,23,57,37,24,13,12,11,46,16.5652,15.8750,10.2973,1.6087,2.3750,1.5417,0.3514,0.5417,1.0435,0.5000,0.4583,0.2973,1.9167,1.2432,4
261.txt,18,159,65,114,60,277,89,158,82,0.57,0.52,0.41,0.47,9.80,2.21,159,39,42.70,42.60,0.57,0.79,6.76,9.55,0.90,24.75,0.72,0.67,20.00,3.16,0.19,0.74,0.11,0.04,0.15,273,18,37,23,20,5,5,9,27,15.1667,13.6500,11.8696,1.2778,1.8500,1.1500,0.2174,0.2500,1.1111,0.2500,0.4500,0.3913,1.3500,1.1739,4
61.txt,12,121,40,82,35,219,63,116,52,0.53,0.45,0.33,0.36,4.36,1.48,121,32,41.60,38.10,0.55,0.74,5.78,8.18,0.89,21.26,0.71,0.82,22.09,3.32,0.23,0.63,0.10,0.02,0.12,212,12,30,20,13,9,8,10,18,17.6667,16.3077,10.6000,1.6667,2.3077,1.5385,0.4500,0.6923,1.0833,0.6154,0.7692,0.5000,1.3846,0.9000,4
134.txt,17,154,62,115,57,264,81,152,74,0.58,0.49,0.40,0.35,5.57,1.67,154,33,42.30,41.80,0.58,0.79,6.70,9.48,0.90,25.05,0.76,0.74,25.13,3.54,0.22,0.77,0.12,0.03,0.14,261,17,39,19,18,5,5,14,21,15.3529,14.5000,13.7368,1.1176,2.1667,1.0556,0.2632,0.2778,1.0588,0.2778,0.7778,0.7368,1.1667,1.1053,4
530.txt,12,130,52,94,48,215,75,120,65,0.56,0.54,0.40,0.49,8.76,2.09,130,39,41.30,41.10,0.60,0.79,6.27,8.87,0.91,24.90,0.78,0.76,21.19,3.25,0.23,0.80,0.12,0.01,0.13,206,12,26,16,11,5,5,7,26,17.1667,18.7273,12.8750,1.3333,2.3636,1.4545,0.3125,0.4545,0.9167,0.4545,0.6364,0.4375,2.3636,1.6250,4
309.txt,18,149,63,114,61,254,81,149,77,0.59,0.52,0.42,0.55,12.60,2.51,149,40,42.60,41.40,0.59,0.82,6.61,9.35,0.90,24.97,0.77,0.83,29.17,3.82,0.23,0.74,0.08,0.01,0.09,250,18,36,20,22,4,4,12,20,13.8889,11.3636,12.5000,1.1111,1.6364,0.9091,0.2000,0.1818,1.2222,0.1818,0.5455,0.6000,0.9091,1.0000,4
373.txt,13,117,45,84,41,189,57,107,51,0.57,0.48,0.38,0.43,6.43,1.79,117,38,41.20,40.20,0.62,0.83,6.02,8.51,0.91,24.88,0.79,0.77,20.83,3.23,0.25,0.76,0.12,0.03,0.15,185,13,30,17,13,7,7,2,19,14.2308,14.2308,10.8824,1.3077,2.3077,1.3077,0.4118,0.5385,1.0000,0.5385,0.1538,0.1176,1.4615,1.1176,4
514.txt,20,203,90,141,82,379,132,205,119,0.54,0.58,0.44,0.43,11.27,2.37,203,39,42.60,41.10,0.54,0.79,7.37,10.43,0.89,24.52,0.69,0.73,32.27,4.02,0.21,0.62,0.14,0.03,0.17,371,20,43,25,19,6,5,15,37,18.5500,19.5263,14.8400,1.2500,2.2632,1.3158,0.2400,0.3158,0.9500,0.2632,0.7895,0.6000,1.9474,1.4800,4
404.txt,10,102,35,67,31,157,51,85,41,0.54,0.48,0.34,0.38,3.38,1.30,102,38,42.40,39.10,0.65,0.77,5.76,8.14,0.91,25.74,0.79,0.79,15.04,2.74,0.22,0.77,0.11,0.02,0.13,149,10,21,12,9,6,4,2,14,14.9000,16.5556,12.4167,1.2000,2.3333,1.3333,0.5000,0.6667,0.9000,0.4444,0.2222,0.1667,1.5556,1.1667,4
410.txt,66,391,165,308,159,1159,321,627,295,0.54,0.47,0.42,0.26,11.91,2.44,391,42,43.20,40.50,0.34,0.81,8.12,11.49,0.85,19.90,0.49,0.49,40.52,4.50,0.13,0.47,0.09,0.02,0.11,1136,66,151,115,72,42,34,41,127,17.2121,15.7778,9.8783,1.7424,2.0972,1.5972,0.3652,0.5833,1.0909,0.4722,0.5694,0.3565,1.7639,1.1043,4
120.txt,21,145,57,102,50,261,77,138,68,0.53,0.49,0.39,0.36,6.81,1.85,145,35,40.40,39.50,0.56,0.78,6.35,8.98,0.89,22.88,0.74,0.74,28.70,3.79,0.28,0.70,0.13,0.01,0.14,258,21,44,27,22,10,8,14,19,12.2857,11.7273,9.5556,1.2857,2.0000,1.2273,0.3704,0.4545,1.0476,0.3636,0.6364,0.5185,0.8636,0.7037,4
527.txt,14,182,87,143,85,313,125,191,115,0.61,0.60,0.48,0.50,12.00,2.45,182,39,43.00,41.30,0.58,0.81,7.27,10.29,0.91,26.45,0.75,0.77,28.52,3.78,0.19,0.73,0.17,0.01,0.17,305,14,32,23,14,8,7,14,31,21.7857,21.7857,13.2609,1.6429,2.2857,1.6429,0.3478,0.5714,1.0000,0.5000,1.0000,0.6087,2.2143,1.3478,4
358.txt,18,156,62,117,59,266,84,153,77,0.58,0.50,0.40,0.46,7.81,1.98,156,42,40.70,38.70,0.59,0.79,6.76,9.56,0.90,25.37,0.76,0.84,25.97,3.60,0.20,0.73,0.14,0.02,0.16,262,18,31,19,18,4,4,9,31,14.5556,14.5556,13.7895,1.0556,1.7222,1.0556,0.2105,0.2222,1.0000,0.2222,0.5000,0.4737,1.7222,1.6316,4
203.txt,9,91,35,62,32,136,44,79,39,0.58,0.49,0.38,0.47,4.26,1.46,91,43,41.10,40.40,0.67,0.87,5.52,7.80,0.92,26.09,0.78,0.84,13.47,2.60,0.20,0.74,0.15,0.00,0.15,132,9,18,12,9,4,4,5,14,14.6667,14.6667,11.0000,1.3333,2.0000,1.3333,0.3333,0.4444,1.0000,0.4444,0.5556,0.4167,1.5556,1.1667,4
482.txt,26,250,107,195,103,497,146,283,140,0.57,0.49,0.43,0.44,16.60,2.88,250,35,40.90,39.70,0.50,0.78,7.93,11.21,0.89,24.36,0.69,0.70,42.77,4.62,0.22,0.68,0.12,0.02,0.14,493,26,70,44,25,22,14,18,60,18.9615,19.7200,11.2045,1.6923,2.8000,1.7600,0.5000,0.8800,0.9615,0.5600,0.7200,0.4091,2.4000,1.3636,4
525.txt,1,7,2,4,2,7,2,4,2,0.57,0.50,0.29,0,0,0,7,7,7,7,1.00,1.00,1.87,2.65,1.00,0,1.00,0,0,0,0.00,1.00,0.00,0.00,0.00,7,1,0,0,0,0,0,1,1,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4
98.txt,11,104,34,66,29,160,45,85,39,0.53,0.46,0.33,0.39,3.52,1.33,104,36,41.50,42.70,0.65,0.82,5.81,8.22,0.92,25.97,0.78,0.70,11.13,2.36,0.19,0.76,0.12,0.02,0.14,156,11,22,15,12,3,1,5,15,14.1818,13.0000,10.4000,1.3636,1.8333,1.2500,0.2000,0.2500,1.0909,0.0833,0.4167,0.3333,1.2500,1.0000,4
386.txt,18,174,75,130,71,320,96,174,88,0.54,0.51,0.43,0.44,10.17,2.26,174,37,40.70,38.00,0.54,0.76,6.88,9.73,0.89,23.72,0.75,0.79,32.33,4.02,0.24,0.71,0.08,0.02,0.10,314,18,44,27,18,8,6,11,34,17.4444,17.4444,11.6296,1.5000,2.4444,1.5000,0.2963,0.4444,1.0000,0.3333,0.6111,0.4074,1.8889,1.2593,4
103.txt,18,187,79,138,72,326,112,186,102,0.57,0.55,0.42,0.36,5.82,1.71,187,43,43.00,42.00,0.57,0.80,7.32,10.36,0.90,26.17,0.74,0.77,26.27,3.62,0.18,0.68,0.13,0.02,0.16,322,18,39,21,17,7,7,18,34,17.8889,18.9412,15.3333,1.1667,2.2941,1.2353,0.3333,0.4118,0.9444,0.4118,1.0588,0.8571,2.0000,1.6190,4
109.txt,15,149,71,112,66,246,95,145,87,0.59,0.60,0.48,0.53,10.53,2.29,149,37,43.30,39.70,0.61,0.82,6.72,9.50,0.91,26.25,0.77,0.87,28.66,3.79,0.23,0.74,0.10,0.01,0.11,244,15,33,20,16,6,5,13,20,16.2667,15.2500,12.2000,1.3333,2.0625,1.2500,0.3000,0.3750,1.0667,0.3125,0.8125,0.6500,1.2500,1.0000,4
106.txt,23,208,93,159,88,408,132,215,121,0.53,0.56,0.45,0.34,8.23,2.03,208,42,40.00,38.30,0.51,0.79,7.28,10.30,0.89,23.29,0.74,0.69,32.91,4.06,0.22,0.76,0.09,0.01,0.10,401,23,60,34,26,14,12,17,33,17.4348,15.4231,11.7941,1.4783,2.3077,1.3077,0.4118,0.5385,1.1304,0.4615,0.6538,0.5000,1.2692,0.9706,4
101.txt,34,231,104,179,96,429,144,257,134,0.60,0.52,0.45,0.33,7.67,1.96,231,37,40.90,40.50,0.54,0.80,7.89,11.15,0.90,25.78,0.70,0.64,28.06,3.75,0.17,0.75,0.12,0.02,0.14,424,34,64,35,28,12,11,22,53,12.4706,15.1429,12.1143,1.0294,2.2857,1.2500,0.3429,0.4286,0.8235,0.3929,0.7857,0.6286,1.8929,1.5143,4
545.txt,26,212,93,159,89,431,149,242,141,0.56,0.58,0.44,0.41,13.44,2.59,212,42,41.10,39.80,0.49,0.82,7.22,10.21,0.88,22.52,0.66,0.60,29.64,3.85,0.20,0.65,0.14,0.03,0.17,425,26,57,39,26,14,12,20,51,16.3462,16.3462,10.8974,1.5000,2.1923,1.5000,0.3590,0.5385,1.0000,0.4615,0.7692,0.5128,1.9615,1.3077,4
248.txt,10,102,44,72,40,168,61,95,52,0.57,0.55,0.43,0.50,6.50,1.80,102,40,41.60,37.50,0.61,0.76,5.56,7.87,0.90,22.85,0.76,0.81,16.96,2.91,0.22,0.71,0.12,0.00,0.12,160,10,22,11,10,3,3,8,18,16.0000,16.0000,14.5455,1.1000,2.2000,1.1000,0.2727,0.3000,1.0000,0.3000,0.8000,0.7273,1.8000,1.6364,4
294.txt,15,110,41,75,35,183,59,101,49,0.55,0.49,0.37,0.36,4.69,1.53,110,37,42.10,38.80,0.60,0.81,5.75,8.13,0.90,23.16,0.74,0.69,17.36,2.95,0.25,0.73,0.17,0.03,0.20,175,15,32,20,15,10,8,6,16,11.6667,11.6667,8.7500,1.3333,2.1333,1.3333,0.5000,0.6667,1.0000,0.5333,0.4000,0.3000,1.0667,0.8000,4
516.txt,22,185,80,138,78,345,130,197,120,0.57,0.61,0.43,0.38,8.02,2.00,185,40,42.80,40.10,0.54,0.79,7.04,9.96,0.89,23.80,0.70,0.67,24.89,3.53,0.19,0.70,0.14,0.01,0.14,335,22,46,29,21,10,7,13,37,15.2273,15.9524,11.5517,1.3182,2.1905,1.3810,0.3448,0.4762,0.9545,0.3333,0.6190,0.4483,1.7619,1.2759,4
321.txt,14,117,46,79,42,187,58,101,52,0.54,0.51,0.39,0.46,7.31,1.91,117,41,41.90,41.30,0.63,0.85,6.05,8.56,0.91,25.34,0.78,0.83,24.03,3.47,0.29,0.73,0.11,0.03,0.14,183,14,29,16,14,6,6,5,15,13.0714,13.0714,11.4375,1.1429,2.0714,1.1429,0.3750,0.4286,1.0000,0.4286,0.3571,0.3125,1.0714,0.9375,4
328.txt,51,315,119,233,112,826,233,451,218,0.55,0.48,0.38,0.30,11.94,2.44,315,40,42.00,41.00,0.38,0.83,7.75,10.96,0.86,20.32,0.52,0.53,37.62,4.34,0.16,0.53,0.08,0.02,0.11,818,51,110,82,57,25,19,34,97,16.0392,14.3509,9.9756,1.6078,1.9298,1.4386,0.3049,0.4386,1.1176,0.3333,0.5965,0.4146,1.7018,1.1829,4
429.txt,37,238,84,176,78,542,139,283,128,0.52,0.45,0.35,0.27,7.86,1.98,238,30,39.90,37.10,0.44,0.78,7.23,10.22,0.87,20.91,0.62,0.58,35.93,4.24,0.22,0.62,0.08,0.02,0.10,538,37,91,62,38,26,19,12,42,14.5405,14.1579,8.6774,1.6757,2.3947,1.6316,0.4194,0.6842,1.0270,0.5000,0.3158,0.1935,1.1053,0.6774,4
177.txt,13,105,34,70,30,199,46,103,40,0.52,0.39,0.32,0.30,3.03,1.23,105,37,39.50,40.00,0.53,0.76,5.26,7.44,0.88,19.03,0.68,0.73,17.45,2.95,0.23,0.65,0.11,0.02,0.13,196,13,32,23,14,10,7,6,19,15.0769,14.0000,8.5217,1.7692,2.2857,1.6429,0.4348,0.7143,1.0769,0.5000,0.4286,0.2609,1.3571,0.8261,4
199.txt,13,120,39,83,35,208,54,113,48,0.54,0.42,0.33,0.29,2.86,1.20,120,39,40.30,40.30,0.58,0.79,5.88,8.32,0.90,22.49,0.73,0.77,20.83,3.23,0.24,0.68,0.12,0.02,0.14,204,13,30,16,13,5,5,6,19,15.6923,15.6923,12.7500,1.2308,2.3077,1.2308,0.3125,0.3846,1.0000,0.3846,0.4615,0.3750,1.4615,1.1875,4
344.txt,17,133,46,91,42,277,75,143,69,0.52,0.48,0.35,0.45,8.10,2.01,133,37,38.70,38.10,0.48,0.73,5.65,7.99,0.87,18.72,0.64,0.70,19.60,3.13,0.20,0.56,0.11,0.03,0.14,273,17,34,24,19,7,6,10,30,16.0588,14.3684,11.3750,1.4118,1.7895,1.2632,0.2917,0.3684,1.1176,0.3158,0.5263,0.4167,1.5789,1.2500,4
363.txt,43,243,101,176,96,729,198,395,185,0.54,0.47,0.42,0.40,18.56,3.05,243,38,39.90,37.80,0.33,0.72,6.36,9.00,0.83,17.18,0.45,0.52,30.54,3.91,0.15,0.38,0.07,0.01,0.09,721,43,88,67,48,18,16,29,92,16.7674,15.0208,10.7612,1.5581,1.8333,1.3958,0.2687,0.3750,1.1163,0.3333,0.6042,0.4328,1.9167,1.3731,4
515.txt,41,322,165,237,155,811,299,425,269,0.52,0.63,0.51,0.36,16.20,2.85,322,37,40.60,38.80,0.40,0.78,8.00,11.31,0.86,21.09,0.56,0.57,40.33,4.49,0.17,0.52,0.11,0.01,0.12,789,41,95,63,46,15,15,27,89,19.2439,17.1522,12.5238,1.5366,2.0652,1.3696,0.2381,0.3261,1.1220,0.3261,0.5870,0.4286,1.9348,1.4127,4
393.txt,55,334,119,255,112,974,252,512,231,0.53,0.45,0.36,0.24,9.39,2.17,334,36,40.80,40.10,0.34,0.81,7.57,10.70,0.84,19.22,0.50,0.48,36.60,4.28,0.15,0.52,0.08,0.02,0.10,962,55,137,96,58,40,28,31,101,17.4909,16.5862,10.0208,1.7455,2.3621,1.6552,0.4167,0.6897,1.0545,0.4828,0.5345,0.3229,1.7414,1.0521,4
243.txt,26,252,119,191,114,470,157,256,150,0.54,0.59,0.47,0.57,21.06,3.25,252,38,42.30,40.40,0.54,0.76,8.22,11.62,0.90,26.38,0.75,0.75,36.94,4.30,0.19,0.69,0.14,0.02,0.16,465,26,54,35,27,10,8,23,55,17.8846,17.2222,13.2857,1.3462,2.0000,1.2963,0.2857,0.3704,1.0385,0.2963,0.8519,0.6571,2.0370,1.5714,4
85.txt,12,179,77,123,71,316,118,175,107,0.55,0.61,0.43,0.57,15.51,2.78,179,42,44.20,40.40,0.57,0.82,7.12,10.07,0.90,25.31,0.70,0.81,30.72,3.92,0.22,0.61,0.09,0.04,0.13,308,12,36,22,16,7,7,11,29,25.6667,19.2500,14.0000,1.8333,2.2500,1.3750,0.3182,0.4375,1.3333,0.4375,0.6875,0.5000,1.8125,1.3182,4
188.txt,25,246,98,180,91,550,151,285,133,0.52,0.47,0.40,0.30,7.86,1.98,246,35,40.70,42.00,0.45,0.79,7.42,10.49,0.87,21.49,0.63,0.62,32.66,4.04,0.19,0.61,0.09,0.01,0.10,538,25,71,54,33,20,16,16,59,21.5200,16.3030,9.9630,2.1600,2.1515,1.6364,0.3704,0.6061,1.3200,0.4848,0.4848,0.2963,1.7879,1.0926,4
133.txt,62,439,234,358,225,1318,445,696,425,0.53,0.61,0.53,0.34,24.69,3.51,439,40,41.20,39.70,0.33,0.76,8.55,12.09,0.85,20.39,0.51,0.50,53.50,5.17,0.15,0.48,0.08,0.01,0.09,1300,62,168,119,65,50,35,51,141,20.9677,20.0000,10.9244,1.9194,2.5846,1.8308,0.4202,0.7692,1.0484,0.5385,0.7846,0.4286,2.1692,1.1849,4
