Filename,TLC/D,ALCL, numsyl, avgchar,awl,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv, modv,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C,class_y
117.txt,21,3,1.41,4.41,0.0326,25,127,53,88,49,235,85,138,80,0.59,0.58,0.42,0.32,3.89,1.39,127,36,39.8,38.8,0.54,0.73,5.86,8.28,0.89,21.04,0.64,0.68,16.89,2.91,0.18,0.61,0.09,0.01,0.1,235,25,39,29,25,6,5,9,24,9.4,9.4,8.1034,1.16,1.56,1.16,0.2069,0.24,1,0.2,0.36,0.3103,0.96,0.8276,1
23.txt,5,2,1.47,4.63,0,10,61,31,43,31,87,43,55,43,0.63,0.78,0.51,0.57,4.57,1.51,61,38,39.4,37.5,0.7,0.76,4.62,6.54,0.92,24.4,0.78,0.71,7.14,1.89,0.18,0.78,0.07,0.02,0.09,87,10,11,11,11,0,0,2,7,8.7,7.9091,7.9091,1.1,1,1,0,0,1.1,0,0.1818,0.1818,0.6364,0.6364,1
381.txt,6,3,1.49,4.62,0,12,72,37,46,33,110,57,67,53,0.61,0.79,0.51,0.59,7.68,1.96,72,33,37.1,36.9,0.65,0.74,4.85,6.86,0.91,22.64,0.69,0.68,10.23,2.26,0.22,0.68,0.04,0.01,0.06,108,12,15,14,12,1,1,3,8,9,9,7.7143,1.1667,1.25,1.1667,0.0714,0.0833,1,0.0833,0.25,0.2143,0.6667,0.5714,1
44.txt,7,3,1.31,4.2,0.0625,7,46,15,29,14,75,19,39,18,0.52,0.46,0.33,0.43,1.29,0.8,46,31,32.2,30,0.61,0.62,3.76,5.31,0.89,16.56,0.74,0.57,2.29,1.07,0.1,0.76,0.05,0.03,0.08,75,7,8,8,7,1,1,1,11,10.7143,10.7143,9.375,1.1429,1.1429,1.1429,0.125,0.1429,1,0.1429,0.1429,0.125,1.5714,1.375,1
293.txt,9,4,1.44,4.42,0,15,105,40,67,38,168,67,97,65,0.58,0.67,0.38,0.47,6.53,1.81,105,41,40.2,40,0.62,0.76,5.73,8.1,0.91,24.26,0.69,0.77,17.63,2.97,0.24,0.64,0.06,0.01,0.07,166,15,27,19,15,7,3,3,17,11.0667,11.0667,8.7368,1.2667,1.8,1.2667,0.3684,0.4667,1,0.2,0.2,0.1579,1.1333,0.8947,1
484.txt,7,2,1.57,4.66,0.099,13,78,35,51,33,111,47,64,45,0.58,0.7,0.45,0.59,7.68,1.96,78,37,41.2,39,0.7,0.78,5.24,7.4,0.93,27.3,0.8,0.82,14.73,2.71,0.28,0.74,0.12,0.03,0.16,111,13,19,15,13,2,2,3,10,8.5385,8.5385,7.4,1.1538,1.4615,1.1538,0.1333,0.1538,1,0.1538,0.2308,0.2,0.7692,0.6667,1
211.txt,2,2,1.52,4.57,0.1957,4,41,17,26,17,51,17,27,17,0.53,0.63,0.41,0.6,1.8,0.95,41,40,40.3,40,0.8,0.8,4.06,5.74,0.94,30.76,0.96,1,5,1.58,0.19,0.95,0.04,0,0.04,51,4,6,4,4,0,0,4,3,12.75,12.75,12.75,1,1.5,1,0,0,1,0,1,1,0.75,0.75,1
7.txt,8,3,1.66,4.8,0.0361,8,64,30,46,29,95,42,61,39,0.64,0.64,0.47,0.73,8.07,2.01,64,36,38.8,38.3,0.67,0.72,4.64,6.57,0.91,22.8,0.75,0.87,11.27,2.37,0.21,0.71,0.07,0,0.07,95,8,11,9,8,1,1,1,13,11.875,11.875,10.5556,1.125,1.375,1.125,0.1111,0.125,1,0.125,0.125,0.1111,1.625,1.4444,1
312.txt,4,2,1.6,4.72,0,6,39,13,24,13,66,19,33,19,0.5,0.58,0.33,0.33,1,0.71,39,27,32.5,29.6,0.59,0.54,3.39,4.8,0.87,14.49,0.73,0.67,4,1.41,0.18,0.71,0.09,0,0.09,66,6,7,6,6,1,1,4,6,11,11,11,1,1.1667,1,0.1667,0.1667,1,0.1667,0.6667,0.6667,1,1,1
444.txt,12,4,1.38,4.4,0,16,76,27,51,27,132,47,78,47,0.59,0.6,0.36,0.38,3.85,1.39,76,36,37.6,35.1,0.58,0.7,4.68,6.61,0.89,18.76,0.65,0.69,12.46,2.5,0.23,0.6,0.1,0.01,0.12,132,16,23,18,16,2,2,4,10,8.25,8.25,7.3333,1.125,1.4375,1.125,0.1111,0.125,1,0.125,0.25,0.2222,0.625,0.5556,1
374.txt,13,4,1.68,5.16,0,11,70,25,42,22,109,36,62,33,0.57,0.53,0.36,0.47,3.27,1.28,70,36,39.8,36.3,0.64,0.79,4.74,6.7,0.91,21.58,0.68,0.73,8.07,2.01,0.18,0.75,0.11,0,0.11,107,11,12,12,11,2,1,5,9,9.7273,9.7273,8.9167,1.0909,1.0909,1.0909,0.1667,0.1818,1,0.0909,0.4545,0.4167,0.8182,0.75,1
295.txt,11,3,1.68,5.08,0.0388,16,87,41,54,38,143,70,87,67,0.61,0.77,0.47,0.52,7.26,1.91,87,42,41,37,0.61,0.8,5.14,7.28,0.9,21.53,0.62,0.59,9.48,2.18,0.18,0.58,0.1,0.01,0.11,141,16,25,22,17,5,5,3,14,8.8125,8.2941,6.4091,1.375,1.4706,1.2941,0.2273,0.2941,1.0625,0.2941,0.1765,0.1364,0.8235,0.6364,1
436.txt,7,2,1.44,4.77,0,10,65,27,47,27,92,34,58,34,0.63,0.59,0.42,0.44,3.06,1.24,65,43,41.2,36.6,0.71,0.86,4.79,6.78,0.92,25.56,0.81,0.75,9,2.12,0.21,0.83,0.1,0,0.1,92,10,14,13,10,2,2,3,10,9.2,9.2,7.0769,1.3,1.4,1.3,0.1538,0.2,1,0.2,0.3,0.2308,1,0.7692,1
230.txt,23,2,1.52,4.48,0.0266,23,169,63,113,60,294,90,156,85,0.53,0.54,0.37,0.53,11.03,2.35,169,44,41,41.4,0.57,0.84,6.97,9.86,0.9,25.34,0.72,0.75,22.5,3.35,0.19,0.79,0.08,0.02,0.1,290,23,39,33,23,9,8,5,28,12.6087,12.6087,8.7879,1.4348,1.6957,1.4348,0.2727,0.3913,1,0.3478,0.2174,0.1515,1.2174,0.8485,1
494.txt,12,4,1.31,4.17,0,13,81,25,55,25,134,32,86,32,0.64,0.37,0.31,0.32,2.56,1.13,81,34,37.3,36.5,0.6,0.71,4.95,7,0.9,20.7,0.64,0.64,10.24,2.26,0.19,0.62,0.06,0,0.06,134,13,22,15,14,0,0,3,12,10.3077,9.5714,8.9333,1.1538,1.5714,1.0714,0,0,1.0769,0,0.2143,0.2,0.8571,0.8,1
261.txt,14,2,1.42,4.28,0.0976,15,83,29,54,27,139,41,79,39,0.57,0.49,0.35,0.31,1.56,0.88,83,36,38.3,34.5,0.6,0.76,4.98,7.04,0.9,20.51,0.68,0.69,7.56,1.94,0.14,0.7,0.13,0.01,0.14,137,15,19,15,15,0,0,1,16,9.1333,9.1333,9.1333,1,1.2667,1,0,0,1,0,0.0667,0.0667,1.0667,1.0667,1
61.txt,8,2,1.5,5.1,0,11,57,27,39,27,90,39,57,39,0.63,0.68,0.47,0.46,2.77,1.18,57,39,37.3,38.2,0.63,0.78,4.25,6.01,0.9,19.25,0.68,0.77,7.69,1.96,0.18,0.68,0.09,0.02,0.11,90,11,13,13,11,2,2,3,13,8.1818,8.1818,6.9231,1.1818,1.1818,1.1818,0.1538,0.1818,1,0.1818,0.2727,0.2308,1.1818,1,1
12.txt,9,4,1.48,4.12,0.0463,12,73,35,45,30,126,53,67,44,0.53,0.66,0.48,0.57,7.35,1.92,73,34,37.4,32.8,0.58,0.68,4.6,6.5,0.89,18.61,0.67,0.7,11.13,2.36,0.24,0.58,0.1,0.01,0.12,120,12,20,18,13,4,4,2,13,10,9.2308,6.6667,1.5,1.5385,1.3846,0.2222,0.3077,1.0833,0.3077,0.1538,0.1111,1,0.7222,1
16.txt,21,3,1.38,4.24,0.0145,28,163,54,116,53,300,75,176,73,0.59,0.41,0.33,0.39,9.29,2.16,163,36,42.3,38.5,0.54,0.81,6.65,9.41,0.89,23.16,0.66,0.71,31.23,3.95,0.25,0.62,0.03,0.01,0.04,300,28,51,36,27,10,8,10,20,10.7143,11.1111,8.3333,1.2857,1.8889,1.3333,0.2778,0.3704,0.9643,0.2963,0.3704,0.2778,0.7407,0.5556,1
134.txt,11,2,1.38,4.18,0,20,74,28,43,25,144,45,80,41,0.56,0.51,0.38,0.29,2.29,1.07,74,38,36,30,0.51,0.68,4.36,6.17,0.87,16.11,0.54,0.46,6.04,1.74,0.16,0.63,0.04,0.01,0.05,144,20,23,25,20,6,6,2,10,7.2,7.2,5.76,1.25,1.15,1.25,0.24,0.3,1,0.3,0.1,0.08,0.5,0.4,1
309.txt,12,2,1.51,4.42,0,11,104,48,73,43,162,63,93,58,0.57,0.62,0.46,0.48,4.76,1.54,104,34,39.5,40.1,0.64,0.8,5.78,8.17,0.91,25.36,0.78,0.81,13.76,2.62,0.18,0.76,0.13,0.02,0.15,158,11,18,13,11,1,1,2,17,14.3636,14.3636,12.1538,1.1818,1.6364,1.1818,0.0769,0.0909,1,0.0909,0.1818,0.1538,1.5455,1.3077,1
28.txt,11,3,1.45,4.54,0.0177,13,93,39,59,36,135,51,75,48,0.56,0.64,0.42,0.72,12.96,2.55,93,39,41.2,40.1,0.69,0.79,5.66,8,0.92,28.04,0.79,0.92,21.16,3.25,0.31,0.69,0.04,0.03,0.07,135,13,21,16,13,4,4,5,13,10.3846,10.3846,8.4375,1.2308,1.6154,1.2308,0.25,0.3077,1,0.3077,0.3846,0.3125,1,0.8125,1
373.txt,18,3,1.51,4.7,0.0217,21,127,62,95,61,199,79,124,78,0.62,0.63,0.49,0.41,4.48,1.5,127,33,39.4,40.4,0.64,0.79,6.37,9,0.92,27.09,0.77,0.74,14.81,2.72,0.16,0.8,0.13,0.01,0.14,199,21,21,20,21,0,0,8,28,9.4762,9.4762,9.95,0.9524,1,0.9524,0,0,1,0,0.381,0.4,1.3333,1.4,1
404.txt,9,2,1.36,4.25,0.0125,9,52,14,32,13,84,26,47,24,0.56,0.51,0.27,0.17,0.17,0.29,52,35,36.1,33.9,0.62,0.7,4.01,5.67,0.89,17.78,0.68,0.33,0.67,0.58,0.04,0.72,0.13,0.02,0.15,84,9,8,7,8,0,0,2,12,9.3333,10.5,12,0.7778,1,0.875,0,0,0.8889,0,0.25,0.2857,1.5,1.7143,1
410.txt,5,2,1.48,4.57,0.0154,9,54,20,38,20,67,22,41,22,0.61,0.54,0.37,0.71,8.47,2.06,54,40,41.4,39.2,0.81,0.8,4.66,6.6,0.95,35.59,0.93,0.88,13.24,2.57,0.37,0.95,0.1,0.02,0.12,67,9,12,10,9,1,1,2,6,7.4444,7.4444,6.7,1.1111,1.3333,1.1111,0.1,0.1111,1,0.1111,0.2222,0.2,0.6667,0.6,1
120.txt,21,3,1.25,4.01,0.0251,25,156,63,109,61,301,87,163,85,0.54,0.52,0.4,0.24,2.82,1.19,156,36,40.7,38.7,0.52,0.76,6.36,8.99,0.88,21.52,0.67,0.55,15.37,2.77,0.17,0.73,0.12,0.04,0.16,299,25,50,30,27,8,8,10,27,11.96,11.0741,9.9667,1.2,1.8519,1.1111,0.2667,0.2963,1.08,0.2963,0.3704,0.3333,1,0.9,1
358.txt,22,5,1.37,4.29,0.0093,30,110,43,78,43,229,81,131,81,0.57,0.62,0.39,0.24,1.94,0.98,110,37,38.2,37.1,0.48,0.75,5.14,7.27,0.87,17.49,0.6,0.61,12.12,2.46,0.15,0.55,0.08,0.01,0.09,229,30,31,29,30,0,0,8,21,7.6333,7.6333,7.8966,0.9667,1.0333,0.9667,0,0,1,0,0.2667,0.2759,0.7,0.7241,1
52.txt,6,3,1.55,4.73,0,8,65,31,39,30,100,51,61,50,0.61,0.82,0.48,0.73,5.82,1.71,65,39,38.8,37.3,0.65,0.77,4.6,6.5,0.91,21.38,0.64,0.82,7.36,1.92,0.15,0.58,0.07,0,0.07,100,8,11,10,8,2,1,2,11,12.5,12.5,10,1.25,1.375,1.25,0.2,0.25,1,0.125,0.25,0.2,1.375,1.1,1
203.txt,8,3,1.43,4.79,0.0177,14,72,27,51,26,126,46,76,45,0.6,0.59,0.38,0.42,3.37,1.3,72,33,37.1,37.3,0.57,0.71,4.54,6.41,0.88,18.15,0.67,0.84,13.47,2.6,0.21,0.6,0.11,0.01,0.12,126,14,17,13,12,1,1,5,10,9,10.5,9.6923,0.9286,1.4167,1.0833,0.0769,0.0833,0.8571,0.0833,0.4167,0.3846,0.8333,0.7692,1
482.txt,6,3,1.65,4.94,0.0615,8,48,18,29,17,68,24,38,23,0.56,0.61,0.38,0.45,2.27,1.07,48,36,37.7,37.7,0.71,0.72,4.12,5.82,0.92,22.2,0.76,0.82,7.36,1.92,0.24,0.72,0.05,0,0.05,68,8,10,9,8,1,1,2,5,8.5,8.5,7.5556,1.125,1.25,1.125,0.1111,0.125,1,0.125,0.25,0.2222,0.625,0.5556,1
27.txt,9,2,1.54,4.87,0,8,57,30,44,30,77,36,50,36,0.65,0.72,0.53,0.56,5.56,1.67,57,38,40.5,39.6,0.74,0.76,4.59,6.5,0.93,27.25,0.88,0.78,10.89,2.33,0.28,0.93,0.06,0.02,0.08,77,8,13,10,9,1,1,3,8,9.625,8.5556,7.7,1.25,1.4444,1.1111,0.1,0.1111,1.125,0.1111,0.3333,0.3,0.8889,0.8,1
98.txt,7,2,1.5,4.68,0,9,57,21,39,21,84,26,46,25,0.55,0.54,0.37,0.45,2.27,1.07,57,36,38.4,36.8,0.68,0.72,4.4,6.22,0.91,21.99,0.85,1,11,2.35,0.24,0.8,0,0,0,84,9,13,8,9,0,0,3,6,9.3333,9.3333,10.5,0.8889,1.4444,0.8889,0,0,1,0,0.3333,0.375,0.6667,0.75,1
386.txt,21,3,1.49,4.37,0.0227,27,148,70,99,63,253,108,136,91,0.54,0.67,0.47,0.53,12.3,2.48,148,42,41.5,38.6,0.58,0.8,6.58,9.3,0.9,24.8,0.73,0.67,19.56,3.13,0.21,0.78,0.06,0.03,0.09,243,27,38,32,27,1,1,7,20,9,9,7.5938,1.1852,1.4074,1.1852,0.0312,0.037,1,0.037,0.2593,0.2188,0.7407,0.625,1
103.txt,8,2,1.44,4.5,0,11,43,16,31,16,92,34,59,34,0.64,0.58,0.37,0.29,1.14,0.76,43,24,29.5,29.6,0.47,0.48,3.17,4.48,0.83,11.67,0.53,0.36,1.79,0.94,0.08,0.56,0.07,0,0.07,92,11,14,13,11,2,2,3,7,8.3636,8.3636,7.0769,1.1818,1.2727,1.1818,0.1538,0.1818,1,0.1818,0.2727,0.2308,0.6364,0.5385,1
109.txt,10,3,1.41,4.43,0.1835,9,59,23,41,23,112,43,71,43,0.63,0.61,0.39,0.44,3.06,1.24,59,36,32.7,30.9,0.53,0.62,3.94,5.57,0.86,15.09,0.58,0.56,5.06,1.59,0.13,0.54,0.08,0,0.08,112,9,13,12,9,3,3,2,8,12.4444,12.4444,9.3333,1.3333,1.4444,1.3333,0.25,0.3333,1,0.3333,0.2222,0.1667,0.8889,0.6667,1
106.txt,8,3,1.62,4.91,0,14,50,18,30,17,87,28,46,27,0.53,0.59,0.36,0.31,1.23,0.78,50,33,33.3,30.2,0.57,0.66,3.79,5.36,0.88,15.64,0.65,0.54,3.77,1.37,0.15,0.71,0.09,0,0.09,87,14,11,15,14,1,1,2,8,6.2143,6.2143,5.8,1.0714,0.7857,1.0714,0.0667,0.0714,1,0.0714,0.1429,0.1333,0.5714,0.5333,1
101.txt,6,3,1.57,4.45,0.0526,14,54,15,34,15,101,30,58,30,0.57,0.52,0.28,0.42,2.08,1.02,54,31,33.1,28,0.53,0.66,3.8,5.37,0.86,14.77,0.59,0.42,2.08,1.02,0.09,0.57,0.09,0.02,0.1,101,14,10,12,13,0,0,1,9,7.2143,7.7692,8.4167,0.8571,0.7692,0.9231,0,0,0.9286,0,0.0769,0.0833,0.6923,0.75,1
248.txt,27,4,1.46,4.49,0,30,174,71,126,67,296,92,173,87,0.58,0.5,0.41,0.46,9.59,2.19,174,41,41.9,40.1,0.59,0.82,7.15,10.11,0.91,26.47,0.73,0.74,25.13,3.54,0.2,0.74,0.12,0.03,0.15,296,30,40,33,29,6,6,11,35,9.8667,10.2069,8.9697,1.1,1.3793,1.1379,0.1818,0.2069,0.9667,0.2069,0.3793,0.3333,1.2069,1.0606,1
294.txt,3,2,1.49,4.68,0.2553,7,35,13,22,13,50,18,27,18,0.54,0.67,0.37,0.43,1.29,0.8,35,35,35,35,0.7,0.7,3.5,4.95,0.91,18.63,0.81,0.71,3.57,1.34,0.19,0.8,0.19,0,0.19,50,7,6,7,7,1,1,2,2,7.1429,7.1429,7.1429,1,0.8571,1,0.1429,0.1429,1,0.1429,0.2857,0.2857,0.2857,0.2857,1
321.txt,4,2,1.49,4.82,0.098,10,44,15,29,15,56,18,33,18,0.59,0.55,0.34,0.4,1.6,0.89,44,39,40,38.4,0.79,0.78,4.16,5.88,0.94,29.18,0.88,0.7,4.9,1.57,0.21,1,0.12,0,0.12,56,10,6,9,10,0,0,2,3,5.6,5.6,6.2222,0.9,0.6,0.9,0,0,1,0,0.2,0.2222,0.3,0.3333,1
22.txt,7,2,1.46,4.69,0,7,59,23,38,22,85,30,50,29,0.59,0.58,0.39,0.43,2.57,1.13,59,38,39.6,39,0.69,0.76,4.53,6.4,0.92,23.48,0.76,0.71,7.14,1.89,0.2,0.75,0.12,0.02,0.14,85,7,13,10,8,2,2,3,9,12.1429,10.625,8.5,1.4286,1.625,1.25,0.2,0.25,1.1429,0.25,0.375,0.3,1.125,0.9,1
328.txt,1,2,2,5.7,0,1,10,5,7,5,10,5,7,5,0.7,0.71,0.5,1,1,0.71,10,10,10,10,1,1,2.24,3.16,1,0,1,1,1,0.71,0.14,1,0,0,0,10,1,1,1,1,0,0,1,1,10,10,10,1,1,1,0,0,1,0,1,1,1,1,1
429.txt,12,2,1.49,4.38,0.1909,11,74,29,52,29,118,40,68,40,0.58,0.59,0.39,0.45,4.05,1.42,74,37,39.7,39.2,0.63,0.76,4.82,6.81,0.9,21.18,0.76,0.7,9.8,2.21,0.21,0.77,0.06,0.01,0.07,118,11,20,15,12,1,1,1,10,10.7273,9.8333,7.8667,1.3636,1.6667,1.25,0.0667,0.0833,1.0909,0.0833,0.0833,0.0667,0.8333,0.6667,1
177.txt,5,2,1.74,5.29,0,7,39,18,29,18,69,31,47,31,0.68,0.66,0.46,0.31,1.23,0.78,39,27,32.2,27.5,0.57,0.54,3.32,4.7,0.87,13.65,0.62,0.69,6.23,1.77,0.19,0.57,0.06,0.02,0.09,69,7,10,8,8,0,0,2,5,9.8571,8.625,8.625,1.1429,1.25,1,0,0,1.1429,0,0.25,0.25,0.625,0.625,1
199.txt,27,3,1.55,4.7,0.026,24,145,60,112,59,253,83,169,81,0.67,0.48,0.41,0.2,1.84,0.96,145,41,42.4,38.5,0.57,0.78,6.45,9.12,0.9,23.89,0.66,0.59,15.36,2.77,0.15,0.71,0.09,0.01,0.09,253,24,37,28,26,2,1,6,28,10.5417,9.7308,9.0357,1.1667,1.4231,1.0769,0.0714,0.0769,1.0833,0.0385,0.2308,0.2143,1.0769,1,1
344.txt,11,2,1.46,4.25,0.0381,15,72,26,45,25,119,40,62,39,0.52,0.63,0.36,0.5,3.5,1.32,72,40,39.2,39,0.61,0.82,4.67,6.6,0.89,19.74,0.73,0.71,7.14,1.89,0.16,0.73,0.08,0.02,0.1,119,15,15,16,15,2,1,2,17,7.9333,7.9333,7.4375,1.0667,1,1.0667,0.125,0.1333,1,0.0667,0.1333,0.125,1.1333,1.0625,1
363.txt,25,3,1.43,4.56,0.0168,29,140,55,93,51,262,88,159,82,0.61,0.52,0.39,0.38,6.75,1.84,140,42,41.8,40,0.53,0.82,6.12,8.65,0.89,21.49,0.58,0.65,20.02,3.16,0.19,0.55,0.08,0.02,0.09,258,29,41,34,29,3,3,7,25,8.8966,8.8966,7.5882,1.1724,1.4138,1.1724,0.0882,0.1034,1,0.1034,0.2414,0.2059,0.8621,0.7353,1
393.txt,20,3,1.69,4.97,0.0223,21,127,57,85,53,204,89,118,79,0.58,0.67,0.45,0.49,9.26,2.15,127,39,40.7,40.1,0.62,0.8,6.29,8.89,0.91,25.92,0.72,0.74,21.56,3.28,0.25,0.69,0.08,0,0.08,196,21,34,30,21,7,6,2,18,9.3333,9.3333,6.5333,1.4286,1.619,1.4286,0.2333,0.3333,1,0.2857,0.0952,0.0667,0.8571,0.6,1
