TLC/D,ALCL, numsyl, avgchar,awl,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv, modv,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C,class_y
20,3,1.45,4.31,0.1572,18,144,48,100,42,256,68,138,57,0.54,0.41,0.33,0.31,4.36,1.48,144,39,42.3,39.6,0.56,0.78,6.36,9,0.9,23.21,0.72,0.69,21.36,3.27,0.22,0.68,0.14,0.04,0.17,250,18,40,24,21,9,8,6,22,13.8889,11.9048,10.4167,1.3333,1.9048,1.1429,0.375,0.4286,1.1667,0.381,0.2857,0.25,1.0476,0.9167,4
24,2,1.47,4.44,0.0732,21,165,60,117,55,315,86,170,77,0.54,0.45,0.36,0.4,9.12,2.14,165,41,41.8,38.4,0.52,0.79,6.57,9.3,0.89,22.23,0.69,0.71,28.98,3.81,0.24,0.63,0.14,0.02,0.16,309,21,48,24,23,4,4,5,32,14.7143,13.4348,12.875,1.1429,2.087,1.0435,0.1667,0.1739,1.0952,0.1739,0.2174,0.2083,1.3913,1.3333,4
2,2,1.79,5.66,0.0294,2,71,40,55,39,88,45,62,44,0.7,0.71,0.56,0,0,0,71,44,42.8,42.2,0.81,0.88,5.35,7.57,0.95,40.56,0.89,1,2,1,0.03,0.88,0.02,0.02,0.03,85,2,2,2,2,0,0,1,10,42.5,42.5,42.5,1,1,1,0,0,1,0,0.5,0.5,5,5,4
33,4,1.71,4.98,0.1579,23,191,92,141,88,391,159,225,147,0.58,0.65,0.48,0.35,9.47,2.18,191,40,41.4,38.3,0.49,0.78,6.83,9.66,0.88,21.6,0.63,0.6,27.48,3.71,0.2,0.67,0.1,0.01,0.11,381,23,57,37,24,13,12,11,46,16.5652,15.875,10.2973,1.6087,2.375,1.5417,0.3514,0.5417,1.0435,0.5,0.4583,0.2973,1.9167,1.2432,4
22,2,1.5,4.41,0.0902,18,159,65,114,60,277,89,158,82,0.57,0.52,0.41,0.47,9.8,2.21,159,39,42.7,42.6,0.57,0.79,6.76,9.55,0.9,24.75,0.72,0.67,20,3.16,0.19,0.74,0.11,0.04,0.15,273,18,37,23,20,5,5,9,27,15.1667,13.65,11.8696,1.2778,1.85,1.15,0.2174,0.25,1.1111,0.25,0.45,0.3913,1.35,1.1739,4
16,3,1.55,4.58,0.1818,12,121,40,82,35,219,63,116,52,0.53,0.45,0.33,0.36,4.36,1.48,121,32,41.6,38.1,0.55,0.74,5.78,8.18,0.89,21.26,0.71,0.82,22.09,3.32,0.23,0.63,0.1,0.02,0.12,212,12,30,20,13,9,8,10,18,17.6667,16.3077,10.6,1.6667,2.3077,1.5385,0.45,0.6923,1.0833,0.6154,0.7692,0.5,1.3846,0.9,4
27,3,1.49,4.61,0.0795,17,154,62,115,57,264,81,152,74,0.58,0.49,0.4,0.35,5.57,1.67,154,33,42.3,41.8,0.58,0.79,6.7,9.48,0.9,25.05,0.76,0.74,25.13,3.54,0.22,0.77,0.12,0.03,0.14,261,17,39,19,18,5,5,14,21,15.3529,14.5,13.7368,1.1176,2.1667,1.0556,0.2632,0.2778,1.0588,0.2778,0.7778,0.7368,1.1667,1.1053,4
17,3,1.58,4.64,0.1979,12,130,52,94,48,215,75,120,65,0.56,0.54,0.4,0.49,8.76,2.09,130,39,41.3,41.1,0.6,0.79,6.27,8.87,0.91,24.9,0.78,0.76,21.19,3.25,0.23,0.8,0.12,0.01,0.13,206,12,26,16,11,5,5,7,26,17.1667,18.7273,12.875,1.3333,2.3636,1.4545,0.3125,0.4545,0.9167,0.4545,0.6364,0.4375,2.3636,1.625,4
24,3,1.69,5.12,0.1073,18,149,63,114,61,254,81,149,77,0.59,0.52,0.42,0.55,12.6,2.51,149,40,42.6,41.4,0.59,0.82,6.61,9.35,0.9,24.97,0.77,0.83,29.17,3.82,0.23,0.74,0.08,0.01,0.09,250,18,36,20,22,4,4,12,20,13.8889,11.3636,12.5,1.1111,1.6364,0.9091,0.2,0.1818,1.2222,0.1818,0.5455,0.6,0.9091,1,4
12,2,1.59,4.74,0.1371,13,117,45,84,41,189,57,107,51,0.57,0.48,0.38,0.43,6.43,1.79,117,38,41.2,40.2,0.62,0.83,6.02,8.51,0.91,24.88,0.79,0.77,20.83,3.23,0.25,0.76,0.12,0.03,0.15,185,13,30,17,13,7,7,2,19,14.2308,14.2308,10.8824,1.3077,2.3077,1.3077,0.4118,0.5385,1,0.5385,0.1538,0.1176,1.4615,1.1176,4
26,4,1.6,4.76,0.0836,20,203,90,141,82,379,132,205,119,0.54,0.58,0.44,0.43,11.27,2.37,203,39,42.6,41.1,0.54,0.79,7.37,10.43,0.89,24.52,0.69,0.73,32.27,4.02,0.21,0.62,0.14,0.03,0.17,371,20,43,25,19,6,5,15,37,18.55,19.5263,14.84,1.25,2.2632,1.3158,0.24,0.3158,0.95,0.2632,0.7895,0.6,1.9474,1.48,4
12,2,1.51,4.61,0.1071,10,102,35,67,31,157,51,85,41,0.54,0.48,0.34,0.38,3.38,1.3,102,38,42.4,39.1,0.65,0.77,5.76,8.14,0.91,25.74,0.79,0.79,15.04,2.74,0.22,0.77,0.11,0.02,0.13,149,10,21,12,9,6,4,2,14,14.9,16.5556,12.4167,1.2,2.3333,1.3333,0.5,0.6667,0.9,0.4444,0.2222,0.1667,1.5556,1.1667,4
84,7,1.58,4.73,0.0774,66,391,165,308,159,1159,321,627,295,0.54,0.47,0.42,0.26,11.91,2.44,391,42,43.2,40.5,0.34,0.81,8.12,11.49,0.85,19.9,0.49,0.49,40.52,4.5,0.13,0.47,0.09,0.02,0.11,1136,66,151,115,72,42,34,41,127,17.2121,15.7778,9.8783,1.7424,2.0972,1.5972,0.3652,0.5833,1.0909,0.4722,0.5694,0.3565,1.7639,1.1043,4
17,3,1.44,4.39,0.1542,21,145,57,102,50,261,77,138,68,0.53,0.49,0.39,0.36,6.81,1.85,145,35,40.4,39.5,0.56,0.78,6.35,8.98,0.89,22.88,0.74,0.74,28.7,3.79,0.28,0.7,0.13,0.01,0.14,258,21,44,27,22,10,8,14,19,12.2857,11.7273,9.5556,1.2857,2,1.2273,0.3704,0.4545,1.0476,0.3636,0.6364,0.5185,0.8636,0.7037,4
25,3,1.64,4.96,0.1159,14,182,87,143,85,313,125,191,115,0.61,0.6,0.48,0.5,12,2.45,182,39,43,41.3,0.58,0.81,7.27,10.29,0.91,26.45,0.75,0.77,28.52,3.78,0.19,0.73,0.17,0.01,0.17,305,14,32,23,14,8,7,14,31,21.7857,21.7857,13.2609,1.6429,2.2857,1.6429,0.3478,0.5714,1,0.5,1,0.6087,2.2143,1.3478,4
23,3,1.65,5,0.1577,18,156,62,117,59,266,84,153,77,0.58,0.5,0.4,0.46,7.81,1.98,156,42,40.7,38.7,0.59,0.79,6.76,9.56,0.9,25.37,0.76,0.84,25.97,3.6,0.2,0.73,0.14,0.02,0.16,262,18,31,19,18,4,4,9,31,14.5556,14.5556,13.7895,1.0556,1.7222,1.0556,0.2105,0.2222,1,0.2222,0.5,0.4737,1.7222,1.6316,4
11,2,1.49,4.49,0.1833,9,91,35,62,32,136,44,79,39,0.58,0.49,0.38,0.47,4.26,1.46,91,43,41.1,40.4,0.67,0.87,5.52,7.8,0.92,26.09,0.78,0.84,13.47,2.6,0.2,0.74,0.15,0,0.15,132,9,18,12,9,4,4,5,14,14.6667,14.6667,11,1.3333,2,1.3333,0.3333,0.4444,1,0.4444,0.5556,0.4167,1.5556,1.1667,4
38,3,1.67,5.03,0.1699,26,250,107,195,103,497,146,283,140,0.57,0.49,0.43,0.44,16.6,2.88,250,35,40.9,39.7,0.5,0.78,7.93,11.21,0.89,24.36,0.69,0.7,42.77,4.62,0.22,0.68,0.12,0.02,0.14,493,26,70,44,25,22,14,18,60,18.9615,19.72,11.2045,1.6923,2.8,1.76,0.5,0.88,0.9615,0.56,0.72,0.4091,2.4,1.3636,4
0,0,2.43,6.29,0,1,7,2,4,2,7,2,4,2,0.57,0.5,0.29,0,0,0,7,7,7,7,1,1,1.87,2.65,1,0,1,0,0,0,0,1,0,0,0,7,1,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4
14,2,1.33,4.29,0.0662,11,104,34,66,29,160,45,85,39,0.53,0.46,0.33,0.39,3.52,1.33,104,36,41.5,42.7,0.65,0.82,5.81,8.22,0.92,25.97,0.78,0.7,11.13,2.36,0.19,0.76,0.12,0.02,0.14,156,11,22,15,12,3,1,5,15,14.1818,13,10.4,1.3636,1.8333,1.25,0.2,0.25,1.0909,0.0833,0.4167,0.3333,1.25,1,4
22,3,1.62,4.79,0.0833,18,174,75,130,71,320,96,174,88,0.54,0.51,0.43,0.44,10.17,2.26,174,37,40.7,38,0.54,0.76,6.88,9.73,0.89,23.72,0.75,0.79,32.33,4.02,0.24,0.71,0.08,0.02,0.1,314,18,44,27,18,8,6,11,34,17.4444,17.4444,11.6296,1.5,2.4444,1.5,0.2963,0.4444,1,0.3333,0.6111,0.4074,1.8889,1.2593,4
31,3,1.47,4.48,0.1176,18,187,79,138,72,326,112,186,102,0.57,0.55,0.42,0.36,5.82,1.71,187,43,43,42,0.57,0.8,7.32,10.36,0.9,26.17,0.74,0.77,26.27,3.62,0.18,0.68,0.13,0.02,0.16,322,18,39,21,17,7,7,18,34,17.8889,18.9412,15.3333,1.1667,2.2941,1.2353,0.3333,0.4118,0.9444,0.4118,1.0588,0.8571,2,1.619,4
23,3,1.57,4.71,0.0691,15,149,71,112,66,246,95,145,87,0.59,0.6,0.48,0.53,10.53,2.29,149,37,43.3,39.7,0.61,0.82,6.72,9.5,0.91,26.25,0.77,0.87,28.66,3.79,0.23,0.74,0.1,0.01,0.11,244,15,33,20,16,6,5,13,20,16.2667,15.25,12.2,1.3333,2.0625,1.25,0.3,0.375,1.0667,0.3125,0.8125,0.65,1.25,1,4
28,3,1.4,4.23,0.0543,23,208,93,159,88,408,132,215,121,0.53,0.56,0.45,0.34,8.23,2.03,208,42,40,38.3,0.51,0.79,7.28,10.3,0.89,23.29,0.74,0.69,32.91,4.06,0.22,0.76,0.09,0.01,0.1,401,23,60,34,26,14,12,17,33,17.4348,15.4231,11.7941,1.4783,2.3077,1.3077,0.4118,0.5385,1.1304,0.4615,0.6538,0.5,1.2692,0.9706,4
48,3,1.53,4.57,0.1636,34,231,104,179,96,429,144,257,134,0.6,0.52,0.45,0.33,7.67,1.96,231,37,40.9,40.5,0.54,0.8,7.89,11.15,0.9,25.78,0.7,0.64,28.06,3.75,0.17,0.75,0.12,0.02,0.14,424,34,64,35,28,12,11,22,53,12.4706,15.1429,12.1143,1.0294,2.2857,1.25,0.3429,0.4286,0.8235,0.3929,0.7857,0.6286,1.8929,1.5143,4
28,4,1.57,4.73,0.1054,26,212,93,159,89,431,149,242,141,0.56,0.58,0.44,0.41,13.44,2.59,212,42,41.1,39.8,0.49,0.82,7.22,10.21,0.88,22.52,0.66,0.6,29.64,3.85,0.2,0.65,0.14,0.03,0.17,425,26,57,39,26,14,12,20,51,16.3462,16.3462,10.8974,1.5,2.1923,1.5,0.359,0.5385,1,0.4615,0.7692,0.5128,1.9615,1.3077,4
14,2,1.57,4.63,0.1714,10,102,44,72,40,168,61,95,52,0.57,0.55,0.43,0.5,6.5,1.8,102,40,41.6,37.5,0.61,0.76,5.56,7.87,0.9,22.85,0.76,0.81,16.96,2.91,0.22,0.71,0.12,0,0.12,160,10,22,11,10,3,3,8,18,16,16,14.5455,1.1,2.2,1.1,0.2727,0.3,1,0.3,0.8,0.7273,1.8,1.6364,4
13,2,1.4,4.38,0.1006,15,110,41,75,35,183,59,101,49,0.55,0.49,0.37,0.36,4.69,1.53,110,37,42.1,38.8,0.6,0.81,5.75,8.13,0.9,23.16,0.74,0.69,17.36,2.95,0.25,0.73,0.17,0.03,0.2,175,15,32,20,15,10,8,6,16,11.6667,11.6667,8.75,1.3333,2.1333,1.3333,0.5,0.6667,1,0.5333,0.4,0.3,1.0667,0.8,4
31,4,1.54,4.71,0.1201,22,185,80,138,78,345,130,197,120,0.57,0.61,0.43,0.38,8.02,2,185,40,42.8,40.1,0.54,0.79,7.04,9.96,0.89,23.8,0.7,0.67,24.89,3.53,0.19,0.7,0.14,0.01,0.14,335,22,46,29,21,10,7,13,37,15.2273,15.9524,11.5517,1.3182,2.1905,1.381,0.3448,0.4762,0.9545,0.3333,0.619,0.4483,1.7619,1.2759,4
9,2,1.5,4.47,0.08,14,117,46,79,42,187,58,101,52,0.54,0.51,0.39,0.46,7.31,1.91,117,41,41.9,41.3,0.63,0.85,6.05,8.56,0.91,25.34,0.78,0.83,24.03,3.47,0.29,0.73,0.11,0.03,0.14,183,14,29,16,14,6,6,5,15,13.0714,13.0714,11.4375,1.1429,2.0714,1.1429,0.375,0.4286,1,0.4286,0.3571,0.3125,1.0714,0.9375,4
54,5,1.78,5.27,0.0535,51,315,119,233,112,826,233,451,218,0.55,0.48,0.38,0.3,11.94,2.44,315,40,42,41,0.38,0.83,7.75,10.96,0.86,20.32,0.52,0.53,37.62,4.34,0.16,0.53,0.08,0.02,0.11,818,51,110,82,57,25,19,34,97,16.0392,14.3509,9.9756,1.6078,1.9298,1.4386,0.3049,0.4386,1.1176,0.3333,0.5965,0.4146,1.7018,1.1829,4
40,3,1.55,4.65,0.1014,37,238,84,176,78,542,139,283,128,0.52,0.45,0.35,0.27,7.86,1.98,238,30,39.9,37.1,0.44,0.78,7.23,10.22,0.87,20.91,0.62,0.58,35.93,4.24,0.22,0.62,0.08,0.02,0.1,538,37,91,62,38,26,19,12,42,14.5405,14.1579,8.6774,1.6757,2.3947,1.6316,0.4194,0.6842,1.027,0.5,0.3158,0.1935,1.1053,0.6774,4
14,3,1.38,4.23,0.1193,13,105,34,70,30,199,46,103,40,0.52,0.39,0.32,0.3,3.03,1.23,105,37,39.5,40,0.53,0.76,5.26,7.44,0.88,19.03,0.68,0.73,17.45,2.95,0.23,0.65,0.11,0.02,0.13,196,13,32,23,14,10,7,6,19,15.0769,14,8.5217,1.7692,2.2857,1.6429,0.4348,0.7143,1.0769,0.5,0.4286,0.2609,1.3571,0.8261,4
15,3,1.48,4.48,0.1033,13,120,39,83,35,208,54,113,48,0.54,0.42,0.33,0.29,2.86,1.2,120,39,40.3,40.3,0.58,0.79,5.88,8.32,0.9,22.49,0.73,0.77,20.83,3.23,0.24,0.68,0.12,0.02,0.14,204,13,30,16,13,5,5,6,19,15.6923,15.6923,12.75,1.2308,2.3077,1.2308,0.3125,0.3846,1,0.3846,0.4615,0.375,1.4615,1.1875,4
17,3,1.6,4.62,0.1051,17,133,46,91,42,277,75,143,69,0.52,0.48,0.35,0.45,8.1,2.01,133,37,38.7,38.1,0.48,0.73,5.65,7.99,0.87,18.72,0.64,0.7,19.6,3.13,0.2,0.56,0.11,0.03,0.14,273,17,34,24,19,7,6,10,30,16.0588,14.3684,11.375,1.4118,1.7895,1.2632,0.2917,0.3684,1.1176,0.3158,0.5263,0.4167,1.5789,1.25,4
51,6,1.46,4.47,0.0571,43,243,101,176,96,729,198,395,185,0.54,0.47,0.42,0.4,18.56,3.05,243,38,39.9,37.8,0.33,0.72,6.36,9,0.83,17.18,0.45,0.52,30.54,3.91,0.15,0.38,0.07,0.01,0.09,721,43,88,67,48,18,16,29,92,16.7674,15.0208,10.7612,1.5581,1.8333,1.3958,0.2687,0.375,1.1163,0.3333,0.6042,0.4328,1.9167,1.3731,4
57,6,1.56,4.61,0.0534,41,322,165,237,155,811,299,425,269,0.52,0.63,0.51,0.36,16.2,2.85,322,37,40.6,38.8,0.4,0.78,8,11.31,0.86,21.09,0.56,0.57,40.33,4.49,0.17,0.52,0.11,0.01,0.12,789,41,95,63,46,15,15,27,89,19.2439,17.1522,12.5238,1.5366,2.0652,1.3696,0.2381,0.3261,1.122,0.3261,0.587,0.4286,1.9348,1.4127,4
54,6,1.52,4.66,0.0738,55,334,119,255,112,974,252,512,231,0.53,0.45,0.36,0.24,9.39,2.17,334,36,40.8,40.1,0.34,0.81,7.57,10.7,0.84,19.22,0.5,0.48,36.6,4.28,0.15,0.52,0.08,0.02,0.1,962,55,137,96,58,40,28,31,101,17.4909,16.5862,10.0208,1.7455,2.3621,1.6552,0.4167,0.6897,1.0545,0.4828,0.5345,0.3229,1.7414,1.0521,4
36,4,1.55,4.66,0.0824,26,252,119,191,114,470,157,256,150,0.54,0.59,0.47,0.57,21.06,3.25,252,38,42.3,40.4,0.54,0.76,8.22,11.62,0.9,26.38,0.75,0.75,36.94,4.3,0.19,0.69,0.14,0.02,0.16,465,26,54,35,27,10,8,23,55,17.8846,17.2222,13.2857,1.3462,2,1.2963,0.2857,0.3704,1.0385,0.2963,0.8519,0.6571,2.037,1.5714,4
27,3,1.58,4.77,0.1429,12,179,77,123,71,316,118,175,107,0.55,0.61,0.43,0.57,15.51,2.78,179,42,44.2,40.4,0.57,0.82,7.12,10.07,0.9,25.31,0.7,0.81,30.72,3.92,0.22,0.61,0.09,0.04,0.13,308,12,36,22,16,7,7,11,29,25.6667,19.25,14,1.8333,2.25,1.375,0.3182,0.4375,1.3333,0.4375,0.6875,0.5,1.8125,1.3182,4
47,4,1.57,4.82,0.0696,25,246,98,180,91,550,151,285,133,0.52,0.47,0.4,0.3,7.86,1.98,246,35,40.7,42,0.45,0.79,7.42,10.49,0.87,21.49,0.63,0.62,32.66,4.04,0.19,0.61,0.09,0.01,0.1,538,25,71,54,33,20,16,16,59,21.52,16.303,9.963,2.16,2.1515,1.6364,0.3704,0.6061,1.32,0.4848,0.4848,0.2963,1.7879,1.0926,4
87,6,1.56,4.62,0.1098,62,439,234,358,225,1318,445,696,425,0.53,0.61,0.53,0.34,24.69,3.51,439,40,41.2,39.7,0.33,0.76,8.55,12.09,0.85,20.39,0.51,0.5,53.5,5.17,0.15,0.48,0.08,0.01,0.09,1300,62,168,119,65,50,35,51,141,20.9677,20,10.9244,1.9194,2.5846,1.8308,0.4202,0.7692,1.0484,0.5385,0.7846,0.4286,2.1692,1.1849,4
