,Filename,TLC/D,ALCL, numsyl, avgchar,awl,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv, modv,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C,class_y,NP/S,VP/S,PP/S,NPlen,VPlen,PPlen,cli,fks
10,229.txt,17,3,1.48,4.44,0.0898,15,138,50,90,47,286,85,141,78,0.49,0.55,0.36,0.36,7.27,1.91,138,36,39.9,38.1,0.48,0.74,5.77,8.16,0.87,19.06,0.64,0.67,24.89,3.53,0.26,0.55,0.11,0.01,0.13,285,15,52,25,18,8,7,4,32,19.0,15.8333,11.4,1.6667,2.8889,1.3889,0.32,0.4444,1.2,0.3889,0.2222,0.16,1.7778,1.28,5,6.67,3.0,1.93,1.59,1.87,1.0,9.951,48.884
11,493.txt,15,5,1.53,4.63,0.2475,13,132,45,91,42,233,80,133,71,0.57,0.53,0.34,0.35,4.57,1.51,132,38,40.5,36.8,0.57,0.78,6.11,8.65,0.9,22.71,0.68,0.62,14.3,2.67,0.17,0.64,0.14,0.02,0.17,225,13,30,20,13,9,6,5,24,17.3077,17.3077,11.25,1.5385,2.3077,1.5385,0.45,0.6923,1.0,0.4615,0.3846,0.25,1.8462,1.2,5,4.62,2.54,1.46,1.97,1.61,1.0,11.672,44.232
12,42.txt,33,3,1.35,4.02,0.0608,39,278,122,205,112,629,200,312,178,0.5,0.57,0.44,0.46,23.72,3.44,278,37,41.7,39.2,0.44,0.79,7.84,11.08,0.87,22.09,0.66,0.72,58.98,5.43,0.26,0.59,0.1,0.02,0.12,616,39,94,68,43,24,19,16,59,15.7949,14.3256,9.0588,1.7436,2.186,1.5814,0.3529,0.5581,1.1026,0.4419,0.3721,0.2353,1.3721,0.8676,5,4.9,2.35,1.43,1.8,1.77,1.0,8.842,55.733
13,92.txt,9,2,1.5,4.59,0.1911,10,102,37,65,34,172,57,93,51,0.54,0.55,0.36,0.48,7.26,1.91,102,35,40.9,41.1,0.59,0.76,5.5,7.78,0.9,22.02,0.7,0.84,21.81,3.3,0.28,0.62,0.13,0.01,0.14,168,10,23,15,11,8,7,7,19,16.8,15.2727,11.2,1.5,2.0909,1.3636,0.5333,0.7273,1.1,0.6364,0.6364,0.4667,1.7273,1.2667,5,4.5,2.4,1.2,1.98,1.75,1.0,11.523,46.07
14,337.txt,16,5,1.39,4.26,0.0818,15,114,40,69,38,209,73,106,61,0.51,0.58,0.35,0.35,3.12,1.25,114,32,42.1,36.1,0.55,0.72,5.58,7.89,0.89,20.45,0.65,0.77,15.38,2.77,0.19,0.58,0.1,0.01,0.11,204,15,34,24,15,8,7,5,24,13.6,13.6,8.5,1.6,2.2667,1.6,0.3333,0.5333,1.0,0.4667,0.3333,0.2083,1.6,1.0,5,4.33,1.47,0.93,1.78,1.77,1.0,8.178,55.474
15,117.txt,16,3,1.44,4.34,0.0644,23,163,69,114,61,291,107,160,93,0.55,0.58,0.42,0.42,9.13,2.14,163,35,41.5,39.1,0.56,0.8,6.76,9.56,0.9,24.12,0.71,0.75,30.19,3.89,0.25,0.67,0.09,0.01,0.11,287,23,45,34,23,13,10,9,28,12.4783,12.4783,8.4412,1.4783,1.9565,1.4783,0.3824,0.5652,1.0,0.4348,0.3913,0.2647,1.2174,0.8235,5,3.65,1.83,1.17,1.75,1.76,1.0,10.726,45.43
16,23.txt,7,2,1.49,4.52,0.18,8,79,31,54,28,114,39,66,34,0.58,0.52,0.39,0.37,2.58,1.14,79,46,40.5,39.8,0.69,0.84,5.23,7.4,0.92,26.56,0.82,0.84,13.47,2.6,0.24,0.79,0.15,0.02,0.17,110,8,19,10,8,3,3,2,13,13.75,13.75,11.0,1.25,2.375,1.25,0.3,0.375,1.0,0.375,0.25,0.2,1.625,1.3,5,4.25,2.5,1.25,1.65,1.7,1.0,11.538,43.82
17,381.txt,12,4,1.38,4.16,0.065,13,117,38,75,34,236,64,112,56,0.47,0.5,0.32,0.29,2.94,1.21,117,33,38.0,34.4,0.5,0.7,5.39,7.62,0.87,18.48,0.67,0.62,12.97,2.55,0.19,0.69,0.15,0.01,0.16,230,13,33,25,11,13,6,4,30,17.6923,20.9091,9.2,1.9231,3.0,2.2727,0.52,1.1818,0.8462,0.5455,0.3636,0.16,2.7273,1.2,5,6.08,2.46,2.38,1.92,1.53,1.0,8.218,59.567
18,44.txt,30,2,1.34,4.18,0.0643,27,204,88,150,82,421,151,227,135,0.54,0.59,0.43,0.41,14.9,2.73,204,42,40.8,41.2,0.48,0.81,7.03,9.94,0.88,21.89,0.66,0.62,33.52,4.09,0.24,0.64,0.09,0.05,0.14,412,27,67,45,30,17,13,14,45,15.2593,13.7333,9.1556,1.6667,2.2333,1.5,0.3778,0.5667,1.1111,0.4333,0.4667,0.3111,1.5,1.0,5,4.81,2.33,1.37,1.65,1.81,1.0,9.472,57.848
19,293.txt,24,3,1.41,4.3,0.0636,21,163,65,109,63,320,103,164,99,0.51,0.6,0.4,0.47,11.79,2.43,163,32,40.5,38.3,0.51,0.76,6.44,9.11,0.88,21.42,0.66,0.68,24.45,3.5,0.22,0.62,0.09,0.02,0.11,316,21,43,31,21,9,9,13,22,15.0476,15.0476,10.1935,1.4762,2.0476,1.4762,0.2903,0.4286,1.0,0.4286,0.619,0.4194,1.0476,0.7097,5,4.0,2.0,1.14,1.99,1.57,1.0,9.988,51.766
20,484.txt,14,4,1.45,4.4,0.1021,16,147,59,100,56,259,89,138,83,0.53,0.6,0.4,0.43,7.71,1.96,147,36,42.7,41.6,0.57,0.8,6.46,9.13,0.9,23.68,0.72,0.76,24.38,3.49,0.23,0.63,0.17,0.02,0.19,254,16,37,29,17,13,12,9,25,15.875,14.9412,8.7586,1.8125,2.1765,1.7059,0.4483,0.7647,1.0625,0.7059,0.5294,0.3103,1.4706,0.8621,5,5.13,2.69,1.44,1.55,1.6,1.0,11.189,46.629
21,211.txt,9,3,1.42,4.32,0.1196,14,127,49,84,41,243,74,117,54,0.48,0.46,0.39,0.36,6.15,1.75,127,37,40.6,38.6,0.52,0.79,5.76,8.15,0.88,20.2,0.72,0.72,24.6,3.51,0.29,0.66,0.15,0.02,0.16,227,14,43,24,13,10,7,5,21,16.2143,17.4615,9.4583,1.7143,3.3077,1.8462,0.4167,0.7692,0.9286,0.5385,0.3846,0.2083,1.6154,0.875,5,5.31,2.77,1.23,1.58,2.0,1.0,9.952,53.033
22,7.txt,6,2,1.48,4.52,0.1596,8,71,27,48,25,105,36,61,32,0.58,0.52,0.38,0.47,4.26,1.46,71,43,40.4,40.2,0.68,0.78,4.9,6.93,0.92,24.04,0.79,0.84,13.47,2.6,0.26,0.75,0.13,0.0,0.13,101,8,15,9,7,3,3,3,9,12.625,14.4286,11.2222,1.125,2.1429,1.2857,0.3333,0.4286,0.875,0.4286,0.4286,0.3333,1.2857,1.0,5,2.75,1.88,1.13,1.95,1.93,1.0,11.815,45.168
23,312.txt,19,2,1.5,4.46,0.1191,11,140,55,90,52,273,91,138,79,0.51,0.57,0.39,0.63,16.49,2.87,140,38,40.8,39.9,0.51,0.76,5.99,8.47,0.88,20.46,0.65,0.8,26.56,3.64,0.24,0.59,0.14,0.01,0.15,264,11,31,24,11,12,8,8,36,24.0,24.0,11.0,2.1818,2.8182,2.1818,0.5,1.0909,1.0,0.7273,0.7273,0.3333,3.2727,1.5,5,8.0,3.18,2.45,1.84,1.46,1.0,9.826,45.911
24,444.txt,7,2,1.58,4.73,0.1313,6,74,27,45,25,114,38,62,34,0.54,0.55,0.36,0.5,3.5,1.32,74,39,40.8,42.6,0.65,0.77,4.9,6.93,0.91,22.54,0.73,0.86,10.29,2.27,0.19,0.66,0.16,0.0,0.16,110,6,14,8,5,4,4,3,12,18.3333,22.0,13.75,1.3333,2.8,1.6,0.5,0.8,0.8333,0.8,0.6,0.375,2.4,1.5,5,4.83,2.17,2.0,1.97,1.85,1.0,12.583,41.468
25,374.txt,11,3,1.47,4.36,0.0969,16,117,40,71,37,221,64,109,59,0.49,0.54,0.34,0.39,5.12,1.6,117,31,40.7,37.4,0.53,0.69,5.57,7.87,0.88,19.9,0.65,0.7,16.03,2.83,0.21,0.69,0.14,0.0,0.14,217,16,32,20,16,8,6,8,21,13.5625,13.5625,10.85,1.25,2.0,1.25,0.4,0.5,1.0,0.375,0.5,0.4,1.3125,1.05,5,3.69,1.88,1.38,1.93,1.77,1.0,10.218,46.359
26,295.txt,12,3,1.47,4.32,0.1417,10,82,31,56,29,133,43,74,39,0.56,0.53,0.38,0.43,3.86,1.39,82,37,40.7,38.5,0.62,0.77,5.03,7.11,0.9,21.48,0.76,0.76,12.19,2.47,0.22,0.77,0.19,0.0,0.19,129,10,20,13,10,4,4,3,16,12.9,12.9,9.9231,1.3,2.0,1.3,0.3077,0.4,1.0,0.4,0.3,0.2308,1.6,1.2308,5,3.6,2.1,1.4,1.83,1.71,1.0,10.398,45.751
27,436.txt,5,2,1.48,4.48,0.1444,6,65,20,39,18,100,27,50,23,0.5,0.46,0.31,0.4,2.4,1.1,65,41,38.2,38.0,0.65,0.78,4.6,6.5,0.91,21.38,0.78,0.93,13.07,2.56,0.28,0.68,0.16,0.0,0.16,96,6,15,9,6,4,4,1,10,16.0,16.0,10.6667,1.5,2.5,1.5,0.4444,0.6667,1.0,0.6667,0.1667,0.1111,1.6667,1.1111,5,4.33,2.33,1.67,1.81,2.07,1.0,10.708,47.293
28,230.txt,17,2,1.43,4.32,0.0785,12,116,39,69,35,250,73,113,62,0.45,0.55,0.34,0.29,2.94,1.21,116,33,40.7,37.9,0.46,0.74,5.19,7.34,0.86,17.24,0.61,0.65,14.24,2.67,0.19,0.56,0.13,0.0,0.13,246,12,39,17,12,5,5,4,27,20.5,20.5,14.4706,1.4167,3.25,1.4167,0.2941,0.4167,1.0,0.4167,0.3333,0.2353,2.25,1.5882,5,7.25,2.75,1.67,1.57,1.76,1.0,7.884,53.839
29,494.txt,16,4,1.47,4.4,0.1581,16,135,48,91,45,252,80,138,75,0.55,0.54,0.36,0.37,5.49,1.66,135,29,39.9,42.1,0.54,0.74,6.01,8.5,0.89,21.27,0.66,0.63,16.49,2.87,0.19,0.64,0.14,0.01,0.15,248,16,33,23,18,7,7,5,26,15.5,13.7778,10.7826,1.4375,1.8333,1.2778,0.3043,0.3889,1.125,0.3889,0.2778,0.2174,1.4444,1.1304,5,4.38,2.19,1.56,1.99,1.8,1.0,10.439,48.723
30,261.txt,11,2,1.46,4.24,0.1544,8,96,35,60,31,154,47,78,39,0.51,0.5,0.36,0.36,3.24,1.27,96,39,40.7,41.3,0.62,0.79,5.47,7.74,0.91,23.31,0.77,0.76,14.44,2.69,0.24,0.79,0.15,0.0,0.15,152,8,26,12,7,4,3,3,15,19.0,21.7143,12.6667,1.5,3.7143,1.7143,0.3333,0.5714,0.875,0.4286,0.4286,0.25,2.1429,1.25,5,5.25,3.13,1.38,1.67,1.84,1.0,9.306,50.18
31,61.txt,21,3,1.46,4.48,0.1262,23,187,68,134,62,341,96,183,86,0.54,0.47,0.36,0.45,14.92,2.73,187,41,40.5,39.7,0.55,0.79,7.16,10.13,0.9,24.59,0.73,0.7,35.63,4.22,0.28,0.68,0.16,0.02,0.18,333,23,53,42,24,20,13,6,37,14.4783,13.875,7.9286,1.8261,2.2083,1.75,0.4762,0.8333,1.0435,0.5417,0.25,0.1429,1.5417,0.881,5,4.43,2.26,1.22,1.79,1.67,1.04,11.498,46.658
32,12.txt,6,2,1.38,4.25,0.1275,5,70,25,46,23,113,33,58,29,0.51,0.5,0.36,0.39,2.72,1.17,70,38,38.7,37.5,0.62,0.77,4.66,6.59,0.9,20.27,0.79,0.89,14.22,2.67,0.28,0.71,0.17,0.0,0.17,109,5,17,9,5,5,5,3,10,21.8,21.8,12.1111,1.8,3.4,1.8,0.5556,1.0,1.0,1.0,0.6,0.3333,2.0,1.1111,5,6.2,3.0,2.2,1.9,1.93,1.0,9.512,52.651
33,16.txt,6,2,1.38,4.29,0.125,7,75,29,49,26,112,36,60,31,0.54,0.52,0.39,0.47,4.26,1.46,75,43,41.4,39.0,0.67,0.83,5.01,7.09,0.92,24.11,0.82,0.95,17.05,2.92,0.3,0.71,0.18,0.0,0.18,108,7,20,11,8,5,6,2,10,15.4286,13.5,9.8182,1.5714,2.5,1.375,0.4545,0.625,1.1429,0.75,0.25,0.1818,1.25,0.9091,5,4.14,2.29,1.14,1.93,1.94,1.0,10.059,54.712
34,134.txt,9,2,1.41,4.3,0.1929,11,96,36,65,32,156,45,81,39,0.52,0.48,0.38,0.37,3.7,1.36,96,36,39.6,38.0,0.62,0.77,5.43,7.69,0.9,22.81,0.8,0.81,17.93,2.99,0.27,0.76,0.14,0.04,0.17,152,11,21,13,11,4,4,4,12,13.8182,13.8182,11.6923,1.1818,1.9091,1.1818,0.3077,0.3636,1.0,0.3636,0.3636,0.3077,1.0909,0.9231,5,3.45,2.18,1.0,1.89,1.92,1.0,11.028,45.948
35,309.txt,11,3,1.55,4.47,0.1156,10,109,40,67,36,229,77,116,70,0.51,0.6,0.37,0.26,2.63,1.15,109,25,36.8,38.3,0.48,0.65,5.09,7.2,0.86,17.27,0.58,0.47,8.53,2.06,0.16,0.63,0.1,0.01,0.11,221,10,36,21,10,9,7,4,31,22.1,22.1,10.5238,2.1,3.6,2.1,0.4286,0.9,1.0,0.7,0.4,0.1905,3.1,1.4762,5,8.8,3.2,2.7,1.66,1.47,1.04,10.026,42.484
36,28.txt,8,6,1.67,5.02,0.1472,7,79,28,49,25,188,46,91,40,0.48,0.44,0.35,0.41,2.88,1.2,79,23,28.6,27.9,0.42,0.47,4.07,5.76,0.83,13.74,0.54,0.88,13.24,2.57,0.16,0.39,0.11,0.0,0.11,184,7,14,7,5,4,4,14,14,26.2857,36.8,26.2857,1.0,2.8,1.4,0.5714,0.8,0.7143,0.8,2.8,2.0,2.8,2.0,5,5.14,2.29,1.29,2.06,1.75,1.0,11.971,38.226
37,373.txt,10,2,1.43,4.32,0.0935,10,95,35,59,31,156,51,80,44,0.51,0.55,0.37,0.29,2.04,1.01,95,28,41.8,39.5,0.61,0.71,5.38,7.61,0.9,22.33,0.74,0.71,12.04,2.45,0.21,0.74,0.12,0.0,0.12,152,10,24,18,9,7,5,3,18,15.2,16.8889,8.4444,1.8,2.6667,2.0,0.3889,0.7778,0.9,0.5556,0.3333,0.1667,2.0,1.0,5,5.1,2.3,1.4,1.65,1.57,1.0,9.936,50.057
38,404.txt,11,4,1.38,4.08,0.1632,16,119,37,68,34,314,86,130,76,0.41,0.58,0.31,0.37,5.49,1.66,119,22,33.4,27.1,0.38,0.55,4.75,6.72,0.83,14.8,0.52,0.61,15.24,2.76,0.19,0.41,0.09,0.0,0.09,307,16,37,27,16,10,6,3,26,19.1875,19.1875,11.3704,1.6875,2.3125,1.6875,0.3704,0.625,1.0,0.375,0.1875,0.1111,1.625,0.963,5,4.63,2.19,1.19,2.73,1.8,1.0,5.506,61.319
39,410.txt,10,3,1.45,4.31,0.1611,15,123,42,73,39,269,84,124,70,0.46,0.56,0.34,0.32,3.79,1.38,123,32,38.5,36.0,0.46,0.7,5.3,7.5,0.86,17.37,0.59,0.71,19.18,3.1,0.22,0.51,0.1,0.01,0.11,257,15,36,28,18,10,10,6,29,17.1333,14.2778,9.1786,1.8667,2.0,1.5556,0.3571,0.5556,1.2,0.5556,0.3333,0.2143,1.6111,1.0357,5,5.6,2.4,1.8,1.79,1.69,1.0,7.797,55.365
40,120.txt,25,3,1.51,4.62,0.0484,32,191,96,137,87,391,181,226,155,0.58,0.69,0.5,0.55,21.42,3.27,191,35,41.0,38.9,0.49,0.8,6.83,9.66,0.88,21.6,0.61,0.73,38.08,4.36,0.23,0.52,0.05,0.04,0.09,385,32,69,50,37,14,15,9,32,12.0312,10.4054,7.7,1.5625,1.8649,1.3514,0.28,0.3784,1.1562,0.4054,0.2432,0.18,0.8649,0.64,5,4.19,1.87,1.1,1.66,1.69,1.0,12.007,41.097
41,358.txt,10,4,1.48,4.3,0.0496,20,119,33,71,31,322,89,163,80,0.51,0.49,0.28,0.23,2.72,1.17,119,23,36.3,31.6,0.37,0.63,4.69,6.63,0.83,14.55,0.44,0.47,11.79,2.43,0.15,0.4,0.1,0.02,0.12,314,20,48,28,22,11,10,2,38,15.7,14.2727,11.2143,1.4,2.1818,1.2727,0.3929,0.5,1.1,0.4545,0.0909,0.0714,1.7273,1.3571,5,5.05,2.5,1.7,1.97,1.72,1.0,8.181,51.254
42,52.txt,9,2,1.46,4.43,0.144,12,91,35,64,33,136,43,76,39,0.56,0.51,0.38,0.46,5.54,1.66,91,37,42.4,41.0,0.67,0.81,5.52,7.8,0.92,26.09,0.84,0.88,20.35,3.19,0.3,0.79,0.17,0.01,0.18,132,12,22,15,11,5,4,6,13,11.0,12.0,8.8,1.25,2.0,1.3636,0.3333,0.4545,0.9167,0.3636,0.5455,0.4,1.1818,0.8667,5,2.83,1.67,0.83,1.85,1.9,1.0,11.651,43.516
43,38.txt,4,2,1.45,4.42,0.1477,6,64,20,38,18,98,27,50,23,0.51,0.46,0.31,0.35,2.12,1.03,64,42,39.6,38.9,0.65,0.84,4.57,6.46,0.91,21.43,0.76,0.88,13.24,2.57,0.3,0.65,0.16,0.0,0.16,94,6,17,9,6,4,4,1,9,15.6667,15.6667,10.4444,1.5,2.8333,1.5,0.4444,0.6667,1.0,0.6667,0.1667,0.1111,1.5,1.0,5,4.5,2.67,1.33,1.7,1.88,1.0,10.586,48.714
44,203.txt,30,4,1.39,4.3,0.1727,33,218,68,153,63,485,114,246,107,0.51,0.43,0.31,0.35,9.14,2.14,218,39,42.0,40.6,0.45,0.78,7.0,9.9,0.87,20.77,0.62,0.65,31.14,3.95,0.2,0.62,0.11,0.03,0.14,479,33,63,41,36,10,12,11,53,14.5152,13.3056,11.6829,1.2424,1.75,1.1389,0.2439,0.2778,1.0909,0.3333,0.3056,0.2683,1.4722,1.2927,5,4.7,2.12,1.48,1.77,1.66,1.0,10.775,51.331
45,482.txt,8,2,1.5,4.42,0.1413,6,68,22,43,20,104,31,56,27,0.54,0.48,0.32,0.4,2.4,1.1,68,40,39.2,37.8,0.65,0.76,4.71,6.67,0.91,22.05,0.77,0.93,13.07,2.56,0.25,0.68,0.14,0.0,0.14,100,6,16,8,5,4,4,3,10,16.6667,20.0,12.5,1.3333,3.2,1.6,0.5,0.8,0.8333,0.8,0.6,0.375,2.0,1.25,5,4.67,2.5,1.33,1.71,2.07,1.0,10.27,47.361
46,27.txt,5,2,1.58,4.57,0.2222,8,71,29,46,27,102,37,58,33,0.57,0.57,0.41,0.53,4.27,1.46,71,44,40.9,39.1,0.7,0.79,4.97,7.03,0.92,25.64,0.79,0.87,11.27,2.37,0.22,0.71,0.22,0.0,0.22,98,8,15,11,8,4,4,2,12,12.25,12.25,8.9091,1.375,1.875,1.375,0.3636,0.5,1.0,0.5,0.25,0.1818,1.5,1.0909,5,3.13,1.88,1.13,2.08,1.73,1.0,12.303,34.669
47,98.txt,18,3,1.47,4.55,0.1734,17,169,66,116,60,303,100,164,90,0.54,0.55,0.39,0.46,11.08,2.35,169,34,41.8,40.9,0.56,0.77,6.87,9.71,0.9,24.28,0.71,0.77,30.77,3.92,0.24,0.64,0.15,0.04,0.19,293,17,37,24,16,10,8,11,27,17.2353,18.3125,12.2083,1.4118,2.3125,1.5,0.4167,0.625,0.9412,0.5,0.6875,0.4583,1.6875,1.125,5,4.65,2.29,1.65,1.89,1.9,1.04,11.748,45.702
48,386.txt,9,3,1.5,4.54,0.1589,7,78,28,53,26,123,43,73,39,0.59,0.53,0.36,0.44,3.56,1.33,78,34,41.1,40.8,0.63,0.7,4.97,7.03,0.91,22.08,0.73,0.89,14.22,2.67,0.22,0.64,0.12,0.0,0.12,119,7,18,10,7,4,4,6,11,17.0,17.0,11.9,1.4286,2.5714,1.4286,0.4,0.5714,1.0,0.5714,0.8571,0.6,1.5714,1.1,5,3.71,2.43,1.29,2.08,1.76,1.0,10.795,46.465
49,103.txt,113,7,1.46,4.38,0.0399,137,424,214,329,202,2115,866,1092,738,0.52,0.68,0.5,0.23,22.49,3.35,424,33,39.9,39.4,0.2,0.78,6.52,9.22,0.79,15.84,0.3,0.32,43.32,4.65,0.12,0.27,0.04,0.01,0.05,2037,137,373,282,147,130,86,48,191,14.8686,13.8571,7.2234,2.0584,2.5374,1.9184,0.461,0.8844,1.073,0.585,0.3265,0.1702,1.2993,0.6773,5,5.59,2.66,1.02,1.38,1.59,1.0,11.151,45.177
50,109.txt,50,3,1.36,4.19,0.0668,46,375,174,283,160,795,241,367,204,0.46,0.56,0.46,0.44,22.92,3.38,375,39,42.7,40.9,0.47,0.83,9.4,13.3,0.89,25.78,0.77,0.74,64.14,5.66,0.24,0.79,0.16,0.04,0.19,784,46,117,92,62,34,25,13,70,17.0435,12.6452,8.5217,2.0,1.8871,1.4839,0.3696,0.5484,1.3478,0.4032,0.2097,0.1413,1.129,0.7609,5,5.9,2.42,1.42,1.75,1.54,1.01,8.276,61.276
51,106.txt,12,3,1.44,4.51,0.2202,9,107,40,78,38,185,59,104,53,0.56,0.51,0.37,0.29,2.29,1.07,107,32,40.5,41.5,0.58,0.74,5.56,7.87,0.9,21.62,0.75,0.75,15.75,2.81,0.2,0.74,0.15,0.02,0.17,179,9,23,16,11,6,7,5,23,19.8889,16.2727,11.1875,1.7778,2.0909,1.4545,0.375,0.5455,1.2222,0.6364,0.4545,0.3125,2.0909,1.4375,5,5.89,2.89,2.0,2.02,1.54,1.0,11.205,47.885
