 numsyl, avgchar,awl,ld,ttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv, modv,class_y
1.51,4.53,0.1076,0.56,0.65,6.06,8.56,0.92,27.13,0.83,0.88,25.48,3.57,0.3,0.79,0.1,0.03,0.14,4
1.39,4.28,0.1023,0.51,0.43,7.67,10.85,0.87,21.49,0.62,0.65,47.58,4.88,0.23,0.59,0.11,0.02,0.13,4
1.64,4.75,0.1061,0.56,0.58,6.04,8.54,0.9,23.26,0.75,0.76,19.88,3.15,0.22,0.73,0.11,0.03,0.14,4
1.56,4.61,0.1963,0.6,0.65,6.09,8.62,0.92,26.69,0.76,0.8,19.2,3.1,0.22,0.72,0.13,0.02,0.15,4
1.53,4.63,0.0742,0.54,0.37,6.14,8.69,0.84,17.44,0.48,0.4,14.24,2.67,0.12,0.51,0.11,0.01,0.12,4
1.53,4.65,0.1,0.59,0.48,7.42,10.5,0.88,22.56,0.62,0.58,31.84,3.99,0.2,0.64,0.14,0.01,0.15,4
1.73,5.66,0.0488,0.72,0.94,4.86,6.87,0.99,117.49,0.95,1,2,1,0.05,0.94,0.03,0,0.03,4
1.57,4.68,0.1504,0.61,0.69,5.68,8.03,0.93,28.52,0.8,0.89,14.22,2.67,0.2,0.77,0.16,0.01,0.17,4
1.59,4.78,0.0659,0.52,0.38,8.06,11.4,0.86,20.84,0.56,0.63,51.26,5.06,0.18,0.53,0.09,0.01,0.1,4
1.54,4.54,0.1024,0.57,0.56,6.74,9.54,0.9,24.3,0.72,0.67,22.22,3.33,0.2,0.7,0.14,0.02,0.16,4
1.49,4.68,0.0733,0.59,0.6,7.39,10.46,0.91,27.82,0.79,0.75,29.25,3.82,0.22,0.78,0.12,0.01,0.13,4
1.45,4.41,0.0783,0.56,0.46,7.23,10.22,0.87,21.4,0.63,0.59,30.24,3.89,0.18,0.64,0.13,0.01,0.13,4
1.53,4.61,0.1594,0.59,0.58,6.2,8.77,0.9,23.45,0.74,0.71,17.86,2.99,0.18,0.78,0.1,0.01,0.1,4
1.71,5.03,0.1361,0.55,0.55,7.29,10.31,0.9,25.11,0.76,0.75,28.31,3.76,0.2,0.73,0.11,0.02,0.14,4
1.8,5.4,0.6,0.8,1,1.58,2.24,1,0,1,0,0,0,0,1,0.25,0.25,0.5,4
1.46,4.48,0.0711,0.54,0.53,6.01,8.5,0.89,21.11,0.68,0.73,24.2,3.48,0.24,0.66,0.09,0.01,0.1,4
1.54,4.53,0.1033,0.56,0.58,6.65,9.4,0.9,24.62,0.77,0.76,24.38,3.49,0.22,0.75,0.13,0.03,0.16,4
1.58,4.98,0.0323,0.6,0.81,5.14,7.27,0.95,40.16,1,1,4,1.41,0.08,1,0.02,0,0.02,4
1.61,4.84,0.1871,0.6,0.69,6.2,8.77,0.93,30.03,0.81,0.8,16,2.83,0.21,0.81,0.11,0.01,0.12,4
1.64,4.82,0.0788,0.56,0.58,6.29,8.89,0.9,23.82,0.74,0.82,25.29,3.56,0.24,0.67,0.13,0.02,0.15,4
1.57,4.74,0.0946,0.59,0.57,7.93,11.22,0.91,27.7,0.76,0.75,28.31,3.76,0.17,0.73,0.22,0.02,0.23,4
1.5,4.51,0.1429,0.6,0.7,5.56,7.87,0.93,28.14,0.81,0.89,15.21,2.76,0.22,0.76,0.13,0,0.13,4
1.53,4.68,0.0988,0.6,0.65,7.72,10.92,0.92,32.19,0.83,0.9,32.4,4.02,0.21,0.81,0.12,0.01,0.13,4
1.58,4.73,0.0833,0.54,0.57,6.88,9.72,0.9,24.69,0.76,0.69,18.69,3.06,0.17,0.76,0.1,0.04,0.14,4
1.54,4.65,0.1217,0.56,0.58,6.53,9.23,0.9,24.23,0.76,0.74,23.81,3.45,0.22,0.79,0.13,0.01,0.14,4
1.58,4.57,0.1594,0.52,0.48,5.36,7.59,0.87,18.13,0.63,0.78,21.78,3.3,0.22,0.56,0.1,0,0.1,4
1.5,4.44,0.1548,0.57,0.68,4.62,6.53,0.91,22.91,0.77,0.88,12.25,2.47,0.26,0.69,0.15,0.02,0.17,4
1.57,4.56,0.0851,0.57,0.58,5.99,8.48,0.9,22.92,0.7,0.78,22.73,3.37,0.24,0.65,0.1,0.03,0.13,4
1.48,4.51,0.0841,0.54,0.46,6.25,8.84,0.87,19.53,0.6,0.58,19.11,3.09,0.17,0.56,0.14,0.01,0.14,4
1.6,4.85,0.1412,0.56,0.51,8.65,12.23,0.9,26.23,0.7,0.7,48.58,4.93,0.22,0.7,0.11,0.03,0.13,4
1.43,4.42,0.0815,0.61,0.48,7.2,10.18,0.88,22.08,0.62,0.64,33.38,4.09,0.19,0.57,0.1,0.01,0.11,4
1.51,4.42,0.0681,0.53,0.42,8.02,11.35,0.87,21.79,0.6,0.61,52.45,5.12,0.22,0.56,0.1,0.02,0.12,4
1.44,4.37,0.1161,0.56,0.4,5.87,8.29,0.85,17.47,0.52,0.55,24.7,3.51,0.19,0.48,0.08,0.01,0.09,4
1.66,4.91,0.0947,0.59,0.63,7.36,10.41,0.92,29.37,0.77,0.71,24.08,3.47,0.21,0.77,0.17,0.02,0.19,4
1.42,4.33,0.055,0.51,0.49,6.55,9.26,0.88,21.13,0.68,0.66,31.11,3.94,0.26,0.7,0.12,0.04,0.16,4
1.53,4.5,0.1043,0.52,0.37,7.64,10.81,0.85,19.87,0.56,0.57,45.39,4.76,0.18,0.49,0.1,0.01,0.11,4
1.44,4.41,0.0565,0.48,0.44,6.93,9.8,0.87,20.29,0.64,0.61,36.73,4.29,0.25,0.65,0.1,0.03,0.13,4
1.43,4.34,0.0386,0.5,0.46,7.06,9.98,0.87,21.23,0.63,0.8,37.44,4.33,0.2,0.53,0.11,0.02,0.13,4
1.56,4.66,0.1386,0.59,0.66,5.06,7.15,0.91,23.95,0.78,0.83,12.5,2.5,0.22,0.74,0.13,0.01,0.15,4
1.49,4.31,0.2365,0.52,0.35,5.78,8.18,0.83,16.46,0.48,0.51,21.51,3.28,0.15,0.44,0.09,0,0.1,4
1.68,4.97,0.1024,0.54,0.46,7.16,10.12,0.87,21.25,0.65,0.81,50.88,5.04,0.24,0.56,0.08,0.02,0.1,4
1.56,4.76,0.0807,0.52,0.4,8.08,11.43,0.86,21.35,0.6,0.6,49.08,4.95,0.2,0.55,0.09,0.02,0.11,4
1.44,4.27,0.0605,0.52,0.55,7.3,10.33,0.9,24.97,0.76,0.66,29.78,3.86,0.24,0.78,0.12,0.04,0.17,4
1.5,4.44,0.1548,0.57,0.68,4.62,6.53,0.91,22.91,0.77,0.88,12.25,2.47,0.26,0.69,0.15,0.02,0.17,4
1.67,4.96,0.108,0.61,0.56,7.05,9.97,0.9,24.93,0.7,0.67,29.33,3.83,0.23,0.68,0.12,0.03,0.16,4
1.63,4.33,0.1333,0.53,0.5,2.12,3,0.81,8.05,0.63,0.57,2.29,1.07,0.21,0.67,0,0.11,0.11,4
1.49,4.42,0.2634,0.56,0.55,5.94,8.4,0.89,21.66,0.7,0.83,16.67,2.89,0.16,0.66,0.13,0.01,0.14,4
1.49,4.51,0.1143,0.44,0.06,1.91,2.7,0.63,8.9,0.1,0.08,1.95,0.99,0.03,0.11,0.01,0,0.01,4
1.6,4.72,0.1053,0.55,0.48,7.08,10.01,0.88,21.95,0.67,0.69,31.58,3.97,0.19,0.63,0.1,0.03,0.13,4
1.53,4.51,0.0986,0.57,0.64,7.03,9.94,0.92,29.14,0.8,0.82,27.23,3.69,0.24,0.78,0.09,0.03,0.12,4
1.61,4.85,0.1167,0.55,0.58,6.61,9.35,0.9,24.57,0.73,0.78,27.22,3.69,0.24,0.69,0.12,0.03,0.15,4
1.6,4.81,0.121,0.58,0.53,4.63,6.55,0.87,17.28,0.6,0.79,11.84,2.43,0.17,0.52,0.11,0,0.11,4
1.65,4.8,0.1463,0.57,0.44,5.87,8.3,0.86,18.18,0.53,0.49,16.25,2.85,0.16,0.54,0.1,0.02,0.12,4
1.74,5.11,0.1174,0.57,0.59,6.4,9.05,0.9,24.49,0.74,0.74,18.38,3.03,0.19,0.73,0.13,0.04,0.17,4
1.59,4.8,0.047,0.56,0.43,6.47,9.15,0.86,19.24,0.57,0.6,23.88,3.46,0.16,0.5,0.12,0.03,0.14,4
1.7,5,0.109,0.58,0.44,6.7,9.48,0.87,19.96,0.58,0.57,23.84,3.45,0.16,0.57,0.12,0.03,0.15,4
1.66,4.97,0.1488,0.54,0.4,8.63,12.2,0.87,22.14,0.58,0.57,51.1,5.05,0.18,0.59,0.08,0.02,0.1,4
1.5,4.55,0.0841,0.58,0.62,7.01,9.91,0.91,28.05,0.76,0.78,21.78,3.3,0.19,0.74,0.12,0.01,0.14,4
1.68,4.9,0.0474,0.52,0.38,5.75,8.13,0.84,16.84,0.5,0.47,17.33,2.94,0.15,0.5,0.1,0.03,0.12,4
1.59,4.69,0.1753,0.58,0.67,6.27,8.87,0.92,28.7,0.82,0.88,19.36,3.11,0.22,0.81,0.1,0.01,0.11,4
1.39,4.16,0.0551,0.48,0.3,7.21,10.19,0.83,17.91,0.46,0.41,34.27,4.14,0.15,0.45,0.1,0.02,0.12,4
1.52,4.6,0.126,0.57,0.59,6.8,9.62,0.9,25.4,0.75,0.69,24.02,3.47,0.23,0.75,0.12,0.03,0.15,4
1.65,4.85,0.1414,0.57,0.55,8.07,11.41,0.9,26.78,0.72,0.73,38.08,4.36,0.21,0.67,0.13,0.02,0.15,4
1.43,4.48,0.1161,0.53,0.44,5.93,8.38,0.86,18.29,0.56,0.47,18.05,3,0.19,0.6,0.09,0.03,0.12,4
1.55,4.58,0.1176,0.57,0.58,6.07,8.59,0.9,23.02,0.7,0.69,13.79,2.63,0.16,0.67,0.12,0.01,0.13,4
1.46,4.39,0.1138,0.52,0.29,5.87,8.31,0.82,15.82,0.38,0.47,30.12,3.88,0.15,0.32,0.06,0.01,0.07,4
1.51,4.52,0.1275,0.59,0.63,4.86,6.88,0.9,21.49,0.71,0.78,10.89,2.33,0.2,0.67,0.14,0,0.14,4
1.5,4.57,0.1914,0.5,0.47,6.65,9.4,0.87,20.59,0.67,0.81,37.12,4.31,0.23,0.59,0.1,0,0.1,4
1.56,4.7,0.1523,0.58,0.56,6.55,9.27,0.9,23.51,0.74,0.65,19.57,3.13,0.19,0.76,0.14,0.01,0.15,4
1.53,4.65,0.0959,0.57,0.52,5.79,8.19,0.88,20.34,0.64,0.8,22.4,3.35,0.2,0.55,0.1,0.01,0.12,4
1.49,4.62,0.1429,0.53,0.55,5.57,7.88,0.89,20.75,0.68,0.72,16.53,2.88,0.21,0.63,0.1,0.01,0.11,4
1.59,4.77,0.1065,0.55,0.51,6.49,9.18,0.88,21.58,0.7,0.7,26.74,3.66,0.21,0.67,0.12,0.02,0.14,4
1.52,4.72,0.0562,0.49,0.37,5.83,8.24,0.84,16.85,0.54,0.56,24.51,3.5,0.18,0.47,0.1,0.02,0.12,4
1.44,4.24,0.0856,0.52,0.56,5.72,8.09,0.89,21.36,0.76,0.82,22.09,3.32,0.25,0.72,0.1,0.01,0.11,4
1.66,5.04,0.0949,0.58,0.45,8.44,11.93,0.88,23.44,0.62,0.63,49.46,4.97,0.19,0.56,0.12,0.02,0.14,4
1.56,4.62,0.16,0.55,0.66,6.57,9.29,0.92,29.1,0.79,0.75,20.25,3.18,0.25,0.79,0.12,0.02,0.14,4
1.49,4.52,0.0864,0.56,0.3,8.57,12.12,0.84,19.75,0.44,0.33,30.11,3.88,0.1,0.49,0.1,0.01,0.12,4
1.6,4.85,0.1682,0.6,0.56,7.69,10.87,0.9,26.51,0.76,0.78,40.36,4.49,0.23,0.75,0.11,0,0.11,4
1.57,4.74,0.0798,0.57,0.55,6.39,9.04,0.89,22.86,0.69,0.7,18.27,3.02,0.17,0.66,0.13,0,0.13,4
1.6,4.76,0.0978,0.57,0.55,7.21,10.2,0.9,24.67,0.73,0.72,36.63,4.28,0.26,0.7,0.12,0.02,0.14,4
1.48,4.57,0.0908,0.5,0.39,8.59,12.15,0.86,21.88,0.62,0.49,47.54,4.88,0.2,0.71,0.13,0.02,0.15,4
1.53,4.65,0.0992,0.56,0.54,7.7,10.89,0.9,25.28,0.71,0.73,34.52,4.15,0.2,0.68,0.11,0.02,0.13,4
1.59,4.71,0.1138,0.56,0.68,5.77,8.17,0.92,27.87,0.83,0.89,14.22,2.67,0.2,0.8,0.14,0.01,0.15,4
1.66,4.93,0.2,0.54,0.4,5.72,8.09,0.85,17.12,0.52,0.62,24.62,3.51,0.18,0.46,0.06,0.01,0.08,4
1.46,4.31,0.088,0.55,0.57,6.23,8.82,0.9,23.24,0.73,0.79,25.93,3.6,0.25,0.69,0.11,0.02,0.14,4
1.62,4.94,0.1201,0.56,0.35,9.44,13.35,0.86,22.06,0.52,0.54,73.6,6.07,0.17,0.5,0.09,0.02,0.11,4
1.64,5.16,0.0247,0.74,0.86,6.21,8.78,0.97,61.02,0.92,1,2,1,0.03,0.92,0.01,0,0.01,4
1.67,4.89,0.1788,0.58,0.56,7.19,10.17,0.9,25.13,0.74,0.8,38.4,4.38,0.25,0.7,0.11,0.03,0.14,4
1.47,4.4,0.1308,0.57,0.5,7.47,10.56,0.89,23.16,0.67,0.66,30.23,3.89,0.18,0.69,0.1,0.01,0.12,4
1.65,4.95,0.1298,0.6,0.66,7.21,10.2,0.92,31.53,0.82,0.78,21.78,3.3,0.2,0.84,0.11,0.01,0.12,4
1.53,4.66,0.104,0.58,0.65,6.34,8.97,0.92,28.07,0.81,0.81,21.12,3.25,0.24,0.8,0.11,0.04,0.15,4
1.47,4.45,0.1458,0.6,0.7,5.15,7.28,0.92,26.51,0.8,0.88,13.24,2.57,0.23,0.76,0.14,0,0.14,4
1.49,4.58,0.101,0.46,0.16,2.91,4.11,0.72,10,0.24,0.21,5.01,1.58,0.08,0.25,0.04,0,0.04,4
1.57,4.63,0.1299,0.58,0.48,6.21,8.78,0.87,19.98,0.64,0.6,21.6,3.29,0.18,0.72,0.11,0.02,0.13,4
1.48,4.48,0.0584,0.54,0.54,6.56,9.28,0.89,22.76,0.74,0.73,26.45,3.64,0.23,0.72,0.13,0.03,0.16,4
1.49,4.62,0.0539,0.53,0.39,5.81,8.22,0.85,17.11,0.51,0.49,18.01,3,0.15,0.51,0.08,0.03,0.12,4
1.65,4.84,0.1144,0.58,0.51,7.23,10.22,0.89,23.09,0.66,0.62,25.94,3.6,0.18,0.67,0.13,0.02,0.15,4
