W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C,NP/S,VP/S,PP/S,NPlen,VPlen,PPlen, numsyl, avgchar,awl,ld,ttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv, modv,class_y
182,10,18,11,10,3,3,6,18,18.2,18.2,16.5455,1.1,1.8,1.1,0.2727,0.3,1,0.3,0.6,0.5455,1.8,1.6364,4.9,1.9,1.5,2.24,1.63,1,1.62,4.97,0.0962,0.64,0.7,6.79,9.6,0.93,33.24,0.83,0.89,15.21,2.76,0.14,0.82,0.08,0.01,0.09,4
206,13,27,16,13,5,5,11,24,15.8462,15.8462,12.875,1.2308,2.0769,1.2308,0.3125,0.3846,1,0.3846,0.8462,0.6875,1.8462,1.5,4.85,2.23,1.69,1.94,1.52,1,1.59,4.68,0.172,0.6,0.65,6.6,9.34,0.92,28.36,0.81,0.88,25.48,3.57,0.23,0.75,0.14,0.01,0.14,4
282,18,45,30,20,12,11,7,25,15.6667,14.1,9.4,1.6667,2.25,1.5,0.4,0.6,1.1111,0.55,0.35,0.2333,1.25,0.8333,5.33,2.33,1.67,1.83,1.71,1,1.47,4.45,0.0711,0.53,0.56,6.85,9.68,0.9,24.54,0.75,0.78,27.22,3.69,0.23,0.69,0.14,0.02,0.16,4
137,8,20,12,8,6,3,8,12,17.125,17.125,11.4167,1.5,2.5,1.5,0.5,0.75,1,0.375,1,0.6667,1.5,1,5.38,2.88,1.5,1.81,1.52,1,1.54,4.63,0.1393,0.56,0.68,5.68,8.03,0.92,27.35,0.81,0.87,17.39,2.95,0.25,0.77,0.11,0.01,0.13,4
390,26,53,31,26,10,7,16,41,15,15,12.5806,1.1923,2.0385,1.1923,0.3226,0.3846,1,0.2692,0.6154,0.5161,1.5769,1.3226,4.07,1.93,1.44,1.91,2.02,1,1.55,4.5,0.1356,0.56,0.53,7.5,10.6,0.89,24.68,0.72,0.77,41.66,4.56,0.24,0.68,0.13,0.02,0.15,4
176,14,25,16,14,5,5,6,16,12.5714,12.5714,11,1.1429,1.7857,1.1429,0.3125,0.3571,1,0.3571,0.4286,0.375,1.1429,1,4,2.36,1.07,1.7,1.58,1,1.44,4.49,0.125,0.54,0.6,5.69,8.05,0.9,22.93,0.74,0.81,17.93,2.99,0.23,0.71,0.13,0.01,0.14,4
405,22,49,34,23,14,12,14,43,18.4091,17.6087,11.9118,1.5455,2.1304,1.4783,0.4118,0.6087,1.0455,0.5217,0.6087,0.4118,1.8696,1.2647,5.5,2.36,1.95,2.19,1.87,1,1.48,4.55,0.125,0.54,0.47,6.81,9.64,0.88,21.03,0.65,0.7,36.96,4.3,0.24,0.58,0.11,0.02,0.13,4
61,2,5,3,2,1,1,1,8,30.5,30.5,20.3333,1.5,2.5,1.5,0.3333,0.5,1,0.5,0.5,0.3333,4,2.6667,7.5,1.5,2,3,1.33,1,1.78,5.33,0.0408,0.76,0.82,4.58,6.48,0.95,37.88,0.83,1,3,1.22,0.06,0.83,0.04,0,0.04,4
695,48,107,72,53,22,17,29,68,14.4792,13.1132,9.6528,1.5,2.0189,1.3585,0.3056,0.4151,1.1042,0.3208,0.5472,0.4028,1.283,0.9444,4.49,2.08,1.06,1.68,1.97,1,1.58,4.83,0.1034,0.55,0.43,8.04,11.37,0.87,22.06,0.61,0.56,42.47,4.61,0.2,0.63,0.07,0.02,0.09,4
388,16,53,37,17,19,9,7,48,24.25,22.8235,10.4865,2.3125,3.1176,2.1765,0.5135,1.1176,1.0625,0.5294,0.4118,0.1892,2.8235,1.2973,9.38,3.88,2.25,1.74,1.52,1,1.49,4.41,0.1171,0.52,0.43,6.07,8.58,0.86,18.39,0.55,0.63,25.86,3.6,0.2,0.46,0.1,0.01,0.11,4
219,17,30,20,17,7,6,6,20,12.8824,12.8824,10.95,1.1765,1.7647,1.1765,0.35,0.4118,1,0.3529,0.3529,0.3,1.1765,1,3.65,2.12,1,2.1,1.64,1,1.53,4.68,0.0784,0.57,0.68,7.26,10.27,0.93,33.6,0.83,0.82,27.23,3.69,0.26,0.79,0.14,0.04,0.18,4
250,18,40,24,21,9,8,6,22,13.8889,11.9048,10.4167,1.3333,1.9048,1.1429,0.375,0.4286,1.1667,0.381,0.2857,0.25,1.0476,0.9167,4.29,2.47,1.18,2.03,1.88,1,1.45,4.31,0.1572,0.54,0.56,6.36,9,0.9,23.21,0.72,0.69,21.36,3.27,0.22,0.68,0.14,0.04,0.17,4
309,21,48,24,23,4,4,5,32,14.7143,13.4348,12.875,1.1429,2.087,1.0435,0.1667,0.1739,1.0952,0.1739,0.2174,0.2083,1.3913,1.3333,4.38,2.1,1.71,1.8,2.11,1,1.47,4.44,0.0732,0.54,0.52,6.57,9.3,0.89,22.23,0.69,0.71,28.98,3.81,0.24,0.63,0.14,0.02,0.16,4
85,2,2,2,2,0,0,1,10,42.5,42.5,42.5,1,1,1,0,0,1,0,0.5,0.5,5,5,13.5,1,4.5,2.37,1.5,1,1.79,5.66,0.0294,0.7,0.81,5.35,7.57,0.95,40.56,0.89,1,2,1,0.03,0.88,0.02,0.02,0.03,4
381,23,57,37,24,13,12,11,46,16.5652,15.875,10.2973,1.6087,2.375,1.5417,0.3514,0.5417,1.0435,0.5,0.4583,0.2973,1.9167,1.2432,5.04,2.17,1.67,1.79,1.81,1,1.71,4.98,0.1579,0.58,0.49,6.83,9.66,0.88,21.6,0.63,0.6,27.48,3.71,0.2,0.67,0.1,0.01,0.11,4
273,18,37,23,20,5,5,9,27,15.1667,13.65,11.8696,1.2778,1.85,1.15,0.2174,0.25,1.1111,0.25,0.45,0.3913,1.35,1.1739,4.78,1.83,2.11,1.81,1.67,1.03,1.5,4.41,0.0902,0.57,0.57,6.76,9.55,0.9,24.75,0.72,0.67,20,3.16,0.19,0.74,0.11,0.04,0.15,4
212,12,30,20,13,9,8,10,18,17.6667,16.3077,10.6,1.6667,2.3077,1.5385,0.45,0.6923,1.0833,0.6154,0.7692,0.5,1.3846,0.9,5.42,2.58,1.67,1.8,1.68,1,1.55,4.58,0.1818,0.53,0.55,5.78,8.18,0.89,21.26,0.71,0.82,22.09,3.32,0.23,0.63,0.1,0.02,0.12,4
261,17,39,19,18,5,5,14,21,15.3529,14.5,13.7368,1.1176,2.1667,1.0556,0.2632,0.2778,1.0588,0.2778,0.7778,0.7368,1.1667,1.1053,4.65,2.24,1.65,1.71,1.76,1,1.49,4.61,0.0795,0.58,0.58,6.7,9.48,0.9,25.05,0.76,0.74,25.13,3.54,0.22,0.77,0.12,0.03,0.14,4
206,12,26,16,11,5,5,7,26,17.1667,18.7273,12.875,1.3333,2.3636,1.4545,0.3125,0.4545,0.9167,0.4545,0.6364,0.4375,2.3636,1.625,5.58,2.58,1.67,1.97,1.71,1,1.58,4.64,0.1979,0.56,0.6,6.27,8.87,0.91,24.9,0.78,0.76,21.19,3.25,0.23,0.8,0.12,0.01,0.13,4
250,18,36,20,22,4,4,12,20,13.8889,11.3636,12.5,1.1111,1.6364,0.9091,0.2,0.1818,1.2222,0.1818,0.5455,0.6,0.9091,1,3.8,1.85,1.15,1.7,1.76,1,1.69,5.12,0.1073,0.59,0.59,6.61,9.35,0.9,24.97,0.77,0.83,29.17,3.82,0.23,0.74,0.08,0.01,0.09,4
185,13,30,17,13,7,7,2,19,14.2308,14.2308,10.8824,1.3077,2.3077,1.3077,0.4118,0.5385,1,0.5385,0.1538,0.1176,1.4615,1.1176,4.31,2.23,1.38,2,1.9,1,1.59,4.74,0.1371,0.57,0.62,6.02,8.51,0.91,24.88,0.79,0.77,20.83,3.23,0.25,0.76,0.12,0.03,0.15,4
371,20,43,25,19,6,5,15,37,18.55,19.5263,14.84,1.25,2.2632,1.3158,0.24,0.3158,0.95,0.2632,0.7895,0.6,1.9474,1.48,4.52,1.96,1.83,1.65,1.98,1,1.6,4.76,0.0836,0.54,0.54,7.37,10.43,0.89,24.52,0.69,0.73,32.27,4.02,0.21,0.62,0.14,0.03,0.17,4
149,10,21,12,9,6,4,2,14,14.9,16.5556,12.4167,1.2,2.3333,1.3333,0.5,0.6667,0.9,0.4444,0.2222,0.1667,1.5556,1.1667,4.2,2,1.7,1.86,1.95,1,1.51,4.61,0.1071,0.54,0.65,5.76,8.14,0.91,25.74,0.79,0.79,15.04,2.74,0.22,0.77,0.11,0.02,0.13,4
1136,66,151,115,72,42,34,41,127,17.2121,15.7778,9.8783,1.7424,2.0972,1.5972,0.3652,0.5833,1.0909,0.4722,0.5694,0.3565,1.7639,1.1043,5.28,2.24,1.75,1.9,2.03,1.01,1.58,4.73,0.0774,0.54,0.34,8.12,11.49,0.85,19.9,0.49,0.49,40.52,4.5,0.13,0.47,0.09,0.02,0.11,4
258,21,44,27,22,10,8,14,19,12.2857,11.7273,9.5556,1.2857,2,1.2273,0.3704,0.4545,1.0476,0.3636,0.6364,0.5185,0.8636,0.7037,4.52,2.38,1.33,1.43,1.48,1,1.44,4.39,0.1542,0.53,0.56,6.35,8.98,0.89,22.88,0.74,0.74,28.7,3.79,0.28,0.7,0.13,0.01,0.14,4
305,14,32,23,14,8,7,14,31,21.7857,21.7857,13.2609,1.6429,2.2857,1.6429,0.3478,0.5714,1,0.5,1,0.6087,2.2143,1.3478,6.79,2.57,2,1.82,1.92,1,1.64,4.96,0.1159,0.61,0.58,7.27,10.29,0.91,26.45,0.75,0.77,28.52,3.78,0.19,0.73,0.17,0.01,0.17,4
262,18,31,19,18,4,4,9,31,14.5556,14.5556,13.7895,1.0556,1.7222,1.0556,0.2105,0.2222,1,0.2222,0.5,0.4737,1.7222,1.6316,4.06,1.72,1.22,2.05,2.03,1,1.65,5,0.1577,0.58,0.59,6.76,9.56,0.9,25.37,0.76,0.84,25.97,3.6,0.2,0.73,0.14,0.02,0.16,4
132,9,18,12,9,4,4,5,14,14.6667,14.6667,11,1.3333,2,1.3333,0.3333,0.4444,1,0.4444,0.5556,0.4167,1.5556,1.1667,4.22,2.44,1.22,2.39,1.59,1,1.49,4.49,0.1833,0.58,0.67,5.52,7.8,0.92,26.09,0.78,0.84,13.47,2.6,0.2,0.74,0.15,0,0.15,4
493,26,70,44,25,22,14,18,60,18.9615,19.72,11.2045,1.6923,2.8,1.76,0.5,0.88,0.9615,0.56,0.72,0.4091,2.4,1.3636,5.85,2.67,1.56,1.99,1.78,1,1.67,5.03,0.1699,0.57,0.5,7.93,11.21,0.89,24.36,0.69,0.7,42.77,4.62,0.22,0.68,0.12,0.02,0.14,4
7,1,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1.5,0,1,2.43,6.29,0,0.57,1,1.87,2.65,1,0,1,0,0,0,0,1,0,0,0,4
156,11,22,15,12,3,1,5,15,14.1818,13,10.4,1.3636,1.8333,1.25,0.2,0.25,1.0909,0.0833,0.4167,0.3333,1.25,1,5.73,2.18,1.36,1.67,1.46,1.07,1.33,4.29,0.0662,0.53,0.65,5.81,8.22,0.92,25.97,0.78,0.7,11.13,2.36,0.19,0.76,0.12,0.02,0.14,4
314,18,44,27,18,8,6,11,34,17.4444,17.4444,11.6296,1.5,2.4444,1.5,0.2963,0.4444,1,0.3333,0.6111,0.4074,1.8889,1.2593,5.56,2.56,1.72,2.02,1.78,1.06,1.62,4.79,0.0833,0.54,0.54,6.88,9.73,0.89,23.72,0.75,0.79,32.33,4.02,0.24,0.71,0.08,0.02,0.1,4
322,18,39,21,17,7,7,18,34,17.8889,18.9412,15.3333,1.1667,2.2941,1.2353,0.3333,0.4118,0.9444,0.4118,1.0588,0.8571,2,1.619,5.21,2.68,1.84,1.83,1.55,1,1.47,4.48,0.1176,0.57,0.57,7.32,10.36,0.9,26.17,0.74,0.77,26.27,3.62,0.18,0.68,0.13,0.02,0.16,4
244,15,33,20,16,6,5,13,20,16.2667,15.25,12.2,1.3333,2.0625,1.25,0.3,0.375,1.0667,0.3125,0.8125,0.65,1.25,1,4.93,2.4,1.6,2.14,1.67,1,1.57,4.71,0.0691,0.59,0.61,6.72,9.5,0.91,26.25,0.77,0.87,28.66,3.79,0.23,0.74,0.1,0.01,0.11,4
401,23,60,34,26,14,12,17,33,17.4348,15.4231,11.7941,1.4783,2.3077,1.3077,0.4118,0.5385,1.1304,0.4615,0.6538,0.5,1.2692,0.9706,5.43,2.61,1.7,1.74,1.83,1,1.4,4.23,0.0543,0.53,0.51,7.28,10.3,0.89,23.29,0.74,0.69,32.91,4.06,0.22,0.76,0.09,0.01,0.1,4
424,34,64,35,28,12,11,22,53,12.4706,15.1429,12.1143,1.0294,2.2857,1.25,0.3429,0.4286,0.8235,0.3929,0.7857,0.6286,1.8929,1.5143,3.89,1.74,1.11,1.85,1.67,1,1.53,4.57,0.1636,0.6,0.54,7.89,11.15,0.9,25.78,0.7,0.64,28.06,3.75,0.17,0.75,0.12,0.02,0.14,4
425,26,57,39,26,14,12,20,51,16.3462,16.3462,10.8974,1.5,2.1923,1.5,0.359,0.5385,1,0.4615,0.7692,0.5128,1.9615,1.3077,5.08,2.52,1.8,1.97,1.89,1,1.57,4.73,0.1054,0.56,0.49,7.22,10.21,0.88,22.52,0.66,0.6,29.64,3.85,0.2,0.65,0.14,0.03,0.17,4
160,10,22,11,10,3,3,8,18,16,16,14.5455,1.1,2.2,1.1,0.2727,0.3,1,0.3,0.8,0.7273,1.8,1.6364,4.6,2.4,1.4,2.09,1.63,1,1.57,4.63,0.1714,0.57,0.61,5.56,7.87,0.9,22.85,0.76,0.81,16.96,2.91,0.22,0.71,0.12,0,0.12,4
175,15,32,20,15,10,8,6,16,11.6667,11.6667,8.75,1.3333,2.1333,1.3333,0.5,0.6667,1,0.5333,0.4,0.3,1.0667,0.8,3.53,2.13,0.67,1.81,1.5,1,1.4,4.38,0.1006,0.55,0.6,5.75,8.13,0.9,23.16,0.74,0.69,17.36,2.95,0.25,0.73,0.17,0.03,0.2,4
335,22,46,29,21,10,7,13,37,15.2273,15.9524,11.5517,1.3182,2.1905,1.381,0.3448,0.4762,0.9545,0.3333,0.619,0.4483,1.7619,1.2759,5.05,2.14,1.55,1.72,1.81,1,1.54,4.71,0.1201,0.57,0.54,7.04,9.96,0.89,23.8,0.7,0.67,24.89,3.53,0.19,0.7,0.14,0.01,0.14,4
183,14,29,16,14,6,6,5,15,13.0714,13.0714,11.4375,1.1429,2.0714,1.1429,0.375,0.4286,1,0.4286,0.3571,0.3125,1.0714,0.9375,3.64,2.07,1.14,1.92,1.93,1,1.5,4.47,0.08,0.54,0.63,6.05,8.56,0.91,25.34,0.78,0.83,24.03,3.47,0.29,0.73,0.11,0.03,0.14,4
818,51,110,82,57,25,19,34,97,16.0392,14.3509,9.9756,1.6078,1.9298,1.4386,0.3049,0.4386,1.1176,0.3333,0.5965,0.4146,1.7018,1.1829,5.02,2.22,1.33,1.82,1.88,1.03,1.78,5.27,0.0535,0.55,0.38,7.75,10.96,0.86,20.32,0.52,0.53,37.62,4.34,0.16,0.53,0.08,0.02,0.11,4
538,37,91,62,38,26,19,12,42,14.5405,14.1579,8.6774,1.6757,2.3947,1.6316,0.4194,0.6842,1.027,0.5,0.3158,0.1935,1.1053,0.6774,4.53,2.47,1.03,1.79,1.87,1,1.55,4.65,0.1014,0.52,0.44,7.23,10.22,0.87,20.91,0.62,0.58,35.93,4.24,0.22,0.62,0.08,0.02,0.1,4
196,13,32,23,14,10,7,6,19,15.0769,14,8.5217,1.7692,2.2857,1.6429,0.4348,0.7143,1.0769,0.5,0.4286,0.2609,1.3571,0.8261,5,2.54,1.31,1.74,1.79,1,1.38,4.23,0.1193,0.52,0.53,5.26,7.44,0.88,19.03,0.68,0.73,17.45,2.95,0.23,0.65,0.11,0.02,0.13,4
204,13,30,16,13,5,5,6,19,15.6923,15.6923,12.75,1.2308,2.3077,1.2308,0.3125,0.3846,1,0.3846,0.4615,0.375,1.4615,1.1875,4.69,2.77,1.38,1.77,1.72,1,1.48,4.48,0.1033,0.54,0.58,5.88,8.32,0.9,22.49,0.73,0.77,20.83,3.23,0.24,0.68,0.12,0.02,0.14,4
273,17,34,24,19,7,6,10,30,16.0588,14.3684,11.375,1.4118,1.7895,1.2632,0.2917,0.3684,1.1176,0.3158,0.5263,0.4167,1.5789,1.25,4.65,2.35,1.59,1.96,1.8,1,1.6,4.62,0.1051,0.52,0.48,5.65,7.99,0.87,18.72,0.64,0.7,19.6,3.13,0.2,0.56,0.11,0.03,0.14,4
721,43,88,67,48,18,16,29,92,16.7674,15.0208,10.7612,1.5581,1.8333,1.3958,0.2687,0.375,1.1163,0.3333,0.6042,0.4328,1.9167,1.3731,5.66,2.43,2.05,1.92,1.54,1,1.46,4.47,0.0571,0.54,0.33,6.36,9,0.83,17.18,0.45,0.52,30.54,3.91,0.15,0.38,0.07,0.01,0.09,4
789,41,95,63,46,15,15,27,89,19.2439,17.1522,12.5238,1.5366,2.0652,1.3696,0.2381,0.3261,1.122,0.3261,0.587,0.4286,1.9348,1.4127,5.55,2.28,2.21,1.66,1.75,1,1.56,4.61,0.0534,0.52,0.4,8,11.31,0.86,21.09,0.56,0.57,40.33,4.49,0.17,0.52,0.11,0.01,0.12,4
962,55,137,96,58,40,28,31,101,17.4909,16.5862,10.0208,1.7455,2.3621,1.6552,0.4167,0.6897,1.0545,0.4828,0.5345,0.3229,1.7414,1.0521,5.7,2.4,1.51,1.87,1.82,1.01,1.52,4.66,0.0738,0.53,0.34,7.57,10.7,0.84,19.22,0.5,0.48,36.6,4.28,0.15,0.52,0.08,0.02,0.1,4
465,26,54,35,27,10,8,23,55,17.8846,17.2222,13.2857,1.3462,2,1.2963,0.2857,0.3704,1.0385,0.2963,0.8519,0.6571,2.037,1.5714,6.08,2.27,2.46,1.82,1.61,1,1.55,4.66,0.0824,0.54,0.54,8.22,11.62,0.9,26.38,0.75,0.75,36.94,4.3,0.19,0.69,0.14,0.02,0.16,4
308,12,36,22,16,7,7,11,29,25.6667,19.25,14,1.8333,2.25,1.375,0.3182,0.4375,1.3333,0.4375,0.6875,0.5,1.8125,1.3182,8.08,3.58,2.83,2.21,1.79,1,1.58,4.77,0.1429,0.55,0.57,7.12,10.07,0.9,25.31,0.7,0.81,30.72,3.92,0.22,0.61,0.09,0.04,0.13,4
538,25,71,54,33,20,16,16,59,21.52,16.303,9.963,2.16,2.1515,1.6364,0.3704,0.6061,1.32,0.4848,0.4848,0.2963,1.7879,1.0926,8.88,3.48,2.04,1.67,1.57,1.04,1.57,4.82,0.0696,0.52,0.45,7.42,10.49,0.87,21.49,0.63,0.62,32.66,4.04,0.19,0.61,0.09,0.01,0.1,4
1300,62,168,119,65,50,35,51,141,20.9677,20,10.9244,1.9194,2.5846,1.8308,0.4202,0.7692,1.0484,0.5385,0.7846,0.4286,2.1692,1.1849,7.52,2.85,2.66,1.77,1.57,1.01,1.56,4.62,0.1098,0.53,0.33,8.55,12.09,0.85,20.39,0.51,0.5,53.5,5.17,0.15,0.48,0.08,0.01,0.09,4
111,7,17,11,8,4,4,5,12,15.8571,13.875,10.0909,1.5714,2.125,1.375,0.3636,0.5,1.1429,0.5,0.625,0.4545,1.5,1.0909,4.71,3,1.29,2.03,1.52,1,1.53,4.63,0.1275,0.57,0.61,4.73,6.69,0.9,20.3,0.71,0.72,9.39,2.17,0.19,0.68,0.15,0,0.15,4
215,12,31,14,12,7,5,10,20,17.9167,17.9167,15.3571,1.1667,2.5833,1.1667,0.5,0.5833,1,0.4167,0.8333,0.7143,1.6667,1.4286,6.55,3.27,1.73,1.67,1.75,1,1.56,4.64,0.1385,0.58,0.64,6.76,9.55,0.92,28.34,0.8,0.74,20.63,3.21,0.22,0.84,0.1,0.02,0.12,4
439,27,55,44,40,8,9,11,53,16.2593,10.975,9.9773,1.6296,1.375,1.1,0.1818,0.2,1.4815,0.225,0.275,0.25,1.325,1.2045,2.93,1.14,0.74,2.15,1.35,1,1.47,4.37,0.123,0.53,0.43,6.34,8.96,0.86,18.92,0.51,0.5,14.5,2.69,0.12,0.48,0.12,0,0.12,4
230,12,27,16,12,6,6,10,20,19.1667,19.1667,14.375,1.3333,2.25,1.3333,0.375,0.5,1,0.5,0.8333,0.625,1.6667,1.25,5.58,2.5,1.83,1.99,1.87,1,1.58,4.81,0.1542,0.56,0.56,6.12,8.66,0.9,22.61,0.7,0.74,18.38,3.03,0.19,0.65,0.13,0.01,0.14,4
98,6,13,7,6,3,3,4,10,16.3333,16.3333,14,1.1667,2.1667,1.1667,0.4286,0.5,1,0.5,0.6667,0.5714,1.6667,1.4286,3.67,2,1.33,2.09,1.92,1,1.6,4.71,0.2283,0.56,0.68,4.83,6.83,0.92,23.77,0.77,0.93,12.07,2.46,0.23,0.71,0.16,0,0.16,4
344,18,56,37,19,19,11,7,35,19.1111,18.1053,9.2973,2.0556,2.9474,1.9474,0.5135,1,1.0556,0.5789,0.3684,0.1892,1.8421,0.9459,6.11,2.78,2.11,1.84,2.34,1.05,1.51,4.54,0.1378,0.53,0.5,6.6,9.33,0.88,21.46,0.68,0.63,29.45,3.84,0.25,0.68,0.11,0.02,0.13,4
310,15,46,30,22,11,11,10,44,20.6667,14.0909,10.3333,2,2.0909,1.3636,0.3667,0.5,1.4667,0.5,0.4545,0.3333,2,1.4667,6.24,2.94,1.47,1.64,1.64,1,1.52,4.65,0.1021,0.51,0.5,6.45,9.12,0.88,21.28,0.7,0.72,25.92,3.6,0.22,0.68,0.1,0.01,0.11,4
867,44,130,92,48,40,21,13,104,19.7045,18.0625,9.4239,2.0909,2.7083,1.9167,0.4348,0.8333,1.0909,0.4375,0.2708,0.1413,2.1667,1.1304,6.81,2.67,2.47,1.88,2.12,1.03,1.52,4.54,0.0692,0.52,0.41,8.58,12.14,0.87,22.37,0.62,0.57,54.53,5.22,0.21,0.65,0.09,0.02,0.12,4
289,14,39,26,16,13,10,11,33,20.6429,18.0625,11.1154,1.8571,2.4375,1.625,0.5,0.8125,1.1429,0.625,0.6875,0.4231,2.0625,1.2692,6.71,3.36,1.64,1.91,1.79,1,1.58,4.69,0.1673,0.54,0.52,6.41,9.06,0.89,21.82,0.67,0.75,28.31,3.76,0.23,0.63,0.1,0.02,0.13,4
466,23,63,39,21,21,15,12,44,20.2609,22.1905,11.9487,1.6957,3,1.8571,0.5385,1,0.913,0.7143,0.5714,0.3077,2.0952,1.1282,6.65,3.09,1.96,1.76,1.87,1,1.44,4.34,0.1049,0.51,0.43,6.65,9.41,0.86,19.63,0.6,0.64,30.26,3.89,0.19,0.55,0.1,0.03,0.13,4
509,31,78,57,30,29,18,10,58,16.4194,16.9667,8.9298,1.8387,2.6,1.9,0.5088,0.9667,0.9677,0.6,0.3333,0.1754,1.9333,1.0175,6.17,2.7,1.87,1.71,1.81,1,1.38,4.31,0.0771,0.49,0.39,6.21,8.78,0.85,17.87,0.57,0.6,31.44,3.96,0.21,0.54,0.08,0.02,0.1,4
476,30,64,44,30,18,13,20,50,15.8667,15.8667,10.8182,1.4667,2.1333,1.4667,0.4091,0.6,1,0.4333,0.6667,0.4545,1.6667,1.1364,4.74,2.19,1.32,1.94,1.65,1,1.6,4.79,0.1094,0.55,0.47,7.25,10.25,0.88,21.76,0.66,0.67,34.67,4.16,0.2,0.62,0.11,0.03,0.14,4
336,21,61,42,23,19,14,12,33,16,14.6087,8,2,2.6522,1.8261,0.4524,0.8261,1.0952,0.6087,0.5217,0.2857,1.4348,0.7857,5.32,2.68,1.36,1.56,1.69,1.03,1.44,4.44,0.1287,0.52,0.54,7.17,10.15,0.9,24.46,0.74,0.74,36.38,4.26,0.27,0.72,0.14,0.01,0.15,4
